; Candidate 803
; ADRP+ADD at VM 0xfffffff0080b65a0 (fileoff 0x10b25a0): page=0x1fefbe000 add_imm=0xd7d

0xfffffff0080b6520: 09308052  mov	w9, #0x180
0xfffffff0080b6524: 3f01286a  bics	wzr, w9, w8
0xfffffff0080b6528: e1010054  b.ne	#0xfffffff0080b6564
0xfffffff0080b652c: 680a01f0  adrp	x8, #0xfffffff00a205000
0xfffffff0080b6530: 08c948b9  ldr	w8, [x8, #0x8c8]
0xfffffff0080b6534: 1f050071  cmp	w8, #1
0xfffffff0080b6538: a0000054  b.eq	#0xfffffff0080b654c
0xfffffff0080b653c: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff0080b6540: 082140f9  ldr	x8, [x8, #0x40]
0xfffffff0080b6544: 08154939  ldrb	w8, [x8, #0x245]
0xfffffff0080b6548: e8003036  tbz	w8, #6, #0xfffffff0080b6564
0xfffffff0080b654c: c80701b0  adrp	x8, #0xfffffff00a1af000
0xfffffff0080b6550: 087541f9  ldr	x8, [x8, #0x2e8]
0xfffffff0080b6554: 880000b4  cbz	x8, #0xfffffff0080b6564
0xfffffff0080b6558: e00313aa  mov	x0, x19
0xfffffff0080b655c: d15785d2  mov	x17, #0x2abe
0xfffffff0080b6560: 11093fd7  blraa	x8, x17
0xfffffff0080b6564: 7f9202b9  str	wzr, [x19, #0x290]
0xfffffff0080b6568: 680a01f0  adrp	x8, #0xfffffff00a205000
0xfffffff0080b656c: 096d4bb9  ldr	w9, [x8, #0xb6c]
0xfffffff0080b6570: 29050011  add	w9, w9, #1
0xfffffff0080b6574: 096d0bb9  str	w9, [x8, #0xb6c]
0xfffffff0080b6578: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff0080b657c: 002140f9  ldr	x0, [x8, #0x40]
0xfffffff0080b6580: 010080d2  mov	x1, #0
0xfffffff0080b6584: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0080b6588: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0080b658c: ff2303d5  autibsp	
0xfffffff0080b6590: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0080b6594: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0080b659c
0xfffffff0080b6598: 208e38d4  brk	#0xc471
0xfffffff0080b659c: 07000014  b	#0xfffffff0080b65b8
0xfffffff0080b65a0: e07dffd0  adrp	x0, #0xfffffff007074000
0xfffffff0080b65a4: 00f43591  add	x0, x0, #0xd7d
0xfffffff0080b65a8: e17dffd0  adrp	x1, #0xfffffff007074000
0xfffffff0080b65ac: 21683691  add	x1, x1, #0xd9a
0xfffffff0080b65b0: c2758052  mov	w2, #0x3ae
0xfffffff0080b65b4: 98a40f94  bl	#0xfffffff00849f814
0xfffffff0080b65b8: 5f2403d5  bti	c
0xfffffff0080b65bc: 090840f9  ldr	x9, [x0, #0x10]
0xfffffff0080b65c0: 281940f9  ldr	x8, [x9, #0x30]
0xfffffff0080b65c4: 610000b5  cbnz	x1, #0xfffffff0080b65d0
0xfffffff0080b65c8: 215d40f9  ldr	x1, [x9, #0xb8]
0xfffffff0080b65cc: e10500b4  cbz	x1, #0xfffffff0080b6688
0xfffffff0080b65d0: 29804339  ldrb	w9, [x1, #0xe0]
0xfffffff0080b65d4: 3ffd0371  cmp	w9, #0xff
0xfffffff0080b65d8: 80000054  b.eq	#0xfffffff0080b65e8
0xfffffff0080b65dc: 290847b9  ldr	w9, [x1, #0x708]
0xfffffff0080b65e0: 3ffd0371  cmp	w9, #0xff
0xfffffff0080b65e4: a1030054  b.ne	#0xfffffff0080b6658
0xfffffff0080b65e8: 090d40b9  ldr	w9, [x8, #0xc]
0xfffffff0080b65ec: 3f150071  cmp	w9, #5
0xfffffff0080b65f0: cc040054  b.gt	#0xfffffff0080b6688
0xfffffff0080b65f4: 098d4139  ldrb	w9, [x8, #0x63]
0xfffffff0080b65f8: 89042837  tbnz	w9, #5, #0xfffffff0080b6688
0xfffffff0080b65fc: 2bd043f9  ldr	x11, [x1, #0x7a0]
0xfffffff0080b6600: 4b0400b4  cbz	x11, #0xfffffff0080b6688
0xfffffff0080b6604: 69254039  ldrb	w9, [x11, #9]
0xfffffff0080b6608: 09043836  tbz	w9, #7, #0xfffffff0080b6688
0xfffffff0080b660c: 0aa940b9  ldr	w10, [x8, #0xa8]
0xfffffff0080b6610: 09d140b9  ldr	w9, [x8, #0xd0]
0xfffffff0080b6614: 29010a4b  sub	w9, w9, w10
0xfffffff0080b6618: 6b914079  ldrh	w11, [x11, #0x48]
0xfffffff0080b661c: 7f090071  cmp	w11, #2
