; Candidate 6374
; ADRP+ADD at VM 0xfffffff008827e88 (fileoff 0x1823e88): page=0x1fe9c2000 add_imm=0xe80

0xfffffff008827e08: 28000014  b	#0xfffffff008827ea8
0xfffffff008827e0c: e00314aa  mov	x0, x20
0xfffffff008827e10: c81e0094  bl	#0xfffffff00882f930
0xfffffff008827e14: a0c20091  add	x0, x21, #0x30
0xfffffff008827e18: e10314aa  mov	x1, x20
0xfffffff008827e1c: 861f0094  bl	#0xfffffff00882fc34
0xfffffff008827e20: 15008052  mov	w21, #0
0xfffffff008827e24: 68721991  add	x8, x19, #0x65c
0xfffffff008827e28: 000140fd  ldr	d0, [x8]
0xfffffff008827e2c: 494eff90  adrp	x9, #0xfffffff0071ef000
0xfffffff008827e30: 215d40fd  ldr	d1, [x9, #0xb8]
0xfffffff008827e34: 0084a10e  add	v0.2s, v0.2s, v1.2s
0xfffffff008827e38: 000100fd  str	d0, [x8]
0xfffffff008827e3c: 6dffff17  b	#0xfffffff008827bf0
0xfffffff008827e40: db300294  bl	#0xfffffff0088b41ac
0xfffffff008827e44: f50300aa  mov	x21, x0
0xfffffff008827e48: 80008052  mov	w0, #4
0xfffffff008827e4c: 814e0194  bl	#0xfffffff00887b850
0xfffffff008827e50: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008827e54: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff008827e58: c84fffb0  adrp	x8, #0xfffffff007220000
0xfffffff008827e5c: 08e52e91  add	x8, x8, #0xbb9
0xfffffff008827e60: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008827e64: c8a78052  mov	w8, #0x53e
0xfffffff008827e68: c94fffd0  adrp	x9, #0xfffffff007221000
0xfffffff008827e6c: 29153091  add	x9, x9, #0xc05
0xfffffff008827e70: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008827e74: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff008827e78: 08653291  add	x8, x8, #0xc99
0xfffffff008827e7c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008827e80: e80a8052  mov	w8, #0x57
0xfffffff008827e84: f52300a9  stp	x21, x8, [sp]
0xfffffff008827e88: 004effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008827e8c: 00003a91  add	x0, x0, #0xe80
0xfffffff008827e90: 018fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008827e94: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008827e98: 2351ff90  adrp	x3, #0xfffffff00724b000
0xfffffff008827e9c: 632c3a91  add	x3, x3, #0xe8b
0xfffffff008827ea0: 02008052  mov	w2, #0
0xfffffff008827ea4: a32cec97  bl	#0xfffffff008333130
0xfffffff008827ea8: 157d8012  mov	w21, #-0x3e9
0xfffffff008827eac: e00a8052  mov	w0, #0x57
0xfffffff008827eb0: 01018052  mov	w1, #8
0xfffffff008827eb4: 474e0194  bl	#0xfffffff00887b7d0
0xfffffff008827eb8: 00060034  cbz	w0, #0xfffffff008827f78
0xfffffff008827ebc: e00a8052  mov	w0, #0x57
0xfffffff008827ec0: 564e0194  bl	#0xfffffff00887b818
0xfffffff008827ec4: f70300aa  mov	x23, x0
0xfffffff008827ec8: b9300294  bl	#0xfffffff0088b41ac
0xfffffff008827ecc: f60300aa  mov	x22, x0
0xfffffff008827ed0: 00018052  mov	w0, #8
0xfffffff008827ed4: 5f4e0194  bl	#0xfffffff00887b850
0xfffffff008827ed8: 17020034  cbz	w23, #0xfffffff008827f18
0xfffffff008827edc: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008827ee0: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008827ee4: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008827ee8: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff008827eec: 09153091  add	x9, x8, #0xc05
0xfffffff008827ef0: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff008827ef4: 08653291  add	x8, x8, #0xc99
0xfffffff008827ef8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008827efc: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008827f00: e80a8052  mov	w8, #0x57
0xfffffff008827f04: 404ffff0  adrp	x0, #0xfffffff007212000
