; Candidate 5183
; ADRP+ADD at VM 0xfffffff0087de094 (fileoff 0x17da094): page=0x1fea0b000 add_imm=0xe80

0xfffffff0087de014: 18020034  cbz	w24, #0xfffffff0087de054
0xfffffff0087de018: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087de01c: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff0087de020: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0087de024: a851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087de028: 083d3591  add	x8, x8, #0xd4f
0xfffffff0087de02c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087de030: a851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087de034: 081d0291  add	x8, x8, #0x87
0xfffffff0087de038: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087de03c: 280a8052  mov	w8, #0x51
0xfffffff0087de040: a051ff90  adrp	x0, #0xfffffff007212000
0xfffffff0087de044: 00c82691  add	x0, x0, #0x9b2
0xfffffff0087de048: f72300a9  stp	x23, x8, [sp]
0xfffffff0087de04c: 0565d797  bl	#0xfffffff007db7460
0xfffffff0087de050: 19000014  b	#0xfffffff0087de0b4
0xfffffff0087de054: 56580394  bl	#0xfffffff0088b41ac
0xfffffff0087de058: f70300aa  mov	x23, x0
0xfffffff0087de05c: e0008052  mov	w0, #7
0xfffffff0087de060: fc750294  bl	#0xfffffff00887b850
0xfffffff0087de064: e80316aa  mov	x8, x22
0xfffffff0087de068: 69ee40b9  ldr	w9, [x19, #0xec]
0xfffffff0087de06c: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0087de070: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0087de074: a851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087de078: 083d3591  add	x8, x8, #0xd4f
0xfffffff0087de07c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087de080: a851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087de084: 081d0291  add	x8, x8, #0x87
0xfffffff0087de088: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087de08c: 280a8052  mov	w8, #0x51
0xfffffff0087de090: f72300a9  stp	x23, x8, [sp]
0xfffffff0087de094: 4050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087de098: 00003a91  add	x0, x0, #0xe80
0xfffffff0087de09c: 4191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087de0a0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087de0a4: e352fff0  adrp	x3, #0xfffffff00723d000
0xfffffff0087de0a8: 63240b91  add	x3, x3, #0x2c9
0xfffffff0087de0ac: 02008052  mov	w2, #0
0xfffffff0087de0b0: 2054ed97  bl	#0xfffffff008333130
0xfffffff0087de0b4: e00316aa  mov	x0, x22
0xfffffff0087de0b8: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0087de0bc: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087de0c0: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087de0c4: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0087de0c8: ff830291  add	sp, sp, #0xa0
0xfffffff0087de0cc: ff0f5fd6  retab	
0xfffffff0087de0d0: 7f2303d5  pacibsp	
0xfffffff0087de0d4: ff4302d1  sub	sp, sp, #0x90
0xfffffff0087de0d8: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0087de0dc: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0087de0e0: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0087de0e4: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0087de0e8: fd030291  add	x29, sp, #0x80
0xfffffff0087de0ec: f50302aa  mov	x21, x2
0xfffffff0087de0f0: f40301aa  mov	x20, x1
0xfffffff0087de0f4: f30300aa  mov	x19, x0
0xfffffff0087de0f8: 200a8052  mov	w0, #0x51
0xfffffff0087de0fc: 01018052  mov	w1, #8
0xfffffff0087de100: b4750294  bl	#0xfffffff00887b7d0
0xfffffff0087de104: 60050034  cbz	w0, #0xfffffff0087de1b0
0xfffffff0087de108: 200a8052  mov	w0, #0x51
0xfffffff0087de10c: c3750294  bl	#0xfffffff00887b818
0xfffffff0087de110: f70300aa  mov	x23, x0
