; Candidate 16436
; ADRP+ADD at VM 0xfffffff009ea6b60 (fileoff 0x2ea2b60): page=0x1fd99f000 add_imm=0xe0a

0xfffffff009ea6ae0: 600e0054  b.eq	#0xfffffff009ea6cac
0xfffffff009ea6ae4: e9124179  ldrh	w9, [x23, #0x88]
0xfffffff009ea6ae8: 290d1412  and	w9, w9, #0xf000
0xfffffff009ea6aec: 3f214071  cmp	w9, #8, lsl #12
0xfffffff009ea6af0: a1000054  b.ne	#0xfffffff009ea6b04
0xfffffff009ea6af4: e97240b9  ldr	w9, [x23, #0x70]
0xfffffff009ea6af8: f8031baa  mov	x24, x27
0xfffffff009ea6afc: 3f050071  cmp	w9, #1
0xfffffff009ea6b00: 2c0c0054  b.gt	#0xfffffff009ea6c84
0xfffffff009ea6b04: e9924279  ldrh	w9, [x23, #0x148]
0xfffffff009ea6b08: a90100b4  cbz	x9, #0xfffffff009ea6b3c
0xfffffff009ea6b0c: 0b008052  mov	w11, #0
0xfffffff009ea6b10: eaaa40f9  ldr	x10, [x23, #0x150]
0xfffffff009ea6b14: 4a090091  add	x10, x10, #2
0xfffffff009ea6b18: 4ce15f38  ldurb	w12, [x10, #-2]
0xfffffff009ea6b1c: 9f110071  cmp	w12, #4
0xfffffff009ea6b20: a00a0054  b.eq	#0xfffffff009ea6c74
0xfffffff009ea6b24: 4c454078  ldrh	w12, [x10], #4
0xfffffff009ea6b28: 8c1d0011  add	w12, w12, #7
0xfffffff009ea6b2c: 8c351d12  and	w12, w12, #0x1fff8
0xfffffff009ea6b30: 8b010b0b  add	w11, w12, w11
0xfffffff009ea6b34: 290500f1  subs	x9, x9, #1
0xfffffff009ea6b38: 01ffff54  b.ne	#0xfffffff009ea6b18
0xfffffff009ea6b3c: 180080d2  mov	x24, #0
0xfffffff009ea6b40: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff009ea6b44: 0a3e8452  mov	w10, #0x21f0
0xfffffff009ea6b48: 29010a8b  add	x9, x9, x10
0xfffffff009ea6b4c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009ea6b50: 68ccfed0  adrp	x8, #0xfffffff007834000
0xfffffff009ea6b54: 08e93991  add	x8, x8, #0xe7a
0xfffffff009ea6b58: c90d8552  mov	w9, #0x286e
0xfffffff009ea6b5c: e82700a9  stp	x8, x9, [sp]
0xfffffff009ea6b60: e0ccfef0  adrp	x0, #0xfffffff007845000
0xfffffff009ea6b64: 00283891  add	x0, x0, #0xe0a
0xfffffff009ea6b68: 5763ff97  bl	#0xfffffff009e7f8c4
0xfffffff009ea6b6c: 46000014  b	#0xfffffff009ea6c84
0xfffffff009ea6b70: 8b0000b4  cbz	x11, #0xfffffff009ea6b80
0xfffffff009ea6b74: 690000b4  cbz	x9, #0xfffffff009ea6b80
0xfffffff009ea6b78: 6a1140f9  ldr	x10, [x11, #0x20]
0xfffffff009ea6b7c: 4901098b  add	x9, x10, x9
0xfffffff009ea6b80: 895a00f9  str	x9, [x20, #0xb0]
0xfffffff009ea6b84: 08dda736  tbz	w8, #0x14, #0xfffffff009ea6724
0xfffffff009ea6b88: 0a904439  ldrb	w10, [x0, #0x124]
0xfffffff009ea6b8c: e90300aa  mov	x9, x0
0xfffffff009ea6b90: 4a001836  tbz	w10, #3, #0xfffffff009ea6b98
0xfffffff009ea6b94: 690140f9  ldr	x9, [x11]
0xfffffff009ea6b98: 29a943b9  ldr	w9, [x9, #0x3a8]
0xfffffff009ea6b9c: 89ca00b9  str	w9, [x20, #0xc8]
0xfffffff009ea6ba0: 48dc3f36  tbz	w8, #7, #0xfffffff009ea6728
0xfffffff009ea6ba4: a98240b9  ldr	w9, [x21, #0x80]
0xfffffff009ea6ba8: 894600b9  str	w9, [x20, #0x44]
0xfffffff009ea6bac: 08dc4736  tbz	w8, #8, #0xfffffff009ea672c
0xfffffff009ea6bb0: a98640b9  ldr	w9, [x21, #0x84]
0xfffffff009ea6bb4: 894a00b9  str	w9, [x20, #0x48]
0xfffffff009ea6bb8: c8db4f36  tbz	w8, #9, #0xfffffff009ea6730
0xfffffff009ea6bbc: a9124179  ldrh	w9, [x21, #0x88]
0xfffffff009ea6bc0: 899a0079  strh	w9, [x20, #0x4c]
0xfffffff009ea6bc4: 88db5736  tbz	w8, #0xa, #0xfffffff009ea6734
0xfffffff009ea6bc8: a97e40b9  ldr	w9, [x21, #0x7c]
0xfffffff009ea6bcc: 3f011b72  tst	w9, #0x20
0xfffffff009ea6bd0: 0a00b012  mov	w10, #0x7fffffff
0xfffffff009ea6bd4: 0b00b812  mov	w11, #0x3fffffff
0xfffffff009ea6bd8: 6a018a1a  csel	w10, w11, w10, eq
0xfffffff009ea6bdc: 4901090a  and	w9, w10, w9
