; Candidate 5494
; ADRP+ADD at VM 0xfffffff0087f4548 (fileoff 0x17f0548): page=0x1fe9f5000 add_imm=0xe80

0xfffffff0087f44c8: f90300aa  mov	x25, x0
0xfffffff0087f44cc: 38ff0294  bl	#0xfffffff0088b41ac
0xfffffff0087f44d0: f70300aa  mov	x23, x0
0xfffffff0087f44d4: 80008052  mov	w0, #4
0xfffffff0087f44d8: de1c0294  bl	#0xfffffff00887b850
0xfffffff0087f44dc: 99040034  cbz	w25, #0xfffffff0087f456c
0xfffffff0087f44e0: 480340b9  ldr	w8, [x26]
0xfffffff0087f44e4: 29008052  mov	w9, #1
0xfffffff0087f44e8: e96304a9  stp	x9, x24, [sp, #0x40]
0xfffffff0087f44ec: e9031baa  mov	x9, x27
0xfffffff0087f44f0: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0087f44f4: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f44f8: 082d2c91  add	x8, x8, #0xb0b
0xfffffff0087f44fc: e93a8052  mov	w9, #0x1d7
0xfffffff0087f4500: 96ffff17  b	#0xfffffff0087f4358
0xfffffff0087f4504: 2aff0294  bl	#0xfffffff0088b41ac
0xfffffff0087f4508: f70300aa  mov	x23, x0
0xfffffff0087f450c: 80008052  mov	w0, #4
0xfffffff0087f4510: d01c0294  bl	#0xfffffff00887b850
0xfffffff0087f4514: 480340b9  ldr	w8, [x26]
0xfffffff0087f4518: ff6304a9  stp	xzr, x24, [sp, #0x40]
0xfffffff0087f451c: e9031baa  mov	x9, x27
0xfffffff0087f4520: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0087f4524: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f4528: 08a52b91  add	x8, x8, #0xae9
0xfffffff0087f452c: a9398052  mov	w9, #0x1cd
0xfffffff0087f4530: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f4534: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f4538: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f453c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f4540: e80e8052  mov	w8, #0x77
0xfffffff0087f4544: f72300a9  stp	x23, x8, [sp]
0xfffffff0087f4548: a04fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f454c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f4550: a190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f4554: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f4558: 6352ff90  adrp	x3, #0xfffffff007240000
0xfffffff0087f455c: 63ac1691  add	x3, x3, #0x5ab
0xfffffff0087f4560: 02008052  mov	w2, #0
0xfffffff0087f4564: f3faec97  bl	#0xfffffff008333130
0xfffffff0087f4568: baffff17  b	#0xfffffff0087f4450
0xfffffff0087f456c: 10ff0294  bl	#0xfffffff0088b41ac
0xfffffff0087f4570: f70300aa  mov	x23, x0
0xfffffff0087f4574: 80008052  mov	w0, #4
0xfffffff0087f4578: b61c0294  bl	#0xfffffff00887b850
0xfffffff0087f457c: 480340b9  ldr	w8, [x26]
0xfffffff0087f4580: 29008052  mov	w9, #1
0xfffffff0087f4584: e96304a9  stp	x9, x24, [sp, #0x40]
0xfffffff0087f4588: e9031baa  mov	x9, x27
0xfffffff0087f458c: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0087f4590: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f4594: 082d2c91  add	x8, x8, #0xb0b
0xfffffff0087f4598: e93a8052  mov	w9, #0x1d7
0xfffffff0087f459c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f45a0: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f45a4: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f45a8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f45ac: e80e8052  mov	w8, #0x77
0xfffffff0087f45b0: f72300a9  stp	x23, x8, [sp]
0xfffffff0087f45b4: a04fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f45b8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f45bc: a190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f45c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f45c4: 6352ff90  adrp	x3, #0xfffffff007240000
