; Candidate 6366
; ADRP+ADD at VM 0xfffffff0088275e8 (fileoff 0x18235e8): page=0x1fe9c2000 add_imm=0xe80

0xfffffff008827568: 18020034  cbz	w24, #0xfffffff0088275a8
0xfffffff00882756c: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008827570: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff008827574: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008827578: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff00882757c: 08291f91  add	x8, x8, #0x7ca
0xfffffff008827580: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008827584: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff008827588: 08653291  add	x8, x8, #0xc99
0xfffffff00882758c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008827590: e80a8052  mov	w8, #0x57
0xfffffff008827594: 404ffff0  adrp	x0, #0xfffffff007212000
0xfffffff008827598: 00c82691  add	x0, x0, #0x9b2
0xfffffff00882759c: f72300a9  stp	x23, x8, [sp]
0xfffffff0088275a0: b03fd697  bl	#0xfffffff007db7460
0xfffffff0088275a4: 19000014  b	#0xfffffff008827608
0xfffffff0088275a8: 01330294  bl	#0xfffffff0088b41ac
0xfffffff0088275ac: f70300aa  mov	x23, x0
0xfffffff0088275b0: e0008052  mov	w0, #7
0xfffffff0088275b4: a7500194  bl	#0xfffffff00887b850
0xfffffff0088275b8: e80316aa  mov	x8, x22
0xfffffff0088275bc: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff0088275c0: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0088275c4: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0088275c8: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff0088275cc: 08291f91  add	x8, x8, #0x7ca
0xfffffff0088275d0: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088275d4: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff0088275d8: 08653291  add	x8, x8, #0xc99
0xfffffff0088275dc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088275e0: e80a8052  mov	w8, #0x57
0xfffffff0088275e4: f72300a9  stp	x23, x8, [sp]
0xfffffff0088275e8: 004effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088275ec: 00003a91  add	x0, x0, #0xe80
0xfffffff0088275f0: 018fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088275f4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088275f8: 2351ff90  adrp	x3, #0xfffffff00724b000
0xfffffff0088275fc: 63a81e91  add	x3, x3, #0x7aa
0xfffffff008827600: 02008052  mov	w2, #0
0xfffffff008827604: cb2eec97  bl	#0xfffffff008333130
0xfffffff008827608: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff00882760c: 098fffb0  adrp	x9, #0xfffffff007a08000
0xfffffff008827610: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff008827614: 290140f9  ldr	x9, [x9]
0xfffffff008827618: 3f0108eb  cmp	x9, x8
0xfffffff00882761c: 61040054  b.ne	#0xfffffff0088276a8
0xfffffff008827620: e00316aa  mov	x0, x22
0xfffffff008827624: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff008827628: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff00882762c: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff008827630: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff008827634: ff830391  add	sp, sp, #0xe0
0xfffffff008827638: ff0f5fd6  retab	
0xfffffff00882763c: dc320294  bl	#0xfffffff0088b41ac
0xfffffff008827640: f70300aa  mov	x23, x0
0xfffffff008827644: c0008052  mov	w0, #6
0xfffffff008827648: 82500194  bl	#0xfffffff00887b850
0xfffffff00882764c: 684243f9  ldr	x8, [x19, #0x680]
0xfffffff008827650: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008827654: 6a7a46b9  ldr	w10, [x19, #0x678]
0xfffffff008827658: ea2304a9  stp	x10, x8, [sp, #0x40]
0xfffffff00882765c: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff008827660: 28788052  mov	w8, #0x3c1
0xfffffff008827664: c94fffd0  adrp	x9, #0xfffffff007221000
