; Candidate 15354
; ADRP+ADD at VM 0xfffffff009b540fc (fileoff 0x2b500fc): page=0x1fdad4000 add_imm=0xed0

0xfffffff009b5407c: 40000054  b.eq	#0xfffffff009b54084
0xfffffff009b54080: 408e38d4  brk	#0xc472
0xfffffff009b54084: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b54088: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b5408c: e00313aa  mov	x0, x19
0xfffffff009b54090: 010080d2  mov	x1, #0
0xfffffff009b54094: f10308aa  mov	x17, x8
0xfffffff009b54098: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b5409c: 31093fd7  blraa	x9, x17
0xfffffff009b540a0: f60300aa  mov	x22, x0
0xfffffff009b540a4: 700240f9  ldr	x16, [x19]
0xfffffff009b540a8: f10313aa  mov	x17, x19
0xfffffff009b540ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b540b0: 301ac1da  autda	x16, x17
0xfffffff009b540b4: f10310aa  mov	x17, x16
0xfffffff009b540b8: f147c1da  xpacd	x17
0xfffffff009b540bc: 1f0211eb  cmp	x16, x17
0xfffffff009b540c0: 40000054  b.eq	#0xfffffff009b540c8
0xfffffff009b540c4: 408e38d4  brk	#0xc472
0xfffffff009b540c8: 08620891  add	x8, x16, #0x218
0xfffffff009b540cc: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b540d0: e00313aa  mov	x0, x19
0xfffffff009b540d4: 010080d2  mov	x1, #0
0xfffffff009b540d8: f10308aa  mov	x17, x8
0xfffffff009b540dc: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b540e0: 31093fd7  blraa	x9, x17
0xfffffff009b540e4: a8d6fed0  adrp	x8, #0xfffffff00762a000
0xfffffff009b540e8: 09052d91  add	x9, x8, #0xb41
0xfffffff009b540ec: a8d6feb0  adrp	x8, #0xfffffff007629000
0xfffffff009b540f0: 08f11f91  add	x8, x8, #0x7fc
0xfffffff009b540f4: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009b540f8: f60300a9  stp	x22, x0, [sp]
0xfffffff009b540fc: a0d6fe90  adrp	x0, #0xfffffff007628000
0xfffffff009b54100: 00403b91  add	x0, x0, #0xed0
0xfffffff009b54104: c3d6fe90  adrp	x3, #0xfffffff00762c000
0xfffffff009b54108: 63682391  add	x3, x3, #0x8da
0xfffffff009b5410c: e10315aa  mov	x1, x21
0xfffffff009b54110: e20314aa  mov	x2, x20
0xfffffff009b54114: 077c9f97  bl	#0xfffffff008333130
0xfffffff009b54118: 689e43b9  ldr	w8, [x19, #0x39c]
0xfffffff009b5411c: 29048052  mov	w9, #0x21
0xfffffff009b54120: 0801092a  orr	w8, w8, w9
0xfffffff009b54124: 698e41f9  ldr	x9, [x19, #0x318]
0xfffffff009b54128: 280900b9  str	w8, [x9, #8]
0xfffffff009b5412c: 68fa43b9  ldr	w8, [x19, #0x3f8]
0xfffffff009b54130: 1f010071  cmp	w8, #0
0xfffffff009b54134: 0a808252  mov	w10, #0x1400
0xfffffff009b54138: 0b808452  mov	w11, #0x2400
0xfffffff009b5413c: 6a018a1a  csel	w10, w11, w10, eq
0xfffffff009b54140: 4801082a  orr	w8, w10, w8
0xfffffff009b54144: 280d00b9  str	w8, [x9, #0xc]
0xfffffff009b54148: 68438052  mov	w8, #0x21b
0xfffffff009b5414c: 282500b9  str	w8, [x9, #0x24]
0xfffffff009b54150: 74c641b9  ldr	w20, [x19, #0x1c4]
0xfffffff009b54154: 14101836  tbz	w20, #3, #0xfffffff009b54354
0xfffffff009b54158: 9405f036  tbz	w20, #0x1e, #0xfffffff009b54208
0xfffffff009b5415c: 50e78d97  bl	#0xfffffff007ecde9c
0xfffffff009b54160: 1f040071  cmp	w0, #1
0xfffffff009b54164: 21050054  b.ne	#0xfffffff009b54208
0xfffffff009b54168: 700240f9  ldr	x16, [x19]
0xfffffff009b5416c: f10313aa  mov	x17, x19
0xfffffff009b54170: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b54174: 301ac1da  autda	x16, x17
0xfffffff009b54178: 113d80d2  mov	x17, #0x1e8
