; Candidate 13324
; ADRP+ADD at VM 0xfffffff0092897a4 (fileoff 0x22857a4): page=0x1fe233000 add_imm=0xcfa

0xfffffff009289724: 81068052  mov	w1, #0x34
0xfffffff009289728: 872bc897  bl	#0xfffffff008494544
0xfffffff00928972c: 7f2303d5  pacibsp	
0xfffffff009289730: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009289734: fd030091  mov	x29, sp
0xfffffff009289738: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff00928973c: 00c02b91  add	x0, x0, #0xaf0
0xfffffff009289740: 8211fff0  adrp	x2, #0xfffffff0074bc000
0xfffffff009289744: 42fc2c91  add	x2, x2, #0xb3f
0xfffffff009289748: 21068052  mov	w1, #0x31
0xfffffff00928974c: 7e2bc897  bl	#0xfffffff008494544
0xfffffff009289750: 7f2303d5  pacibsp	
0xfffffff009289754: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009289758: fd030091  mov	x29, sp
0xfffffff00928975c: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff009289760: 00e83391  add	x0, x0, #0xcfa
0xfffffff009289764: 8211fff0  adrp	x2, #0xfffffff0074bc000
0xfffffff009289768: 42143591  add	x2, x2, #0xd45
0xfffffff00928976c: a10a8052  mov	w1, #0x55
0xfffffff009289770: 752bc897  bl	#0xfffffff008494544
0xfffffff009289774: 7f2303d5  pacibsp	
0xfffffff009289778: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00928977c: fd030091  mov	x29, sp
0xfffffff009289780: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff009289784: 00e83391  add	x0, x0, #0xcfa
0xfffffff009289788: 8211fff0  adrp	x2, #0xfffffff0074bc000
0xfffffff00928978c: 42883591  add	x2, x2, #0xd62
0xfffffff009289790: 210b8052  mov	w1, #0x59
0xfffffff009289794: 6c2bc897  bl	#0xfffffff008494544
0xfffffff009289798: 7f2303d5  pacibsp	
0xfffffff00928979c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092897a0: fd030091  mov	x29, sp
0xfffffff0092897a4: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff0092897a8: 00e83391  add	x0, x0, #0xcfa
0xfffffff0092897ac: 8211fff0  adrp	x2, #0xfffffff0074bc000
0xfffffff0092897b0: 42283691  add	x2, x2, #0xd8a
0xfffffff0092897b4: 210c8052  mov	w1, #0x61
0xfffffff0092897b8: 632bc897  bl	#0xfffffff008494544
0xfffffff0092897bc: 7f2303d5  pacibsp	
0xfffffff0092897c0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092897c4: fd030091  mov	x29, sp
0xfffffff0092897c8: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff0092897cc: 00e83391  add	x0, x0, #0xcfa
0xfffffff0092897d0: 8211fff0  adrp	x2, #0xfffffff0074bc000
0xfffffff0092897d4: 423c3791  add	x2, x2, #0xdcf
0xfffffff0092897d8: a10c8052  mov	w1, #0x65
0xfffffff0092897dc: 5a2bc897  bl	#0xfffffff008494544
0xfffffff0092897e0: 7f2303d5  pacibsp	
0xfffffff0092897e4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092897e8: fd030091  mov	x29, sp
0xfffffff0092897ec: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff0092897f0: 00e83391  add	x0, x0, #0xcfa
0xfffffff0092897f4: 8211fff0  adrp	x2, #0xfffffff0074bc000
0xfffffff0092897f8: 42e43891  add	x2, x2, #0xe39
0xfffffff0092897fc: 81108052  mov	w1, #0x84
0xfffffff009289800: 512bc897  bl	#0xfffffff008494544
0xfffffff009289804: 7f2303d5  pacibsp	
0xfffffff009289808: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00928980c: fd030091  mov	x29, sp
0xfffffff009289810: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff009289814: 00e83391  add	x0, x0, #0xcfa
0xfffffff009289818: 8211fff0  adrp	x2, #0xfffffff0074bc000
0xfffffff00928981c: 42643791  add	x2, x2, #0xdd9
0xfffffff009289820: c10d8052  mov	w1, #0x6e
