; Candidate 15022
; ADRP+ADD at VM 0xfffffff009a45bd8 (fileoff 0x2a41bd8): page=0x1fdbc6000 add_imm=0xe70

0xfffffff009a45b58: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009a45b5c: e90310aa  mov	x9, x16
0xfffffff009a45b60: e00313aa  mov	x0, x19
0xfffffff009a45b64: f10309aa  mov	x17, x9
0xfffffff009a45b68: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009a45b6c: 11093fd7  blraa	x8, x17
0xfffffff009a45b70: 1e219297  bl	#0xfffffff007ecdfe8
0xfffffff009a45b74: f30300aa  mov	x19, x0
0xfffffff009a45b78: 81858e97  bl	#0xfffffff007de717c
0xfffffff009a45b7c: e00313aa  mov	x0, x19
0xfffffff009a45b80: 85988e97  bl	#0xfffffff007debd94
0xfffffff009a45b84: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009a45b88: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009a45b8c: ffc30091  add	sp, sp, #0x30
0xfffffff009a45b90: ff0f5fd6  retab	
0xfffffff009a45b94: f40313aa  mov	x20, x19
0xfffffff009a45b98: 34b4f9f2  movk	x20, #0xcda1, lsl #48
0xfffffff009a45b9c: edffff17  b	#0xfffffff009a45b50
0xfffffff009a45ba0: 7f2303d5  pacibsp	
0xfffffff009a45ba4: ff0301d1  sub	sp, sp, #0x40
0xfffffff009a45ba8: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009a45bac: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009a45bb0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009a45bb4: fdc30091  add	x29, sp, #0x30
0xfffffff009a45bb8: f30300aa  mov	x19, x0
0xfffffff009a45bbc: ff0f00b9  str	wzr, [sp, #0xc]
0xfffffff009a45bc0: 824b00d0  adrp	x2, #0xfffffff00a3b7000
0xfffffff009a45bc4: 42e02491  add	x2, x2, #0x938
0xfffffff009a45bc8: 00008052  mov	w0, #0
0xfffffff009a45bcc: 21008052  mov	w1, #1
0xfffffff009a45bd0: a375a297  bl	#0xfffffff0082e325c
0xfffffff009a45bd4: 40010034  cbz	w0, #0xfffffff009a45bfc
0xfffffff009a45bd8: 20defed0  adrp	x0, #0xfffffff00760b000
0xfffffff009a45bdc: 00c03991  add	x0, x0, #0xe70
0xfffffff009a45be0: e1330091  add	x1, sp, #0xc
0xfffffff009a45be4: 82008052  mov	w2, #4
0xfffffff009a45be8: f49ca897  bl	#0xfffffff00846cfb8
0xfffffff009a45bec: 80000034  cbz	w0, #0xfffffff009a45bfc
0xfffffff009a45bf0: e80f40b9  ldr	w8, [sp, #0xc]
0xfffffff009a45bf4: 894b00d0  adrp	x9, #0xfffffff00a3b7000
0xfffffff009a45bf8: 280909b9  str	w8, [x9, #0x908]
0xfffffff009a45bfc: 2013ff90  adrp	x0, #0xfffffff007ca9000
0xfffffff009a45c00: 00e01491  add	x0, x0, #0x538
0xfffffff009a45c04: 3c42a497  bl	#0xfffffff0083564f4
0xfffffff009a45c08: 607600f9  str	x0, [x19, #0xe8]
0xfffffff009a45c0c: 602600b4  cbz	x0, #0xfffffff009a460d8
0xfffffff009a45c10: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009a45c14: 000001ad  stp	q0, q0, [x0, #0x20]
0xfffffff009a45c18: 000000ad  stp	q0, q0, [x0]
0xfffffff009a45c1c: 700240f9  ldr	x16, [x19]
0xfffffff009a45c20: f10313aa  mov	x17, x19
0xfffffff009a45c24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a45c28: 301ac1da  autda	x16, x17
0xfffffff009a45c2c: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff009a45c30: e90310aa  mov	x9, x16
0xfffffff009a45c34: 21defed0  adrp	x1, #0xfffffff00760b000
0xfffffff009a45c38: 21903591  add	x1, x1, #0xd64
0xfffffff009a45c3c: e00313aa  mov	x0, x19
0xfffffff009a45c40: 02008052  mov	w2, #0
0xfffffff009a45c44: f10309aa  mov	x17, x9
0xfffffff009a45c48: d145e2f2  movk	x17, #0x122e, lsl #48
0xfffffff009a45c4c: 11093fd7  blraa	x8, x17
0xfffffff009a45c50: 700240f9  ldr	x16, [x19]
0xfffffff009a45c54: f10313aa  mov	x17, x19
