; Candidate 5486
; ADRP+ADD at VM 0xfffffff0087f3ebc (fileoff 0x17efebc): page=0x1fe9f6000 add_imm=0xe80

0xfffffff0087f3e3c: 29288052  mov	w9, #0x141
0xfffffff0087f3e40: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f3e44: 0851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f3e48: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f3e4c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f3e50: e80e8052  mov	w8, #0x77
0xfffffff0087f3e54: f72300a9  stp	x23, x8, [sp]
0xfffffff0087f3e58: a04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f3e5c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f3e60: a190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f3e64: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f3e68: 6352ffb0  adrp	x3, #0xfffffff007240000
0xfffffff0087f3e6c: 63b40e91  add	x3, x3, #0x3ad
0xfffffff0087f3e70: 02008052  mov	w2, #0
0xfffffff0087f3e74: affcec97  bl	#0xfffffff008333130
0xfffffff0087f3e78: 32000014  b	#0xfffffff0087f3f40
0xfffffff0087f3e7c: cc000394  bl	#0xfffffff0088b41ac
0xfffffff0087f3e80: f80300aa  mov	x24, x0
0xfffffff0087f3e84: 80008052  mov	w0, #4
0xfffffff0087f3e88: 721e0294  bl	#0xfffffff00887b850
0xfffffff0087f3e8c: 4a0340b9  ldr	w10, [x26]
0xfffffff0087f3e90: fcd703a9  stp	x28, x21, [sp, #0x38]
0xfffffff0087f3e94: e850ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087f3e98: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087f3e9c: 292c8052  mov	w9, #0x161
0xfffffff0087f3ea0: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087f3ea4: 0851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f3ea8: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f3eac: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f3eb0: e80e8052  mov	w8, #0x77
0xfffffff0087f3eb4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f3eb8: f80300f9  str	x24, [sp]
0xfffffff0087f3ebc: a04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f3ec0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f3ec4: a190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f3ec8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f3ecc: 6352ffb0  adrp	x3, #0xfffffff007240000
0xfffffff0087f3ed0: 63941091  add	x3, x3, #0x425
0xfffffff0087f3ed4: 02008052  mov	w2, #0
0xfffffff0087f3ed8: 96fcec97  bl	#0xfffffff008333130
0xfffffff0087f3edc: f94b40f9  ldr	x25, [sp, #0x90]
0xfffffff0087f3ee0: 19000014  b	#0xfffffff0087f3f44
0xfffffff0087f3ee4: b2000394  bl	#0xfffffff0088b41ac
0xfffffff0087f3ee8: f70300aa  mov	x23, x0
0xfffffff0087f3eec: 80008052  mov	w0, #4
0xfffffff0087f3ef0: 581e0294  bl	#0xfffffff00887b850
0xfffffff0087f3ef4: 480340b9  ldr	w8, [x26]
0xfffffff0087f3ef8: e87303a9  stp	x8, x28, [sp, #0x30]
0xfffffff0087f3efc: 0851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f3f00: 08fd2591  add	x8, x8, #0x97f
0xfffffff0087f3f04: 092a8052  mov	w9, #0x150
0xfffffff0087f3f08: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f3f0c: 0851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f3f10: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f3f14: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f3f18: e80e8052  mov	w8, #0x77
0xfffffff0087f3f1c: f72300a9  stp	x23, x8, [sp]
0xfffffff0087f3f20: a04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f3f24: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f3f28: a190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f3f2c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f3f30: 6352ffb0  adrp	x3, #0xfffffff007240000
0xfffffff0087f3f34: 63a40f91  add	x3, x3, #0x3e9
0xfffffff0087f3f38: 02008052  mov	w2, #0
