; Candidate 3599
; ADRP+ADD at VM 0xfffffff008747964 (fileoff 0x1743964): page=0x1fe9ea000 add_imm=0xd90

0xfffffff0087478e4: 616642f9  ldr	x1, [x19, #0x4c8]
0xfffffff0087478e8: 29040091  add	x9, x1, #1
0xfffffff0087478ec: 3f0500f1  cmp	x9, #1
0xfffffff0087478f0: c8040054  b.hi	#0xfffffff008747988
0xfffffff0087478f4: 93578052  mov	w19, #0x2bc
0xfffffff0087478f8: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0087478fc: f6d300a9  stp	x22, x20, [sp, #8]
0xfffffff008747900: 8850ff90  adrp	x8, #0xfffffff007157000
0xfffffff008747904: 08553991  add	x8, x8, #0xe55
0xfffffff008747908: e80300f9  str	x8, [sp]
0xfffffff00874790c: 404fffd0  adrp	x0, #0xfffffff007131000
0xfffffff008747910: 00403691  add	x0, x0, #0xd90
0xfffffff008747914: a195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008747918: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874791c: c34fff90  adrp	x3, #0xfffffff00713f000
0xfffffff008747920: 63240c91  add	x3, x3, #0x309
0xfffffff008747924: 02008052  mov	w2, #0
0xfffffff008747928: 02aeef97  bl	#0xfffffff008333130
0xfffffff00874792c: 8f000014  b	#0xfffffff008747b68
0xfffffff008747930: 16060035  cbnz	w22, #0xfffffff0087479f0
0xfffffff008747934: 085041f9  ldr	x8, [x0, #0x2a0]
0xfffffff008747938: c80000b4  cbz	x8, #0xfffffff008747950
0xfffffff00874793c: 13cc348b  add	x19, x0, w20, sxtw #3
0xfffffff008747940: 61d641f9  ldr	x1, [x19, #0x3a8]
0xfffffff008747944: 29040091  add	x9, x1, #1
0xfffffff008747948: 3f0500f1  cmp	x9, #1
0xfffffff00874794c: 080b0054  b.hi	#0xfffffff008747aac
0xfffffff008747950: 93578052  mov	w19, #0x2bc
0xfffffff008747954: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008747958: 8850ff90  adrp	x8, #0xfffffff007157000
0xfffffff00874795c: 08553991  add	x8, x8, #0xe55
0xfffffff008747960: e85300a9  stp	x8, x20, [sp]
0xfffffff008747964: 404fffd0  adrp	x0, #0xfffffff007131000
0xfffffff008747968: 00403691  add	x0, x0, #0xd90
0xfffffff00874796c: a195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008747970: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008747974: c34fff90  adrp	x3, #0xfffffff00713f000
0xfffffff008747978: 63440991  add	x3, x3, #0x251
0xfffffff00874797c: 02008052  mov	w2, #0
0xfffffff008747980: ecadef97  bl	#0xfffffff008333130
0xfffffff008747984: 79000014  b	#0xfffffff008747b68
0xfffffff008747988: 100140f9  ldr	x16, [x8]
0xfffffff00874798c: f10308aa  mov	x17, x8
0xfffffff008747990: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008747994: 301ac1da  autda	x16, x17
0xfffffff008747998: 11b980d2  mov	x17, #0x5c8
0xfffffff00874799c: 1002118b  add	x16, x16, x17
0xfffffff0087479a0: 090240f9  ldr	x9, [x16]
0xfffffff0087479a4: ea0310aa  mov	x10, x16
0xfffffff0087479a8: e2a30091  add	x2, sp, #0x28
0xfffffff0087479ac: e00308aa  mov	x0, x8
0xfffffff0087479b0: f1030aaa  mov	x17, x10
0xfffffff0087479b4: b120fef2  movk	x17, #0xf105, lsl #48
0xfffffff0087479b8: 31093fd7  blraa	x9, x17
0xfffffff0087479bc: 60030034  cbz	w0, #0xfffffff008747a28
0xfffffff0087479c0: 93578052  mov	w19, #0x2bc
0xfffffff0087479c4: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0087479c8: e00300f9  str	x0, [sp]
0xfffffff0087479cc: 404fffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087479d0: 00403691  add	x0, x0, #0xd90
0xfffffff0087479d4: a195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087479d8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087479dc: c34fff90  adrp	x3, #0xfffffff00713f000
0xfffffff0087479e0: 63cc0d91  add	x3, x3, #0x373
