; Candidate 8446
; ADRP+ADD at VM 0xfffffff0088ab1f8 (fileoff 0x18a71f8): page=0x1fe93e000 add_imm=0xe80

0xfffffff0088ab178: 330500b4  cbz	x19, #0xfffffff0088ab21c
0xfffffff0088ab17c: 160080d2  mov	x22, #0
0xfffffff0088ab180: 740200b9  str	w20, [x19]
0xfffffff0088ab184: f70313aa  mov	x23, x19
0xfffffff0088ab188: 6812168b  add	x8, x19, x22, lsl #4
0xfffffff0088ab18c: 15413091  add	x21, x8, #0xc10
0xfffffff0088ab190: e00315aa  mov	x0, x21
0xfffffff0088ab194: 8f10fe97  bl	#0xfffffff00882f3d0
0xfffffff0088ab198: 18028052  mov	w24, #0x10
0xfffffff0088ab19c: e102188b  add	x1, x23, x24
0xfffffff0088ab1a0: e00315aa  mov	x0, x21
0xfffffff0088ab1a4: 6312fe97  bl	#0xfffffff00882fb30
0xfffffff0088ab1a8: 18830091  add	x24, x24, #0x20
0xfffffff0088ab1ac: 1f4306f1  cmp	x24, #0x190
0xfffffff0088ab1b0: 61ffff54  b.ne	#0xfffffff0088ab19c
0xfffffff0088ab1b4: d6060091  add	x22, x22, #1
0xfffffff0088ab1b8: f7020691  add	x23, x23, #0x180
0xfffffff0088ab1bc: df2200f1  cmp	x22, #8
0xfffffff0088ab1c0: 41feff54  b.ne	#0xfffffff0088ab188
0xfffffff0088ab1c4: 15008052  mov	w21, #0
0xfffffff0088ab1c8: 48000014  b	#0xfffffff0088ab2e8
0xfffffff0088ab1cc: f8230094  bl	#0xfffffff0088b41ac
0xfffffff0088ab1d0: f50300aa  mov	x21, x0
0xfffffff0088ab1d4: e0008052  mov	w0, #7
0xfffffff0088ab1d8: 9e41ff97  bl	#0xfffffff00887b850
0xfffffff0088ab1dc: e80314aa  mov	x8, x20
0xfffffff0088ab1e0: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff0088ab1e4: 484cff90  adrp	x8, #0xfffffff007233000
0xfffffff0088ab1e8: 08211291  add	x8, x8, #0x488
0xfffffff0088ab1ec: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088ab1f0: c80f8052  mov	w8, #0x7e
0xfffffff0088ab1f4: f52300a9  stp	x21, x8, [sp]
0xfffffff0088ab1f8: e049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ab1fc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ab200: e18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088ab204: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ab208: c34dff90  adrp	x3, #0xfffffff007263000
0xfffffff0088ab20c: 63c41791  add	x3, x3, #0x5f1
0xfffffff0088ab210: 02008052  mov	w2, #0
0xfffffff0088ab214: c71fea97  bl	#0xfffffff008333130
0xfffffff0088ab218: 33fbffb5  cbnz	x19, #0xfffffff0088ab17c
0xfffffff0088ab21c: c00f8052  mov	w0, #0x7e
0xfffffff0088ab220: 81008052  mov	w1, #4
0xfffffff0088ab224: 6b41ff97  bl	#0xfffffff00887b7d0
0xfffffff0088ab228: e0050034  cbz	w0, #0xfffffff0088ab2e4
0xfffffff0088ab22c: c00f8052  mov	w0, #0x7e
0xfffffff0088ab230: 7a41ff97  bl	#0xfffffff00887b818
0xfffffff0088ab234: f60300aa  mov	x22, x0
0xfffffff0088ab238: dd230094  bl	#0xfffffff0088b41ac
0xfffffff0088ab23c: f50300aa  mov	x21, x0
0xfffffff0088ab240: 80008052  mov	w0, #4
0xfffffff0088ab244: 8341ff97  bl	#0xfffffff00887b850
0xfffffff0088ab248: 16020034  cbz	w22, #0xfffffff0088ab288
0xfffffff0088ab24c: e80314aa  mov	x8, x20
0xfffffff0088ab250: ff2303a9  stp	xzr, x8, [sp, #0x30]
0xfffffff0088ab254: 484cff90  adrp	x8, #0xfffffff007233000
0xfffffff0088ab258: 08911291  add	x8, x8, #0x4a4
0xfffffff0088ab25c: 49578052  mov	w9, #0x2ba
0xfffffff0088ab260: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088ab264: 484cff90  adrp	x8, #0xfffffff007233000
0xfffffff0088ab268: 08211291  add	x8, x8, #0x488
0xfffffff0088ab26c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088ab270: c80f8052  mov	w8, #0x7e
0xfffffff0088ab274: 804bffd0  adrp	x0, #0xfffffff00721d000
