; Candidate 4186
; ADRP+ADD at VM 0xfffffff008795958 (fileoff 0x1791958): page=0x1fe99c000 add_imm=0xd90

0xfffffff0087958d8: f10300aa  mov	x17, x0
0xfffffff0087958dc: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff0087958e0: 301ac1da  autda	x16, x17
0xfffffff0087958e4: 080e43f8  ldr	x8, [x16, #0x30]!
0xfffffff0087958e8: e70310aa  mov	x7, x16
0xfffffff0087958ec: f00308aa  mov	x16, x8
0xfffffff0087958f0: 050080d2  mov	x5, #0
0xfffffff0087958f4: 060080d2  mov	x6, #0
0xfffffff0087958f8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0087958fc: ff830091  add	sp, sp, #0x20
0xfffffff008795900: ff2303d5  autibsp	
0xfffffff008795904: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008795908: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008795910
0xfffffff00879590c: 208e38d4  brk	#0xc471
0xfffffff008795910: f10307aa  mov	x17, x7
0xfffffff008795914: f15beaf2  movk	x17, #0x52df, lsl #48
0xfffffff008795918: 110a1fd7  braa	x16, x17
0xfffffff00879591c: 00278052  mov	w0, #0x138
0xfffffff008795920: e4ffff17  b	#0xfffffff0087958b0
0xfffffff008795924: 7f2303d5  pacibsp	
0xfffffff008795928: ffc300d1  sub	sp, sp, #0x30
0xfffffff00879592c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008795930: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008795934: fd830091  add	x29, sp, #0x20
0xfffffff008795938: 095c70b9  ldr	w9, [x0, #0x305c]
0xfffffff00879593c: 3f050071  cmp	w9, #1
0xfffffff008795940: e1010054  b.ne	#0xfffffff00879597c
0xfffffff008795944: 33588052  mov	w19, #0x2c1
0xfffffff008795948: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff00879594c: 284effd0  adrp	x8, #0xfffffff00715b000
0xfffffff008795950: 088d0691  add	x8, x8, #0x1a3
0xfffffff008795954: e80300f9  str	x8, [sp]
0xfffffff008795958: e04cff90  adrp	x0, #0xfffffff007131000
0xfffffff00879595c: 00403691  add	x0, x0, #0xd90
0xfffffff008795960: 4193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008795964: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008795968: 834dffd0  adrp	x3, #0xfffffff007147000
0xfffffff00879596c: 63800a91  add	x3, x3, #0x2a0
0xfffffff008795970: 02008052  mov	w2, #0
0xfffffff008795974: ef75ee97  bl	#0xfffffff008333130
0xfffffff008795978: 24000014  b	#0xfffffff008795a08
0xfffffff00879597c: 094441b9  ldr	w9, [x0, #0x144]
0xfffffff008795980: 2a0d0051  sub	w10, w9, #3
0xfffffff008795984: 5f090071  cmp	w10, #2
0xfffffff008795988: 42020054  b.hs	#0xfffffff0087959d0
0xfffffff00879598c: e80301aa  mov	x8, x1
0xfffffff008795990: 210040b9  ldr	w1, [x1]
0xfffffff008795994: 3ff80171  cmp	w1, #0x7e
0xfffffff008795998: 23040054  b.lo	#0xfffffff008795a1c
0xfffffff00879599c: 284effd0  adrp	x8, #0xfffffff00715b000
0xfffffff0087959a0: 088d0691  add	x8, x8, #0x1a3
0xfffffff0087959a4: e80700a9  stp	x8, x1, [sp]
0xfffffff0087959a8: e04cff90  adrp	x0, #0xfffffff007131000
0xfffffff0087959ac: 00403691  add	x0, x0, #0xd90
0xfffffff0087959b0: 4193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087959b4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087959b8: 834dffd0  adrp	x3, #0xfffffff007147000
0xfffffff0087959bc: 63ac0c91  add	x3, x3, #0x32b
0xfffffff0087959c0: 02008052  mov	w2, #0
0xfffffff0087959c4: db75ee97  bl	#0xfffffff008333130
0xfffffff0087959c8: 93268052  mov	w19, #0x134
0xfffffff0087959cc: 0f000014  b	#0xfffffff008795a08
0xfffffff0087959d0: 284effd0  adrp	x8, #0xfffffff00715b000
0xfffffff0087959d4: 088d0691  add	x8, x8, #0x1a3
