; Candidate 2591
; ADRP+ADD at VM 0xfffffff0086cd734 (fileoff 0x16c9734): page=0x1fea57000 add_imm=0xd05

0xfffffff0086cd6b4: ffc30191  add	sp, sp, #0x70
0xfffffff0086cd6b8: ff0f5fd6  retab	
0xfffffff0086cd6bc: 7f2303d5  pacibsp	
0xfffffff0086cd6c0: ff4301d1  sub	sp, sp, #0x50
0xfffffff0086cd6c4: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0086cd6c8: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0086cd6cc: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0086cd6d0: fd030191  add	x29, sp, #0x40
0xfffffff0086cd6d4: f40301aa  mov	x20, x1
0xfffffff0086cd6d8: f30300aa  mov	x19, x0
0xfffffff0086cd6dc: 76e00090  adrp	x22, #0xfffffff00a2d9000
0xfffffff0086cd6e0: d6621a91  add	x22, x22, #0x698
0xfffffff0086cd6e4: c8024039  ldrb	w8, [x22]
0xfffffff0086cd6e8: 1f0d0071  cmp	w8, #3
0xfffffff0086cd6ec: a3020054  b.lo	#0xfffffff0086cd740
0xfffffff0086cd6f0: e803142a  mov	w8, w20
0xfffffff0086cd6f4: e80300f9  str	x8, [sp]
0xfffffff0086cd6f8: a052ff90  adrp	x0, #0xfffffff007121000
0xfffffff0086cd6fc: 00400591  add	x0, x0, #0x150
0xfffffff0086cd700: a198ffd0  adrp	x1, #0xfffffff0079e3000
0xfffffff0086cd704: 214847f9  ldr	x1, [x1, #0xe90]
0xfffffff0086cd708: a352fff0  adrp	x3, #0xfffffff007124000
0xfffffff0086cd70c: 630c0d91  add	x3, x3, #0x343
0xfffffff0086cd710: 02008052  mov	w2, #0
0xfffffff0086cd714: 8796f197  bl	#0xfffffff008333130
0xfffffff0086cd718: c8064039  ldrb	w8, [x22, #1]
0xfffffff0086cd71c: 28010034  cbz	w8, #0xfffffff0086cd740
0xfffffff0086cd720: a852fff0  adrp	x8, #0xfffffff007124000
0xfffffff0086cd724: 08a13491  add	x8, x8, #0xd28
0xfffffff0086cd728: c95b8052  mov	w9, #0x2de
0xfffffff0086cd72c: e9d300a9  stp	x9, x20, [sp, #8]
0xfffffff0086cd730: e80300f9  str	x8, [sp]
0xfffffff0086cd734: a052fff0  adrp	x0, #0xfffffff007124000
0xfffffff0086cd738: 00143491  add	x0, x0, #0xd05
0xfffffff0086cd73c: 3926f297  bl	#0xfffffff008357020
0xfffffff0086cd740: 700240f9  ldr	x16, [x19]
0xfffffff0086cd744: f10313aa  mov	x17, x19
0xfffffff0086cd748: f1eceaf2  movk	x17, #0x5767, lsl #48
0xfffffff0086cd74c: 301ac1da  autda	x16, x17
0xfffffff0086cd750: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0086cd754: e90310aa  mov	x9, x16
0xfffffff0086cd758: e00313aa  mov	x0, x19
0xfffffff0086cd75c: f10309aa  mov	x17, x9
0xfffffff0086cd760: f1d3eef2  movk	x17, #0x769f, lsl #48
0xfffffff0086cd764: 11093fd7  blraa	x8, x17
0xfffffff0086cd768: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0086cd76c: a8030034  cbz	w8, #0xfffffff0086cd7e0
0xfffffff0086cd770: 68824739  ldrb	w8, [x19, #0x1e0]
0xfffffff0086cd774: 08030034  cbz	w8, #0xfffffff0086cd7d4
0xfffffff0086cd778: f4020037  tbnz	w20, #0, #0xfffffff0086cd7d4
0xfffffff0086cd77c: 700240f9  ldr	x16, [x19]
0xfffffff0086cd780: f10313aa  mov	x17, x19
0xfffffff0086cd784: f1eceaf2  movk	x17, #0x5767, lsl #48
0xfffffff0086cd788: 301ac1da  autda	x16, x17
0xfffffff0086cd78c: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff0086cd790: e90310aa  mov	x9, x16
0xfffffff0086cd794: e00313aa  mov	x0, x19
0xfffffff0086cd798: f10309aa  mov	x17, x9
0xfffffff0086cd79c: d1b0e3f2  movk	x17, #0x1d86, lsl #48
0xfffffff0086cd7a0: 11093fd7  blraa	x8, x17
0xfffffff0086cd7a4: 610e40f9  ldr	x1, [x19, #0x18]
0xfffffff0086cd7a8: 621240b9  ldr	w2, [x19, #0x10]
0xfffffff0086cd7ac: 700240f9  ldr	x16, [x19]
0xfffffff0086cd7b0: f10313aa  mov	x17, x19
