; Candidate 4270
; ADRP+ADD at VM 0xfffffff00879b258 (fileoff 0x1797258): page=0x1fe996000 add_imm=0xd90

0xfffffff00879b1d8: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00879b1dc: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00879b1e0: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00879b1e4: ff030291  add	sp, sp, #0x80
0xfffffff00879b1e8: ff0f5fd6  retab	
0xfffffff00879b1ec: 7f2303d5  pacibsp	
0xfffffff00879b1f0: ff8301d1  sub	sp, sp, #0x60
0xfffffff00879b1f4: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff00879b1f8: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00879b1fc: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00879b200: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00879b204: fd430191  add	x29, sp, #0x50
0xfffffff00879b208: f30300aa  mov	x19, x0
0xfffffff00879b20c: ff1f00b9  str	wzr, [sp, #0x1c]
0xfffffff00879b210: 081840f9  ldr	x8, [x0, #0x30]
0xfffffff00879b214: c80100b4  cbz	x8, #0xfffffff00879b24c
0xfffffff00879b218: f50301aa  mov	x21, x1
0xfffffff00879b21c: 68724139  ldrb	w8, [x19, #0x5c]
0xfffffff00879b220: 48050034  cbz	w8, #0xfffffff00879b2c8
0xfffffff00879b224: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff00879b228: 1f050031  cmn	w8, #1
0xfffffff00879b22c: e0020054  b.eq	#0xfffffff00879b288
0xfffffff00879b230: 602a40f9  ldr	x0, [x19, #0x50]
0xfffffff00879b234: a00200b4  cbz	x0, #0xfffffff00879b288
0xfffffff00879b238: 936dfc97  bl	#0xfffffff0086b6884
0xfffffff00879b23c: 602a40f9  ldr	x0, [x19, #0x50]
0xfffffff00879b240: cc6dfc97  bl	#0xfffffff0086b6970
0xfffffff00879b244: f40300aa  mov	x20, x0
0xfffffff00879b248: 11000014  b	#0xfffffff00879b28c
0xfffffff00879b24c: a84dffb0  adrp	x8, #0xfffffff007150000
0xfffffff00879b250: 08c12c91  add	x8, x8, #0xb30
0xfffffff00879b254: e80300f9  str	x8, [sp]
0xfffffff00879b258: a04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879b25c: 00403691  add	x0, x0, #0xd90
0xfffffff00879b260: 0193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879b264: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879b268: 634dffd0  adrp	x3, #0xfffffff007149000
0xfffffff00879b26c: 63181791  add	x3, x3, #0x5c6
0xfffffff00879b270: 02008052  mov	w2, #0
0xfffffff00879b274: af5fee97  bl	#0xfffffff008333130
0xfffffff00879b278: 14008052  mov	w20, #0
0xfffffff00879b27c: 08008012  mov	w8, #-1
0xfffffff00879b280: 685a00b9  str	w8, [x19, #0x58]
0xfffffff00879b284: 4c000014  b	#0xfffffff00879b3b4
0xfffffff00879b288: 14008052  mov	w20, #0
0xfffffff00879b28c: 9f02156b  cmp	w20, w21
0xfffffff00879b290: 22090054  b.hs	#0xfffffff00879b3b4
0xfffffff00879b294: f4d700a9  stp	x20, x21, [sp, #8]
0xfffffff00879b298: a84dffb0  adrp	x8, #0xfffffff007150000
0xfffffff00879b29c: 08c12c91  add	x8, x8, #0xb30
0xfffffff00879b2a0: e80300f9  str	x8, [sp]
0xfffffff00879b2a4: a04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879b2a8: 00403691  add	x0, x0, #0xd90
0xfffffff00879b2ac: 0193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879b2b0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879b2b4: 634dffd0  adrp	x3, #0xfffffff007149000
0xfffffff00879b2b8: 636c1c91  add	x3, x3, #0x71b
0xfffffff00879b2bc: 02008052  mov	w2, #0
0xfffffff00879b2c0: 9c5fee97  bl	#0xfffffff008333130
0xfffffff00879b2c4: 3c000014  b	#0xfffffff00879b3b4
0xfffffff00879b2c8: a0008052  mov	w0, #5
0xfffffff00879b2cc: e10315aa  mov	x1, x21
0xfffffff00879b2d0: 9e6efc97  bl	#0xfffffff0086b6d48
0xfffffff00879b2d4: 400500b4  cbz	x0, #0xfffffff00879b37c
