; Candidate 7041
; ADRP+ADD at VM 0xfffffff008852a74 (fileoff 0x184ea74): page=0x1fe997000 add_imm=0xe80

0xfffffff0088529f4: 187d8012  mov	w24, #-0x3e9
0xfffffff0088529f8: 26000014  b	#0xfffffff008852a90
0xfffffff0088529fc: f87c8012  mov	w24, #-0x3e8
0xfffffff008852a00: 24000014  b	#0xfffffff008852a90
0xfffffff008852a04: ea850194  bl	#0xfffffff0088b41ac
0xfffffff008852a08: f80300aa  mov	x24, x0
0xfffffff008852a0c: a0008052  mov	w0, #5
0xfffffff008852a10: 90a30094  bl	#0xfffffff00887b850
0xfffffff008852a14: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008852a18: 891a40b9  ldr	w9, [x20, #0x18]
0xfffffff008852a1c: 0a0b8052  mov	w10, #0x58
0xfffffff008852a20: 4a0140b9  ldr	w10, [x10]
0xfffffff008852a24: 8b8a40b9  ldr	w11, [x20, #0x88]
0xfffffff008852a28: 0c128052  mov	w12, #0x90
0xfffffff008852a2c: eb3307a9  stp	x11, x12, [sp, #0x70]
0xfffffff008852a30: ea5706a9  stp	x10, x21, [sp, #0x60]
0xfffffff008852a34: e97f05a9  stp	x9, xzr, [sp, #0x50]
0xfffffff008852a38: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff008852a3c: a84eff90  adrp	x8, #0xfffffff007226000
0xfffffff008852a40: 08090f91  add	x8, x8, #0x3c2
0xfffffff008852a44: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008852a48: 287d8052  mov	w8, #0x3e9
0xfffffff008852a4c: a94eff90  adrp	x9, #0xfffffff007226000
0xfffffff008852a50: 29e91c91  add	x9, x9, #0x73a
0xfffffff008852a54: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008852a58: a84effb0  adrp	x8, #0xfffffff007227000
0xfffffff008852a5c: 08811191  add	x8, x8, #0x460
0xfffffff008852a60: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008852a64: e80d8052  mov	w8, #0x6f
0xfffffff008852a68: 0350ffb0  adrp	x3, #0xfffffff007253000
0xfffffff008852a6c: 63180d91  add	x3, x3, #0x346
0xfffffff008852a70: f82300a9  stp	x24, x8, [sp]
0xfffffff008852a74: a04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008852a78: 00003a91  add	x0, x0, #0xe80
0xfffffff008852a7c: a18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008852a80: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008852a84: 02008052  mov	w2, #0
0xfffffff008852a88: aa81eb97  bl	#0xfffffff008333130
0xfffffff008852a8c: f87f8012  mov	w24, #-0x400
0xfffffff008852a90: a18358f8  ldur	x1, [x29, #-0x78]
0xfffffff008852a94: 810000b4  cbz	x1, #0xfffffff008852aa4
0xfffffff008852a98: 606240f9  ldr	x0, [x19, #0xc0]
0xfffffff008852a9c: 02970094  bl	#0xfffffff0088786a4
0xfffffff008852aa0: bf8318f8  stur	xzr, [x29, #-0x78]
0xfffffff008852aa4: e00d8052  mov	w0, #0x6f
0xfffffff008852aa8: 01018052  mov	w1, #8
0xfffffff008852aac: 49a30094  bl	#0xfffffff00887b7d0
0xfffffff008852ab0: 60060034  cbz	w0, #0xfffffff008852b7c
0xfffffff008852ab4: e00d8052  mov	w0, #0x6f
0xfffffff008852ab8: 58a30094  bl	#0xfffffff00887b818
0xfffffff008852abc: fa0300aa  mov	x26, x0
0xfffffff008852ac0: bb850194  bl	#0xfffffff0088b41ac
0xfffffff008852ac4: f90300aa  mov	x25, x0
0xfffffff008852ac8: 00018052  mov	w0, #8
0xfffffff008852acc: 61a30094  bl	#0xfffffff00887b850
0xfffffff008852ad0: 5a020034  cbz	w26, #0xfffffff008852b18
0xfffffff008852ad4: e80318aa  mov	x8, x24
0xfffffff008852ad8: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008852adc: f72305a9  stp	x23, x8, [sp, #0x50]
0xfffffff008852ae0: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff008852ae4: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff008852ae8: a84eff90  adrp	x8, #0xfffffff007226000
0xfffffff008852aec: 08e91c91  add	x8, x8, #0x73a
0xfffffff008852af0: e84f02a9  stp	x8, x19, [sp, #0x20]
