; Candidate 11023
; ADRP+ADD at VM 0xfffffff008df7678 (fileoff 0x1df3678): page=0x1fe5cf000 add_imm=0xd84

0xfffffff008df75f8: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008df75fc: fd030291  add	x29, sp, #0x80
0xfffffff008df7600: f30301aa  mov	x19, x1
0xfffffff008df7604: f40300aa  mov	x20, x0
0xfffffff008df7608: 08a04439  ldrb	w8, [x0, #0x128]
0xfffffff008df760c: 772efff0  adrp	x23, #0xfffffff0073c6000
0xfffffff008df7610: f7de3691  add	x23, x23, #0xdb7
0xfffffff008df7614: 88032836  tbz	w8, #5, #0xfffffff008df7684
0xfffffff008df7618: 808e40f9  ldr	x0, [x20, #0x118]
0xfffffff008df761c: 100040f9  ldr	x16, [x0]
0xfffffff008df7620: f10300aa  mov	x17, x0
0xfffffff008df7624: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008df7628: 301ac1da  autda	x16, x17
0xfffffff008df762c: 113d80d2  mov	x17, #0x1e8
0xfffffff008df7630: 1002118b  add	x16, x16, x17
0xfffffff008df7634: 080240f9  ldr	x8, [x16]
0xfffffff008df7638: e90310aa  mov	x9, x16
0xfffffff008df763c: 010080d2  mov	x1, #0
0xfffffff008df7640: f10309aa  mov	x17, x9
0xfffffff008df7644: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008df7648: 11093fd7  blraa	x8, x17
0xfffffff008df764c: 88b64439  ldrb	w8, [x20, #0x12d]
0xfffffff008df7650: 692efff0  adrp	x9, #0xfffffff0073c6000
0xfffffff008df7654: 29753291  add	x9, x9, #0xc9d
0xfffffff008df7658: 6a2efff0  adrp	x10, #0xfffffff0073c6000
0xfffffff008df765c: 4abd3291  add	x10, x10, #0xcaf
0xfffffff008df7660: 1f010071  cmp	w8, #0
0xfffffff008df7664: 4801899a  csel	x8, x10, x9, eq
0xfffffff008df7668: ff2302a9  stp	xzr, x8, [sp, #0x20]
0xfffffff008df766c: 28478052  mov	w8, #0x239
0xfffffff008df7670: e84f01a9  stp	x8, x19, [sp, #0x10]
0xfffffff008df7674: e05f00a9  stp	x0, x23, [sp]
0xfffffff008df7678: 602efff0  adrp	x0, #0xfffffff0073c6000
0xfffffff008df767c: 00103691  add	x0, x0, #0xd84
0xfffffff008df7680: 687ed597  bl	#0xfffffff008357020
0xfffffff008df7684: b6829e52  mov	w22, #0xf415
0xfffffff008df7688: 96a4a072  movk	w22, #0x524, lsl #16
0xfffffff008df768c: f867ff90  adrp	x24, #0xfffffff007af3000
0xfffffff008df7690: 18f741f9  ldr	x24, [x24, #0x3e8]
0xfffffff008df7694: 080340b9  ldr	w8, [x24]
0xfffffff008df7698: 1f791c72  tst	w8, #0xfffffff7
0xfffffff008df769c: 20010054  b.eq	#0xfffffff008df76c0
0xfffffff008df76a0: 629240b9  ldr	w2, [x19, #0x90]
0xfffffff008df76a4: a0829e52  mov	w0, #0xf415
0xfffffff008df76a8: 80a4a072  movk	w0, #0x524, lsl #16
0xfffffff008df76ac: e10314aa  mov	x1, x20
0xfffffff008df76b0: 030080d2  mov	x3, #0
0xfffffff008df76b4: 040080d2  mov	x4, #0
0xfffffff008df76b8: 050080d2  mov	x5, #0
0xfffffff008df76bc: 121ace97  bl	#0xfffffff00817df04
0xfffffff008df76c0: 55588052  mov	w21, #0x2c2
0xfffffff008df76c4: 1500bc72  movk	w21, #0xe000, lsl #16
0xfffffff008df76c8: 88b64439  ldrb	w8, [x20, #0x12d]
0xfffffff008df76cc: e8020034  cbz	w8, #0xfffffff008df7728
0xfffffff008df76d0: 689240b9  ldr	w8, [x19, #0x90]
0xfffffff008df76d4: 1f050071  cmp	w8, #1
0xfffffff008df76d8: c0020054  b.eq	#0xfffffff008df7730
0xfffffff008df76dc: 1f090071  cmp	w8, #2
0xfffffff008df76e0: e1070054  b.ne	#0xfffffff008df77dc
0xfffffff008df76e4: 80ca40f9  ldr	x0, [x20, #0x190]
0xfffffff008df76e8: a00f00b4  cbz	x0, #0xfffffff008df78dc
0xfffffff008df76ec: 639249a9  ldp	x3, x4, [x19, #0x98]
0xfffffff008df76f0: 100040f9  ldr	x16, [x0]
0xfffffff008df76f4: f10300aa  mov	x17, x0
