; Candidate 9282
; ADRP+ADD at VM 0xfffffff008a20f1c (fileoff 0x1a1cf1c): page=0x1fe879000 add_imm=0xe40

0xfffffff008a20e9c: 610100b4  cbz	x1, #0xfffffff008a20ec8
0xfffffff008a20ea0: 21004039  ldrb	w1, [x1]
0xfffffff008a20ea4: 001440f9  ldr	x0, [x0, #0x28]
0xfffffff008a20ea8: 49feff97  bl	#0xfffffff008a207cc
0xfffffff008a20eac: f30300aa  mov	x19, x0
0xfffffff008a20eb0: 00030035  cbnz	w0, #0xfffffff008a20f10
0xfffffff008a20eb4: e00313aa  mov	x0, x19
0xfffffff008a20eb8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008a20ebc: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008a20ec0: ffc30091  add	sp, sp, #0x30
0xfffffff008a20ec4: ff0f5fd6  retab	
0xfffffff008a20ec8: f343ff90  adrp	x19, #0xfffffff00729c000
0xfffffff008a20ecc: 73e21e91  add	x19, x19, #0x7b8
0xfffffff008a20ed0: f30300f9  str	x19, [sp]
0xfffffff008a20ed4: c043ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a20ed8: 00003991  add	x0, x0, #0xe40
0xfffffff008a20edc: 4181fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a20ee0: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a20ee4: e343fff0  adrp	x3, #0xfffffff00729f000
0xfffffff008a20ee8: 633c3591  add	x3, x3, #0xd4f
0xfffffff008a20eec: 02028052  mov	w2, #0x10
0xfffffff008a20ef0: 9048e497  bl	#0xfffffff008333130
0xfffffff008a20ef4: f30300f9  str	x19, [sp]
0xfffffff008a20ef8: e043ff90  adrp	x0, #0xfffffff00729c000
0xfffffff008a20efc: 00141f91  add	x0, x0, #0x7c5
0xfffffff008a20f00: 48d8e497  bl	#0xfffffff008357020
0xfffffff008a20f04: 53588052  mov	w19, #0x2c2
0xfffffff008a20f08: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008a20f0c: eaffff17  b	#0xfffffff008a20eb4
0xfffffff008a20f10: f443ff90  adrp	x20, #0xfffffff00729c000
0xfffffff008a20f14: 94e21e91  add	x20, x20, #0x7b8
0xfffffff008a20f18: f44f00a9  stp	x20, x19, [sp]
0xfffffff008a20f1c: c043ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a20f20: 00003991  add	x0, x0, #0xe40
0xfffffff008a20f24: 4181fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a20f28: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a20f2c: e343fff0  adrp	x3, #0xfffffff00729f000
0xfffffff008a20f30: 63703691  add	x3, x3, #0xd9c
0xfffffff008a20f34: 02028052  mov	w2, #0x10
0xfffffff008a20f38: 7e48e497  bl	#0xfffffff008333130
0xfffffff008a20f3c: f44f00a9  stp	x20, x19, [sp]
0xfffffff008a20f40: e043ff90  adrp	x0, #0xfffffff00729c000
0xfffffff008a20f44: 004c2091  add	x0, x0, #0x813
0xfffffff008a20f48: 36d8e497  bl	#0xfffffff008357020
0xfffffff008a20f4c: daffff17  b	#0xfffffff008a20eb4
0xfffffff008a20f50: 5f2403d5  bti	c
0xfffffff008a20f54: e80de317  b	#0xfffffff0082e46f4
0xfffffff008a20f58: 5f2403d5  bti	c
0xfffffff008a20f5c: e60de317  b	#0xfffffff0082e46f4
0xfffffff008a20f60: 7f2303d5  pacibsp	
0xfffffff008a20f64: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a20f68: fd030091  mov	x29, sp
0xfffffff008a20f6c: e0c500d0  adrp	x0, #0xfffffff00a2de000
0xfffffff008a20f70: 00e02891  add	x0, x0, #0xa38
0xfffffff008a20f74: e143ff90  adrp	x1, #0xfffffff00729c000
0xfffffff008a20f78: 21241991  add	x1, x1, #0x649
0xfffffff008a20f7c: 4281fff0  adrp	x2, #0xfffffff007a4b000
0xfffffff008a20f80: 423046f9  ldr	x2, [x2, #0xc60]
0xfffffff008a20f84: 03138052  mov	w3, #0x98
0xfffffff008a20f88: ec0ae397  bl	#0xfffffff0082e3b38
0xfffffff008a20f8c: 9081ffd0  adrp	x16, #0xfffffff007a52000
0xfffffff008a20f90: 10422191  add	x16, x16, #0x850
0xfffffff008a20f94: 10420091  add	x16, x16, #0x10
0xfffffff008a20f98: f10300aa  mov	x17, x0
