; Candidate 6631
; ADRP+ADD at VM 0xfffffff008836a00 (fileoff 0x1832a00): page=0x1fe9b3000 add_imm=0xe80

0xfffffff008836980: 08c50091  add	x8, x8, #0x31
0xfffffff008836984: 49738052  mov	w9, #0x39a
0xfffffff008836988: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00883698c: 684fffb0  adrp	x8, #0xfffffff007223000
0xfffffff008836990: 08490991  add	x8, x8, #0x252
0xfffffff008836994: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008836998: 280f8052  mov	w8, #0x79
0xfffffff00883699c: f42300a9  stp	x20, x8, [sp]
0xfffffff0088369a0: 804dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088369a4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088369a8: 818effd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088369ac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088369b0: c350ff90  adrp	x3, #0xfffffff00724e000
0xfffffff0088369b4: 636c0891  add	x3, x3, #0x21b
0xfffffff0088369b8: 02008052  mov	w2, #0
0xfffffff0088369bc: ddf1eb97  bl	#0xfffffff008333130
0xfffffff0088369c0: 547e8012  mov	w20, #-0x3f3
0xfffffff0088369c4: 18000014  b	#0xfffffff008836a24
0xfffffff0088369c8: f9f50194  bl	#0xfffffff0088b41ac
0xfffffff0088369cc: f40300aa  mov	x20, x0
0xfffffff0088369d0: 80008052  mov	w0, #4
0xfffffff0088369d4: 9f130194  bl	#0xfffffff00887b850
0xfffffff0088369d8: 684fff90  adrp	x8, #0xfffffff007222000
0xfffffff0088369dc: 08313d91  add	x8, x8, #0xf4c
0xfffffff0088369e0: c9728052  mov	w9, #0x396
0xfffffff0088369e4: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff0088369e8: 684fffb0  adrp	x8, #0xfffffff007223000
0xfffffff0088369ec: 08490991  add	x8, x8, #0x252
0xfffffff0088369f0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088369f4: 280f8052  mov	w8, #0x79
0xfffffff0088369f8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088369fc: f40300f9  str	x20, [sp]
0xfffffff008836a00: 804dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008836a04: 00003a91  add	x0, x0, #0xe80
0xfffffff008836a08: 818effd0  adrp	x1, #0xfffffff007a08000
0xfffffff008836a0c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008836a10: c350ff90  adrp	x3, #0xfffffff00724e000
0xfffffff008836a14: 63b00791  add	x3, x3, #0x1ec
0xfffffff008836a18: 02008052  mov	w2, #0
0xfffffff008836a1c: c5f1eb97  bl	#0xfffffff008333130
0xfffffff008836a20: 147d8012  mov	w20, #-0x3e9
0xfffffff008836a24: 200f8052  mov	w0, #0x79
0xfffffff008836a28: c1008052  mov	w1, #6
0xfffffff008836a2c: 69130194  bl	#0xfffffff00887b7d0
0xfffffff008836a30: c0040034  cbz	w0, #0xfffffff008836ac8
0xfffffff008836a34: 200f8052  mov	w0, #0x79
0xfffffff008836a38: 78130194  bl	#0xfffffff00887b818
0xfffffff008836a3c: f60300aa  mov	x22, x0
0xfffffff008836a40: dbf50194  bl	#0xfffffff0088b41ac
0xfffffff008836a44: f50300aa  mov	x21, x0
0xfffffff008836a48: c0008052  mov	w0, #6
0xfffffff008836a4c: 81130194  bl	#0xfffffff00887b850
0xfffffff008836a50: 76010034  cbz	w22, #0xfffffff008836a7c
0xfffffff008836a54: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008836a58: 684fffb0  adrp	x8, #0xfffffff007223000
0xfffffff008836a5c: 08490991  add	x8, x8, #0x252
0xfffffff008836a60: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008836a64: 280f8052  mov	w8, #0x79
0xfffffff008836a68: f52300a9  stp	x21, x8, [sp]
0xfffffff008836a6c: e04efff0  adrp	x0, #0xfffffff007215000
0xfffffff008836a70: 00a81591  add	x0, x0, #0x56a
0xfffffff008836a74: 7b02d697  bl	#0xfffffff007db7460
0xfffffff008836a78: 14000014  b	#0xfffffff008836ac8
0xfffffff008836a7c: ccf50194  bl	#0xfffffff0088b41ac
