; Candidate 9153
; ADRP+ADD at VM 0xfffffff0089fea14 (fileoff 0x19faa14): page=0x1fe896000 add_imm=0xdf4

0xfffffff0089fe994: bf3903d5  dmb	ishld
0xfffffff0089fe998: 618a40f9  ldr	x1, [x19, #0x110]
0xfffffff0089fe99c: 621a41b9  ldr	w2, [x19, #0x118]
0xfffffff0089fe9a0: 700240f9  ldr	x16, [x19]
0xfffffff0089fe9a4: f10313aa  mov	x17, x19
0xfffffff0089fe9a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089fe9ac: 301ac1da  autda	x16, x17
0xfffffff0089fe9b0: 114d80d2  mov	x17, #0x268
0xfffffff0089fe9b4: 1002118b  add	x16, x16, x17
0xfffffff0089fe9b8: 080240f9  ldr	x8, [x16]
0xfffffff0089fe9bc: e90310aa  mov	x9, x16
0xfffffff0089fe9c0: a38700d1  sub	x3, x29, #0x21
0xfffffff0089fe9c4: e00313aa  mov	x0, x19
0xfffffff0089fe9c8: f10309aa  mov	x17, x9
0xfffffff0089fe9cc: f1aee8f2  movk	x17, #0x4577, lsl #48
0xfffffff0089fe9d0: 11093fd7  blraa	x8, x17
0xfffffff0089fe9d4: e00314aa  mov	x0, x20
0xfffffff0089fe9d8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0089fe9dc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0089fe9e0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0089fe9e4: ff830191  add	sp, sp, #0x60
0xfffffff0089fe9e8: ff0f5fd6  retab	
0xfffffff0089fe9ec: c844ff90  adrp	x8, #0xfffffff007296000
0xfffffff0089fe9f0: 08391b91  add	x8, x8, #0x6ce
0xfffffff0089fe9f4: 49318052  mov	w9, #0x18a
0xfffffff0089fe9f8: aa44ffd0  adrp	x10, #0xfffffff007294000
0xfffffff0089fe9fc: 4a853991  add	x10, x10, #0xe61
0xfffffff0089fea00: ab44ffd0  adrp	x11, #0xfffffff007294000
0xfffffff0089fea04: 6ba53891  add	x11, x11, #0xe29
0xfffffff0089fea08: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089fea0c: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089fea10: eb0300f9  str	x11, [sp]
0xfffffff0089fea14: a044ffd0  adrp	x0, #0xfffffff007294000
0xfffffff0089fea18: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089fea1c: 91e2ce97  bl	#0xfffffff007db7460
0xfffffff0089fea20: 940a0011  add	w20, w20, #2
0xfffffff0089fea24: ceffff17  b	#0xfffffff0089fe95c
0xfffffff0089fea28: 5f2403d5  bti	c
0xfffffff0089fea2c: 007840f9  ldr	x0, [x0, #0xf0]
0xfffffff0089fea30: c0035fd6  ret	
0xfffffff0089fea34: 7f2303d5  pacibsp	
0xfffffff0089fea38: ff4301d1  sub	sp, sp, #0x50
0xfffffff0089fea3c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0089fea40: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0089fea44: fd030191  add	x29, sp, #0x40
0xfffffff0089fea48: f30300aa  mov	x19, x0
0xfffffff0089fea4c: 08d840b9  ldr	w8, [x0, #0xd8]
0xfffffff0089fea50: 1f01016b  cmp	w8, w1
0xfffffff0089fea54: a9040054  b.ls	#0xfffffff0089feae8
0xfffffff0089fea58: 687240f9  ldr	x8, [x19, #0xe0]
0xfffffff0089fea5c: 480100b4  cbz	x8, #0xfffffff0089fea84
0xfffffff0089fea60: 69ea40b9  ldr	w9, [x19, #0xe8]
0xfffffff0089fea64: 090d098b  add	x9, x8, x9, lsl #3
0xfffffff0089fea68: 290108eb  subs	x9, x9, x8
0xfffffff0089fea6c: 63000054  b.lo	#0xfffffff0089fea78
0xfffffff0089fea70: 2afd60d3  lsr	x10, x9, #0x20
0xfffffff0089fea74: aa0000b4  cbz	x10, #0xfffffff0089fea88
0xfffffff0089fea78: c044ff90  adrp	x0, #0xfffffff007296000
0xfffffff0089fea7c: 00f40591  add	x0, x0, #0x17d
0xfffffff0089fea80: fe000094  bl	#0xfffffff0089fee78
0xfffffff0089fea84: 09008052  mov	w9, #0
0xfffffff0089fea88: ea03012a  mov	w10, w1
0xfffffff0089fea8c: 4bf17dd3  lsl	x11, x10, #3
0xfffffff0089fea90: 7fc12beb  cmp	x11, w11, sxtw
