; Candidate 6391
; ADRP+ADD at VM 0xfffffff00882904c (fileoff 0x182504c): page=0x1fe9c0000 add_imm=0xe80

0xfffffff008828fcc: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff008828fd0: c80800b4  cbz	x8, #0xfffffff0088290e8
0xfffffff008828fd4: 170080d2  mov	x23, #0
0xfffffff008828fd8: 29008052  mov	w9, #1
0xfffffff008828fdc: 96d500d0  adrp	x22, #0xfffffff00a2da000
0xfffffff008828fe0: d6422f91  add	x22, x22, #0xbd0
0xfffffff008828fe4: e80309aa  mov	x8, x9
0xfffffff008828fe8: e9ee7cd3  lsl	x9, x23, #4
0xfffffff008828fec: c96a69b8  ldr	w9, [x22, x9]
0xfffffff008828ff0: 3f01156b  cmp	w9, w21
0xfffffff008828ff4: a00b0054  b.eq	#0xfffffff008829168
0xfffffff008828ff8: 09008052  mov	w9, #0
0xfffffff008828ffc: 37008052  mov	w23, #1
0xfffffff008829000: 28ff0737  tbnz	w8, #0, #0xfffffff008828fe4
0xfffffff008829004: 367d8012  mov	w22, #-0x3ea
0xfffffff008829008: 31010014  b	#0xfffffff0088294cc
0xfffffff00882900c: 682c0294  bl	#0xfffffff0088b41ac
0xfffffff008829010: f60300aa  mov	x22, x0
0xfffffff008829014: e0008052  mov	w0, #7
0xfffffff008829018: 0e4a0194  bl	#0xfffffff00887b850
0xfffffff00882901c: e80315aa  mov	x8, x21
0xfffffff008829020: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008829024: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff008829028: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff00882902c: c84fff90  adrp	x8, #0xfffffff007221000
0xfffffff008829030: 0aed2791  add	x10, x8, #0x9fb
0xfffffff008829034: c84fff90  adrp	x8, #0xfffffff007221000
0xfffffff008829038: 08653291  add	x8, x8, #0xc99
0xfffffff00882903c: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff008829040: e80a8052  mov	w8, #0x57
0xfffffff008829044: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008829048: f60300f9  str	x22, [sp]
0xfffffff00882904c: 004eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008829050: 00003a91  add	x0, x0, #0xe80
0xfffffff008829054: e18efff0  adrp	x1, #0xfffffff007a08000
0xfffffff008829058: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882905c: 0351ffd0  adrp	x3, #0xfffffff00724b000
0xfffffff008829060: 63942a91  add	x3, x3, #0xaa5
0xfffffff008829064: 02008052  mov	w2, #0
0xfffffff008829068: 3228ec97  bl	#0xfffffff008333130
0xfffffff00882906c: 14fbffb5  cbnz	x20, #0xfffffff008828fcc
0xfffffff008829070: e00a8052  mov	w0, #0x57
0xfffffff008829074: 81008052  mov	w1, #4
0xfffffff008829078: d6490194  bl	#0xfffffff00887b7d0
0xfffffff00882907c: c0160034  cbz	w0, #0xfffffff008829354
0xfffffff008829080: e00a8052  mov	w0, #0x57
0xfffffff008829084: e5490194  bl	#0xfffffff00887b818
0xfffffff008829088: f70300aa  mov	x23, x0
0xfffffff00882908c: 482c0294  bl	#0xfffffff0088b41ac
0xfffffff008829090: f60300aa  mov	x22, x0
0xfffffff008829094: 80008052  mov	w0, #4
0xfffffff008829098: ee490194  bl	#0xfffffff00887b850
0xfffffff00882909c: 97120034  cbz	w23, #0xfffffff0088292ec
0xfffffff0088290a0: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0088290a4: c94fff90  adrp	x9, #0xfffffff007221000
0xfffffff0088290a8: 2a092991  add	x10, x9, #0xa42
0xfffffff0088290ac: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff0088290b0: 088e8052  mov	w8, #0x470
0xfffffff0088290b4: c94fff90  adrp	x9, #0xfffffff007221000
0xfffffff0088290b8: 29ed2791  add	x9, x9, #0x9fb
0xfffffff0088290bc: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088290c0: c84fff90  adrp	x8, #0xfffffff007221000
0xfffffff0088290c4: 08653291  add	x8, x8, #0xc99
0xfffffff0088290c8: e8a701a9  stp	x8, x9, [sp, #0x18]
