; Candidate 10642
; ADRP+ADD at VM 0xfffffff008de18a4 (fileoff 0x1ddd8a4): page=0x1fe5e3000 add_imm=0xe15

0xfffffff008de1824: 7dffff17  b	#0xfffffff008de1618
0xfffffff008de1828: 0c000000  udf	#0xc
0xfffffff008de182c: 24020000  udf	#0x224
0xfffffff008de1830: 34020000  udf	#0x234
0xfffffff008de1834: 44020000  udf	#0x244
0xfffffff008de1838: 54020000  udf	#0x254
0xfffffff008de183c: 0c000000  udf	#0xc
0xfffffff008de1840: b8010000  udf	#0x1b8
0xfffffff008de1844: d4010000  udf	#0x1d4
0xfffffff008de1848: f0010000  udf	#0x1f0
0xfffffff008de184c: 08020000  udf	#0x208
0xfffffff008de1850: 28020000  udf	#0x228
0xfffffff008de1854: 44020000  udf	#0x244
0xfffffff008de1858: 7f2303d5  pacibsp	
0xfffffff008de185c: ff0301d1  sub	sp, sp, #0x40
0xfffffff008de1860: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008de1864: fdc30091  add	x29, sp, #0x30
0xfffffff008de1868: a00000b4  cbz	x0, #0xfffffff008de187c
0xfffffff008de186c: 000040b9  ldr	w0, [x0]
0xfffffff008de1870: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008de1874: ff030191  add	sp, sp, #0x40
0xfffffff008de1878: ff0f5fd6  retab	
0xfffffff008de187c: c8768052  mov	w8, #0x3b6
0xfffffff008de1880: 092fff90  adrp	x9, #0xfffffff0073c1000
0xfffffff008de1884: 29490d91  add	x9, x9, #0x352
0xfffffff008de1888: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008de188c: 082ffff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de1890: 08493991  add	x8, x8, #0xe52
0xfffffff008de1894: 0a2fff90  adrp	x10, #0xfffffff0073c1000
0xfffffff008de1898: 4a092191  add	x10, x10, #0x842
0xfffffff008de189c: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de18a0: ea0300f9  str	x10, [sp]
0xfffffff008de18a4: 002ffff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de18a8: 00543891  add	x0, x0, #0xe15
0xfffffff008de18ac: ddd5d597  bl	#0xfffffff008357020
0xfffffff008de18b0: 00008052  mov	w0, #0
0xfffffff008de18b4: efffff17  b	#0xfffffff008de1870
0xfffffff008de18b8: 7f2303d5  pacibsp	
0xfffffff008de18bc: ff0301d1  sub	sp, sp, #0x40
0xfffffff008de18c0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008de18c4: fdc30091  add	x29, sp, #0x30
0xfffffff008de18c8: a00000b4  cbz	x0, #0xfffffff008de18dc
0xfffffff008de18cc: 000440b9  ldr	w0, [x0, #4]
0xfffffff008de18d0: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008de18d4: ff030191  add	sp, sp, #0x40
0xfffffff008de18d8: ff0f5fd6  retab	
0xfffffff008de18dc: 28788052  mov	w8, #0x3c1
0xfffffff008de18e0: 092fff90  adrp	x9, #0xfffffff0073c1000
0xfffffff008de18e4: 29490d91  add	x9, x9, #0x352
0xfffffff008de18e8: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008de18ec: 082ffff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de18f0: 08493991  add	x8, x8, #0xe52
0xfffffff008de18f4: 0a2fff90  adrp	x10, #0xfffffff0073c1000
0xfffffff008de18f8: 4a092191  add	x10, x10, #0x842
0xfffffff008de18fc: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de1900: ea0300f9  str	x10, [sp]
0xfffffff008de1904: 002ffff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de1908: 00543891  add	x0, x0, #0xe15
0xfffffff008de190c: c5d5d597  bl	#0xfffffff008357020
0xfffffff008de1910: 00008052  mov	w0, #0
0xfffffff008de1914: efffff17  b	#0xfffffff008de18d0
0xfffffff008de1918: 7f2303d5  pacibsp	
0xfffffff008de191c: ff0301d1  sub	sp, sp, #0x40
0xfffffff008de1920: fd7b03a9  stp	x29, x30, [sp, #0x30]
