; Candidate 368
; ADRP+ADD at VM 0xfffffff007ec53dc (fileoff 0xec13dc): page=0x1ff193000 add_imm=0xeae

0xfffffff007ec535c: 208e38d4  brk	#0xc471
0xfffffff007ec5360: 7d711114  b	#0xfffffff008321954
0xfffffff007ec5364: ba62fa97  bl	#0xfffffff007d5de4c
0xfffffff007ec5368: 0c000000  udf	#0xc
0xfffffff007ec536c: 20000000  udf	#0x20
0xfffffff007ec5370: 34000000  udf	#0x34
0xfffffff007ec5374: 48000000  udf	#0x48
0xfffffff007ec5378: 7f2303d5  pacibsp	
0xfffffff007ec537c: ff4301d1  sub	sp, sp, #0x50
0xfffffff007ec5380: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff007ec5384: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff007ec5388: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff007ec538c: fd030191  add	x29, sp, #0x40
0xfffffff007ec5390: f30300aa  mov	x19, x0
0xfffffff007ec5394: 9f4100d5  msr	pan, #1
0xfffffff007ec5398: 08044079  ldrh	w8, [x0, #2]
0xfffffff007ec539c: 08791412  and	w8, w8, #0xfffff7ff
0xfffffff007ec53a0: 08040079  strh	w8, [x0, #2]
0xfffffff007ec53a4: 001440f9  ldr	x0, [x0, #0x28]
0xfffffff007ec53a8: 135efa97  bl	#0xfffffff007d5cbf4
0xfffffff007ec53ac: 080038d5  mrs	x8, midr_el1
0xfffffff007ec53b0: c8d1fff0  adrp	x8, #0xfffffff007900000
0xfffffff007ec53b4: 086946b9  ldr	w8, [x8, #0x668]
0xfffffff007ec53b8: 1f010171  cmp	w8, #0x40
0xfffffff007ec53bc: 63010054  b.lo	#0xfffffff007ec53e8
0xfffffff007ec53c0: c96d8152  mov	w9, #0xb6e
0xfffffff007ec53c4: 8a8cfff0  adrp	x10, #0xfffffff007058000
0xfffffff007ec53c8: 4ac12e91  add	x10, x10, #0xbb0
0xfffffff007ec53cc: 8b8cfff0  adrp	x11, #0xfffffff007058000
0xfffffff007ec53d0: 6b413b91  add	x11, x11, #0xed0
0xfffffff007ec53d4: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff007ec53d8: eb2300a9  stp	x11, x8, [sp]
0xfffffff007ec53dc: 808cfff0  adrp	x0, #0xfffffff007058000
0xfffffff007ec53e0: 00b83a91  add	x0, x0, #0xeae
0xfffffff007ec53e4: 4a3c1794  bl	#0xfffffff00849450c
0xfffffff007ec53e8: 09e138d5  mrs	x9, cntkctl_el1
0xfffffff007ec53ec: 281108aa  orr	x8, x9, x8, lsl #4
0xfffffff007ec53f0: 080d40b2  orr	x8, x8, #0xf
0xfffffff007ec53f4: 08e118d5  msr	cntkctl_el1, x8
0xfffffff007ec53f8: ee64fa97  bl	#0xfffffff007d5e7b0
0xfffffff007ec53fc: 1f8308d5  tlbi	vmalle1is
0xfffffff007ec5400: 9f3b03d5  dsb	ish
0xfffffff007ec5404: df3f03d5  isb	
0xfffffff007ec5408: 94d038d5  mrs	x20, tpidr_el1
0xfffffff007ec540c: 88a240f9  ldr	x8, [x20, #0x140]
0xfffffff007ec5410: a91b01d0  adrp	x9, #0xfffffff00a23b000
0xfffffff007ec5414: 291547f9  ldr	x9, [x9, #0xe28]
0xfffffff007ec5418: 095500f9  str	x9, [x8, #0xa8]
0xfffffff007ec541c: 9f3f03d5  dsb	sy
0xfffffff007ec5420: c5f3ff97  bl	#0xfffffff007ec2334
0xfffffff007ec5424: 88a240f9  ldr	x8, [x20, #0x140]
0xfffffff007ec5428: 093d40f9  ldr	x9, [x8, #0x78]
0xfffffff007ec542c: f51601f0  adrp	x21, #0xfffffff00a1a4000
0xfffffff007ec5430: b5020091  add	x21, x21, #0
0xfffffff007ec5434: e90000b5  cbnz	x9, #0xfffffff007ec5450
0xfffffff007ec5438: a91240f9  ldr	x9, [x21, #0x20]
0xfffffff007ec543c: a082c23c  ldur	q0, [x21, #0x28]
0xfffffff007ec5440: 0081863c  stur	q0, [x8, #0x68]
0xfffffff007ec5444: aaae43a9  ldp	x10, x11, [x21, #0x38]
0xfffffff007ec5448: 09a907a9  stp	x9, x10, [x8, #0x78]
0xfffffff007ec544c: 0b4500f9  str	x11, [x8, #0x88]
0xfffffff007ec5450: 161801b0  adrp	x22, #0xfffffff00a1c6000
0xfffffff007ec5454: d6421f91  add	x22, x22, #0x7d0
0xfffffff007ec5458: 1f0116eb  cmp	x8, x22
