; Candidate 4922
; ADRP+ADD at VM 0xfffffff0087cd364 (fileoff 0x17c9364): page=0x1fea1c000 add_imm=0xe80

0xfffffff0087cd2e4: 681b40b9  ldr	w8, [x27, #0x18]
0xfffffff0087cd2e8: 490b40b9  ldr	w9, [x26, #8]
0xfffffff0087cd2ec: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087cd2f0: a80f8052  mov	w8, #0x7d
0xfffffff0087cd2f4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087cd2f8: f40300f9  str	x20, [sp]
0xfffffff0087cd2fc: e050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cd300: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cd304: c191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cd308: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cd30c: 6353ff90  adrp	x3, #0xfffffff007239000
0xfffffff0087cd310: 63301f91  add	x3, x3, #0x7cc
0xfffffff0087cd314: 02008052  mov	w2, #0
0xfffffff0087cd318: 8697ed97  bl	#0xfffffff008333130
0xfffffff0087cd31c: 45fdff17  b	#0xfffffff0087cc830
0xfffffff0087cd320: a39b0394  bl	#0xfffffff0088b41ac
0xfffffff0087cd324: f40300aa  mov	x20, x0
0xfffffff0087cd328: e0008052  mov	w0, #7
0xfffffff0087cd32c: 49b90294  bl	#0xfffffff00887b850
0xfffffff0087cd330: 680740b9  ldr	w8, [x27, #4]
0xfffffff0087cd334: 69734bb9  ldr	w9, [x27, #0xb70]
0xfffffff0087cd338: 08050051  sub	w8, w8, #1
0xfffffff0087cd33c: 2801080a  and	w8, w9, w8
0xfffffff0087cd340: 693351f9  ldr	x9, [x27, #0x2260]
0xfffffff0087cd344: 6a1b40b9  ldr	w10, [x27, #0x18]
0xfffffff0087cd348: 4b0b40b9  ldr	w11, [x26, #8]
0xfffffff0087cd34c: 291540b9  ldr	w9, [x9, #0x14]
0xfffffff0087cd350: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff0087cd354: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff0087cd358: a80f8052  mov	w8, #0x7d
0xfffffff0087cd35c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087cd360: f40300f9  str	x20, [sp]
0xfffffff0087cd364: e050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cd368: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cd36c: c191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cd370: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cd374: 6353ff90  adrp	x3, #0xfffffff007239000
0xfffffff0087cd378: 63382091  add	x3, x3, #0x80e
0xfffffff0087cd37c: 02008052  mov	w2, #0
0xfffffff0087cd380: 6c97ed97  bl	#0xfffffff008333130
0xfffffff0087cd384: 2bfdff17  b	#0xfffffff0087cc830
0xfffffff0087cd388: 899b0394  bl	#0xfffffff0088b41ac
0xfffffff0087cd38c: f30300aa  mov	x19, x0
0xfffffff0087cd390: 80008052  mov	w0, #4
0xfffffff0087cd394: 2fb90294  bl	#0xfffffff00887b850
0xfffffff0087cd398: 4a0340b9  ldr	w10, [x26]
0xfffffff0087cd39c: 0852ffb0  adrp	x8, #0xfffffff00720e000
0xfffffff0087cd3a0: 08691291  add	x8, x8, #0x49a
0xfffffff0087cd3a4: 69c48052  mov	w9, #0x623
0xfffffff0087cd3a8: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087cd3ac: 0852ffd0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cd3b0: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cd3b4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087cd3b8: 68008052  mov	w8, #3
0xfffffff0087cd3bc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087cd3c0: f30300f9  str	x19, [sp]
0xfffffff0087cd3c4: e050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cd3c8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cd3cc: c191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cd3d0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cd3d4: 6353ff90  adrp	x3, #0xfffffff007239000
0xfffffff0087cd3d8: 635c2291  add	x3, x3, #0x897
0xfffffff0087cd3dc: 02008052  mov	w2, #0
0xfffffff0087cd3e0: 5497ed97  bl	#0xfffffff008333130
