; Candidate 6864
; ADRP+ADD at VM 0xfffffff008846d08 (fileoff 0x1842d08): page=0x1fe9a3000 add_imm=0xe80

0xfffffff008846c88: c00d8052  mov	w0, #0x6e
0xfffffff008846c8c: e3d20094  bl	#0xfffffff00887b818
0xfffffff008846c90: f50300aa  mov	x21, x0
0xfffffff008846c94: 46b50194  bl	#0xfffffff0088b41ac
0xfffffff008846c98: f40300aa  mov	x20, x0
0xfffffff008846c9c: e0008052  mov	w0, #7
0xfffffff008846ca0: ecd20094  bl	#0xfffffff00887b850
0xfffffff008846ca4: b5010034  cbz	w21, #0xfffffff008846cd8
0xfffffff008846ca8: e84effd0  adrp	x8, #0xfffffff007224000
0xfffffff008846cac: 08d53891  add	x8, x8, #0xe35
0xfffffff008846cb0: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008846cb4: e84efff0  adrp	x8, #0xfffffff007225000
0xfffffff008846cb8: 08b51291  add	x8, x8, #0x4ad
0xfffffff008846cbc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008846cc0: c80d8052  mov	w8, #0x6e
0xfffffff008846cc4: f42300a9  stp	x20, x8, [sp]
0xfffffff008846cc8: 404effd0  adrp	x0, #0xfffffff007210000
0xfffffff008846ccc: 008c2c91  add	x0, x0, #0xb23
0xfffffff008846cd0: e4c1d597  bl	#0xfffffff007db7460
0xfffffff008846cd4: 15000014  b	#0xfffffff008846d28
0xfffffff008846cd8: 35b50194  bl	#0xfffffff0088b41ac
0xfffffff008846cdc: f40300aa  mov	x20, x0
0xfffffff008846ce0: e0008052  mov	w0, #7
0xfffffff008846ce4: dbd20094  bl	#0xfffffff00887b850
0xfffffff008846ce8: e84effd0  adrp	x8, #0xfffffff007224000
0xfffffff008846cec: 08d53891  add	x8, x8, #0xe35
0xfffffff008846cf0: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008846cf4: e84efff0  adrp	x8, #0xfffffff007225000
0xfffffff008846cf8: 08b51291  add	x8, x8, #0x4ad
0xfffffff008846cfc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008846d00: c80d8052  mov	w8, #0x6e
0xfffffff008846d04: f42300a9  stp	x20, x8, [sp]
0xfffffff008846d08: 004dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008846d0c: 00003a91  add	x0, x0, #0xe80
0xfffffff008846d10: 018effd0  adrp	x1, #0xfffffff007a08000
0xfffffff008846d14: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008846d18: 4350ffd0  adrp	x3, #0xfffffff007250000
0xfffffff008846d1c: 63582d91  add	x3, x3, #0xb56
0xfffffff008846d20: 02008052  mov	w2, #0
0xfffffff008846d24: 03b1eb97  bl	#0xfffffff008333130
0xfffffff008846d28: 685240b9  ldr	w8, [x19, #0x50]
0xfffffff008846d2c: 1f090071  cmp	w8, #2
0xfffffff008846d30: 0b050054  b.lt	#0xfffffff008846dd0
0xfffffff008846d34: 682640f9  ldr	x8, [x19, #0x48]
0xfffffff008846d38: c80400b4  cbz	x8, #0xfffffff008846dd0
0xfffffff008846d3c: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff008846d40: 100040f9  ldr	x16, [x0]
0xfffffff008846d44: f10300aa  mov	x17, x0
0xfffffff008846d48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008846d4c: 301ac1da  autda	x16, x17
0xfffffff008846d50: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff008846d54: e90310aa  mov	x9, x16
0xfffffff008846d58: 21008052  mov	w1, #1
0xfffffff008846d5c: f10309aa  mov	x17, x9
0xfffffff008846d60: d1dae7f2  movk	x17, #0x3ed6, lsl #48
0xfffffff008846d64: 11093fd7  blraa	x8, x17
0xfffffff008846d68: 603600f9  str	x0, [x19, #0x68]
0xfffffff008846d6c: e00900b4  cbz	x0, #0xfffffff008846ea8
0xfffffff008846d70: 100040f9  ldr	x16, [x0]
0xfffffff008846d74: f10300aa  mov	x17, x0
0xfffffff008846d78: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008846d7c: 301ac1da  autda	x16, x17
0xfffffff008846d80: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff008846d84: e90310aa  mov	x9, x16
