; Candidate 11807
; ADRP+ADD at VM 0xfffffff008fcdc9c (fileoff 0x1fc9c9c): page=0x1fe458000 add_imm=0xdd7

0xfffffff008fcdc1c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008fcdc20: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008fcdc24: fd030191  add	x29, sp, #0x40
0xfffffff008fcdc28: f30302aa  mov	x19, x2
0xfffffff008fcdc2c: 233c0012  and	w3, w1, #0xffff
0xfffffff008fcdc30: 01008052  mov	w1, #0
0xfffffff008fcdc34: 0175ff97  bl	#0xfffffff008fab038
0xfffffff008fcdc38: c822ff90  adrp	x8, #0xfffffff007425000
0xfffffff008fcdc3c: 08d93891  add	x8, x8, #0xe36
0xfffffff008fcdc40: 494f8352  mov	w9, #0x1a7a
0xfffffff008fcdc44: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff008fcdc48: e822ffd0  adrp	x8, #0xfffffff00742b000
0xfffffff008fcdc4c: 08c92591  add	x8, x8, #0x972
0xfffffff008fcdc50: f30301a9  stp	x19, x0, [sp, #0x10]
0xfffffff008fcdc54: e82700a9  stp	x8, x9, [sp]
0xfffffff008fcdc58: e022ffd0  adrp	x0, #0xfffffff00742b000
0xfffffff008fcdc5c: 009c2b91  add	x0, x0, #0xae7
0xfffffff008fcdc60: 2b1ad397  bl	#0xfffffff00849450c
0xfffffff008fcdc64: 7f2303d5  pacibsp	
0xfffffff008fcdc68: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fcdc6c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fcdc70: fdc30091  add	x29, sp, #0x30
0xfffffff008fcdc74: 484b8352  mov	w8, #0x1a5a
0xfffffff008fcdc78: c922ff90  adrp	x9, #0xfffffff007425000
0xfffffff008fcdc7c: 29d93891  add	x9, x9, #0xe36
0xfffffff008fcdc80: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fcdc84: ca22ffb0  adrp	x10, #0xfffffff007426000
0xfffffff008fcdc88: 4aa50891  add	x10, x10, #0x229
0xfffffff008fcdc8c: eb22ffd0  adrp	x11, #0xfffffff00742b000
0xfffffff008fcdc90: 6bc92591  add	x11, x11, #0x972
0xfffffff008fcdc94: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff008fcdc98: eb0300f9  str	x11, [sp]
0xfffffff008fcdc9c: c022ff90  adrp	x0, #0xfffffff007425000
0xfffffff008fcdca0: 005c3791  add	x0, x0, #0xdd7
0xfffffff008fcdca4: 1a1ad397  bl	#0xfffffff00849450c
0xfffffff008fcdca8: 7f2303d5  pacibsp	
0xfffffff008fcdcac: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fcdcb0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fcdcb4: fdc30091  add	x29, sp, #0x30
0xfffffff008fcdcb8: 284b8352  mov	w8, #0x1a59
0xfffffff008fcdcbc: c922ff90  adrp	x9, #0xfffffff007425000
0xfffffff008fcdcc0: 29d93891  add	x9, x9, #0xe36
0xfffffff008fcdcc4: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fcdcc8: ea22ffd0  adrp	x10, #0xfffffff00742b000
0xfffffff008fcdccc: 4a152891  add	x10, x10, #0xa05
0xfffffff008fcdcd0: eb22ffd0  adrp	x11, #0xfffffff00742b000
0xfffffff008fcdcd4: 6bc92591  add	x11, x11, #0x972
0xfffffff008fcdcd8: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff008fcdcdc: eb0300f9  str	x11, [sp]
0xfffffff008fcdce0: c022ffd0  adrp	x0, #0xfffffff007427000
0xfffffff008fcdce4: 00c81e91  add	x0, x0, #0x7b2
0xfffffff008fcdce8: 091ad397  bl	#0xfffffff00849450c
0xfffffff008fcdcec: 7f2303d5  pacibsp	
0xfffffff008fcdcf0: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fcdcf4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fcdcf8: fdc30091  add	x29, sp, #0x30
0xfffffff008fcdcfc: 284b8352  mov	w8, #0x1a59
0xfffffff008fcdd00: c922ff90  adrp	x9, #0xfffffff007425000
0xfffffff008fcdd04: 29d93891  add	x9, x9, #0xe36
0xfffffff008fcdd08: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fcdd0c: ea22ffd0  adrp	x10, #0xfffffff00742b000
0xfffffff008fcdd10: 4a892791  add	x10, x10, #0x9e2
0xfffffff008fcdd14: eb22ffd0  adrp	x11, #0xfffffff00742b000
0xfffffff008fcdd18: 6bc92591  add	x11, x11, #0x972
