; Candidate 4673
; ADRP+ADD at VM 0xfffffff0087c204c (fileoff 0x17be04c): page=0x1fe96f000 add_imm=0xd90

0xfffffff0087c1fcc: 6aa67cb9  ldr	w10, [x19, #0x3ca4]
0xfffffff0087c1fd0: 8b008052  mov	w11, #4
0xfffffff0087c1fd4: 0b01a072  movk	w11, #8, lsl #16
0xfffffff0087c1fd8: 7f012a6a  bics	wzr, w11, w10
0xfffffff0087c1fdc: e10f0054  b.ne	#0xfffffff0087c21d8
0xfffffff0087c1fe0: 0afa8552  mov	w10, #0x2fd0
0xfffffff0087c1fe4: 29010a8b  add	x9, x9, x10
0xfffffff0087c1fe8: 290140f9  ldr	x9, [x9]
0xfffffff0087c1fec: 290140f9  ldr	x9, [x9]
0xfffffff0087c1ff0: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c1ff4: 804bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087c1ff8: 00403691  add	x0, x0, #0xd90
0xfffffff0087c1ffc: e191ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c2000: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c2004: 02008052  mov	w2, #0
0xfffffff0087c2008: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c200c: 638c2391  add	x3, x3, #0x8e3
0xfffffff0087c2010: 48c4ed97  bl	#0xfffffff008333130
0xfffffff0087c2014: 71000014  b	#0xfffffff0087c21d8
0xfffffff0087c2018: e00313aa  mov	x0, x19
0xfffffff0087c201c: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2020: 21542f91  add	x1, x1, #0xbd5
0xfffffff0087c2024: 02018052  mov	w2, #8
0xfffffff0087c2028: a6e4ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c202c: 604630b9  str	w0, [x19, #0x3044]
0xfffffff0087c2030: 1f000471  cmp	w0, #0x100
0xfffffff0087c2034: 794cffd0  adrp	x25, #0xfffffff007150000
0xfffffff0087c2038: 39df2a91  add	x25, x25, #0xab7
0xfffffff0087c203c: e32a0054  b.lo	#0xfffffff0087c2598
0xfffffff0087c2040: e84cffb0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c2044: 081d2f91  add	x8, x8, #0xbc7
0xfffffff0087c2048: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c204c: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c2050: 00403691  add	x0, x0, #0xd90
0xfffffff0087c2054: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c2058: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c205c: 02008052  mov	w2, #0
0xfffffff0087c2060: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c2064: 633c3b91  add	x3, x3, #0xecf
0xfffffff0087c2068: 32c4ed97  bl	#0xfffffff008333130
0xfffffff0087c206c: 5e010014  b	#0xfffffff0087c25e4
0xfffffff0087c2070: 28ff60d3  lsr	x8, x25, #0x20
0xfffffff0087c2074: 481501b5  cbnz	x8, #0xfffffff0087c431c
0xfffffff0087c2078: 79fa2fb9  str	w25, [x19, #0x2ff8]
0xfffffff0087c207c: 1915f937  tbnz	w25, #0x1f, #0xfffffff0087c431c
0xfffffff0087c2080: 281b0051  sub	w8, w25, #6
0xfffffff0087c2084: 1f190031  cmn	w8, #6
0xfffffff0087c2088: 482b0054  b.hi	#0xfffffff0087c25f0
0xfffffff0087c208c: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff0087c2090: 692e40b9  ldr	w9, [x19, #0x2c]
0xfffffff0087c2094: 080d49cb  sub	x8, x8, x9, lsr #3
0xfffffff0087c2098: 080900d1  sub	x8, x8, #2
0xfffffff0087c209c: e90600f1  subs	x9, x23, #1
0xfffffff0087c20a0: e0130154  b.eq	#0xfffffff0087c431c
0xfffffff0087c20a4: 0a697738  ldrb	w10, [x8, x23]
0xfffffff0087c20a8: f70309aa  mov	x23, x9
0xfffffff0087c20ac: 8affff34  cbz	w10, #0xfffffff0087c209c
0xfffffff0087c20b0: 0803140b  add	w8, w24, w20
0xfffffff0087c20b4: 01050051  sub	w1, w8, #1
0xfffffff0087c20b8: e00313aa  mov	x0, x19
0xfffffff0087c20bc: cdf6ff97  bl	#0xfffffff0087bfbf0
0xfffffff0087c20c0: 1f070031  cmn	w24, #1
0xfffffff0087c20c4: c0120154  b.eq	#0xfffffff0087c431c
0xfffffff0087c20c8: 17008052  mov	w23, #0
