; Candidate 12300
; ADRP+ADD at VM 0xfffffff009085aa4 (fileoff 0x2081aa4): page=0x1fe3d4000 add_imm=0xe24

0xfffffff009085a24: b5c63691  add	x21, x21, #0xdb1
0xfffffff009085a28: b61eff90  adrp	x22, #0xfffffff007459000
0xfffffff009085a2c: d62e3f91  add	x22, x22, #0xfcb
0xfffffff009085a30: 1f790071  cmp	w8, #0x1e
0xfffffff009085a34: 08010054  b.hi	#0xfffffff009085a54
0xfffffff009085a38: 68f25339  ldrb	w8, [x19, #0x4fc]
0xfffffff009085a3c: e903142a  mov	w9, w20
0xfffffff009085a40: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009085a44: f65700a9  stp	x22, x21, [sp]
0xfffffff009085a48: a01effb0  adrp	x0, #0xfffffff00745a000
0xfffffff009085a4c: 00d43591  add	x0, x0, #0xd75
0xfffffff009085a50: 7445cb97  bl	#0xfffffff008357020
0xfffffff009085a54: 68f25339  ldrb	w8, [x19, #0x4fc]
0xfffffff009085a58: 1f01146b  cmp	w8, w20
0xfffffff009085a5c: 80030054  b.eq	#0xfffffff009085acc
0xfffffff009085a60: 74f21339  strb	w20, [x19, #0x4fc]
0xfffffff009085a64: 9f020072  tst	w20, #1
0xfffffff009085a68: e2179f1a  cset	w2, eq
0xfffffff009085a6c: e00313aa  mov	x0, x19
0xfffffff009085a70: c1008052  mov	w1, #6
0xfffffff009085a74: 03008052  mov	w3, #0
0xfffffff009085a78: 73f2ff97  bl	#0xfffffff009082444
0xfffffff009085a7c: f30300aa  mov	x19, x0
0xfffffff009085a80: a0020035  cbnz	w0, #0xfffffff009085ad4
0xfffffff009085a84: 48018052  mov	w8, #0xa
0xfffffff009085a88: e9024039  ldrb	w9, [x23]
0xfffffff009085a8c: 1f01096b  cmp	w8, w9
0xfffffff009085a90: 03010054  b.lo	#0xfffffff009085ab0
0xfffffff009085a94: e80313aa  mov	x8, x19
0xfffffff009085a98: 087d4093  sxtw	x8, w8
0xfffffff009085a9c: f65700a9  stp	x22, x21, [sp]
0xfffffff009085aa0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009085aa4: a01eff90  adrp	x0, #0xfffffff007459000
0xfffffff009085aa8: 00903891  add	x0, x0, #0xe24
0xfffffff009085aac: 5d45cb97  bl	#0xfffffff008357020
0xfffffff009085ab0: e00313aa  mov	x0, x19
0xfffffff009085ab4: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009085ab8: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009085abc: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009085ac0: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009085ac4: ffc30191  add	sp, sp, #0x70
0xfffffff009085ac8: ff0f5fd6  retab	
0xfffffff009085acc: 13008052  mov	w19, #0
0xfffffff009085ad0: edffff17  b	#0xfffffff009085a84
0xfffffff009085ad4: 687e4093  sxtw	x8, w19
0xfffffff009085ad8: 29ab8052  mov	w9, #0x559
0xfffffff009085adc: aa1eff90  adrp	x10, #0xfffffff007459000
0xfffffff009085ae0: 4a493f91  add	x10, x10, #0xfd2
0xfffffff009085ae4: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff009085ae8: a91eff90  adrp	x9, #0xfffffff007459000
0xfffffff009085aec: 29b92d91  add	x9, x9, #0xb6e
0xfffffff009085af0: ab1effb0  adrp	x11, #0xfffffff00745a000
0xfffffff009085af4: 6b290291  add	x11, x11, #0x8a
0xfffffff009085af8: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009085afc: eb0300f9  str	x11, [sp]
0xfffffff009085b00: a01eff90  adrp	x0, #0xfffffff007459000
0xfffffff009085b04: 00d42c91  add	x0, x0, #0xb35
0xfffffff009085b08: 4645cb97  bl	#0xfffffff008357020
0xfffffff009085b0c: c8088052  mov	w8, #0x46
0xfffffff009085b10: deffff17  b	#0xfffffff009085a88
0xfffffff009085b14: 7f2303d5  pacibsp	
0xfffffff009085b18: ff8301d1  sub	sp, sp, #0x60
0xfffffff009085b1c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff009085b20: f44f04a9  stp	x20, x19, [sp, #0x40]
