; Candidate 9245
; ADRP+ADD at VM 0xfffffff008a14024 (fileoff 0x1a10024): page=0x1fe885000 add_imm=0xe40

0xfffffff008a13fa4: 050080d2  mov	x5, #0
0xfffffff008a13fa8: d7a7dd97  bl	#0xfffffff00817df04
0xfffffff008a13fac: 605640f9  ldr	x0, [x19, #0xa8]
0xfffffff008a13fb0: dff20094  bl	#0xfffffff008a50b2c
0xfffffff008a13fb4: 60f1ff35  cbnz	w0, #0xfffffff008a13de0
0xfffffff008a13fb8: 700240f9  ldr	x16, [x19]
0xfffffff008a13fbc: f10313aa  mov	x17, x19
0xfffffff008a13fc0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a13fc4: 301ac1da  autda	x16, x17
0xfffffff008a13fc8: 113d80d2  mov	x17, #0x1e8
0xfffffff008a13fcc: 1002118b  add	x16, x16, x17
0xfffffff008a13fd0: 080240f9  ldr	x8, [x16]
0xfffffff008a13fd4: e90310aa  mov	x9, x16
0xfffffff008a13fd8: e00313aa  mov	x0, x19
0xfffffff008a13fdc: 010080d2  mov	x1, #0
0xfffffff008a13fe0: f10309aa  mov	x17, x9
0xfffffff008a13fe4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a13fe8: 11093fd7  blraa	x8, x17
0xfffffff008a13fec: 700240f9  ldr	x16, [x19]
0xfffffff008a13ff0: f10313aa  mov	x17, x19
0xfffffff008a13ff4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a13ff8: 301ac1da  autda	x16, x17
0xfffffff008a13ffc: 113d80d2  mov	x17, #0x1e8
0xfffffff008a14000: 1002118b  add	x16, x16, x17
0xfffffff008a14004: 080240f9  ldr	x8, [x16]
0xfffffff008a14008: e90310aa  mov	x9, x16
0xfffffff008a1400c: e00313aa  mov	x0, x19
0xfffffff008a14010: 010080d2  mov	x1, #0
0xfffffff008a14014: f10309aa  mov	x17, x9
0xfffffff008a14018: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a1401c: 11093fd7  blraa	x8, x17
0xfffffff008a14020: e06f00a9  stp	x0, x27, [sp]
0xfffffff008a14024: 2044ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a14028: 00003991  add	x0, x0, #0xe40
0xfffffff008a1402c: a181fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a14030: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a14034: 4344fff0  adrp	x3, #0xfffffff00729f000
0xfffffff008a14038: 63ac1f91  add	x3, x3, #0x7eb
0xfffffff008a1403c: 02008052  mov	w2, #0
0xfffffff008a14040: 3c7ce497  bl	#0xfffffff008333130
0xfffffff008a14044: 978f9552  mov	w23, #0xac7c
0xfffffff008a14048: 97a4a072  movk	w23, #0x524, lsl #16
0xfffffff008a1404c: f81740f9  ldr	x24, [sp, #0x28]
0xfffffff008a14050: 195b8052  mov	w25, #0x2d8
0xfffffff008a14054: 1900bc72  movk	w25, #0xe000, lsl #16
0xfffffff008a14058: 700240f9  ldr	x16, [x19]
0xfffffff008a1405c: f10313aa  mov	x17, x19
0xfffffff008a14060: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a14064: 301ac1da  autda	x16, x17
0xfffffff008a14068: 11c080d2  mov	x17, #0x600
0xfffffff008a1406c: 1002118b  add	x16, x16, x17
0xfffffff008a14070: 080240f9  ldr	x8, [x16]
0xfffffff008a14074: e90310aa  mov	x9, x16
0xfffffff008a14078: e00313aa  mov	x0, x19
0xfffffff008a1407c: 21008052  mov	w1, #1
0xfffffff008a14080: f10309aa  mov	x17, x9
0xfffffff008a14084: 5135f3f2  movk	x17, #0x99aa, lsl #48
0xfffffff008a14088: 11093fd7  blraa	x8, x17
0xfffffff008a1408c: f50300aa  mov	x21, x0
0xfffffff008a14090: 880340b9  ldr	w8, [x28]
0xfffffff008a14094: 1f791c72  tst	w8, #0xfffffff7
0xfffffff008a14098: 00010054  b.eq	#0xfffffff008a140b8
0xfffffff008a1409c: 629240b9  ldr	w2, [x19, #0x90]
0xfffffff008a140a0: e0c20051  sub	w0, w23, #0x30
