; Candidate 10683
; ADRP+ADD at VM 0xfffffff008de2f8c (fileoff 0x1ddef8c): page=0x1fe5e2000 add_imm=0xd21

0xfffffff008de2f0c: c6ffff17  b	#0xfffffff008de2e24
0xfffffff008de2f10: 7f2303d5  pacibsp	
0xfffffff008de2f14: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff008de2f18: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff008de2f1c: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008de2f20: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008de2f24: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008de2f28: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008de2f2c: fd430191  add	x29, sp, #0x50
0xfffffff008de2f30: ff0301d1  sub	sp, sp, #0x40
0xfffffff008de2f34: f50307aa  mov	x21, x7
0xfffffff008de2f38: f60306aa  mov	x22, x6
0xfffffff008de2f3c: f80305aa  mov	x24, x5
0xfffffff008de2f40: f70304aa  mov	x23, x4
0xfffffff008de2f44: f90303aa  mov	x25, x3
0xfffffff008de2f48: fb0302aa  mov	x27, x2
0xfffffff008de2f4c: f40301aa  mov	x20, x1
0xfffffff008de2f50: f30300aa  mov	x19, x0
0xfffffff008de2f54: 6868ffd0  adrp	x8, #0xfffffff007af0000
0xfffffff008de2f58: 086946f9  ldr	x8, [x8, #0xcd0]
0xfffffff008de2f5c: 080140f9  ldr	x8, [x8]
0xfffffff008de2f60: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff008de2f64: e8a800b0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008de2f68: 08412c91  add	x8, x8, #0xb10
0xfffffff008de2f6c: 08014039  ldrb	w8, [x8]
0xfffffff008de2f70: 1a2fff90  adrp	x26, #0xfffffff0073c2000
0xfffffff008de2f74: 5abb0391  add	x26, x26, #0xee
0xfffffff008de2f78: fc2efff0  adrp	x28, #0xfffffff0073c1000
0xfffffff008de2f7c: 9c9f0c91  add	x28, x28, #0x327
0xfffffff008de2f80: 1f290071  cmp	w8, #0xa
0xfffffff008de2f84: c8000054  b.hi	#0xfffffff008de2f9c
0xfffffff008de2f88: fc6bbfa9  stp	x28, x26, [sp, #-0x10]!
0xfffffff008de2f8c: 002fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de2f90: 00843491  add	x0, x0, #0xd21
0xfffffff008de2f94: 23d0d597  bl	#0xfffffff008357020
0xfffffff008de2f98: ff430091  add	sp, sp, #0x10
0xfffffff008de2f9c: 330e00b4  cbz	x19, #0xfffffff008de3160
0xfffffff008de2fa0: e80218aa  orr	x8, x23, x24
0xfffffff008de2fa4: ff0200f1  cmp	x23, #0
0xfffffff008de2fa8: 001b50fa  ccmp	x24, #0x10, #0, ne
0xfffffff008de2fac: e9179f1a  cset	w9, eq
0xfffffff008de2fb0: 1f0100f1  cmp	x8, #0
0xfffffff008de2fb4: e8079f1a  cset	w8, ne
0xfffffff008de2fb8: 3f01086b  cmp	w9, w8
0xfffffff008de2fbc: c1100054  b.ne	#0xfffffff008de31d4
0xfffffff008de2fc0: c80215aa  orr	x8, x22, x21
0xfffffff008de2fc4: a90600d1  sub	x9, x21, #1
0xfffffff008de2fc8: df0200f1  cmp	x22, #0
0xfffffff008de2fcc: 0a108052  mov	w10, #0x80
0xfffffff008de2fd0: 22114afa  ccmp	x9, x10, #2, ne
0xfffffff008de2fd4: e9279f1a  cset	w9, lo
0xfffffff008de2fd8: 1f0100f1  cmp	x8, #0
0xfffffff008de2fdc: e8079f1a  cset	w8, ne
0xfffffff008de2fe0: 1f01096b  cmp	w8, w9
0xfffffff008de2fe4: c1100054  b.ne	#0xfffffff008de31fc
0xfffffff008de2fe8: fc030091  mov	x28, sp
0xfffffff008de2fec: b8b20091  add	x24, x21, #0x2c
0xfffffff008de2ff0: e90318aa  mov	x9, x24
0xfffffff008de2ff4: 7068ffd0  adrp	x16, #0xfffffff007af0000
0xfffffff008de2ff8: 108646f9  ldr	x16, [x16, #0xd08]
0xfffffff008de2ffc: 1f0a3fd6  blraaz	x16
0xfffffff008de3000: e8030091  mov	x8, sp
0xfffffff008de3004: a9ee0091  add	x9, x21, #0x3b
0xfffffff008de3008: 29ed7c92  and	x9, x9, #0xfffffffffffffff0
