; Candidate 8828
; ADRP+ADD at VM 0xfffffff0088c6af8 (fileoff 0x18c2af8): page=0x1fe923000 add_imm=0xe80

0xfffffff0088c6a78: 00050036  tbz	w0, #0, #0xfffffff0088c6b18
0xfffffff0088c6a7c: 60008052  mov	w0, #3
0xfffffff0088c6a80: 66d3fe97  bl	#0xfffffff00887b818
0xfffffff0088c6a84: f40300aa  mov	x20, x0
0xfffffff0088c6a88: c9b5ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c6a8c: f30300aa  mov	x19, x0
0xfffffff0088c6a90: 60008052  mov	w0, #3
0xfffffff0088c6a94: 6fd3fe97  bl	#0xfffffff00887b850
0xfffffff0088c6a98: d4010036  tbz	w20, #0, #0xfffffff0088c6ad0
0xfffffff0088c6a9c: 484bff90  adrp	x8, #0xfffffff00722e000
0xfffffff0088c6aa0: 08152891  add	x8, x8, #0xa05
0xfffffff0088c6aa4: a96f8052  mov	w9, #0x37d
0xfffffff0088c6aa8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c6aac: 484bff90  adrp	x8, #0xfffffff00722e000
0xfffffff0088c6ab0: 08192691  add	x8, x8, #0x986
0xfffffff0088c6ab4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c6ab8: 68008052  mov	w8, #3
0xfffffff0088c6abc: f32300a9  stp	x19, x8, [sp]
0xfffffff0088c6ac0: 404affd0  adrp	x0, #0xfffffff007210000
0xfffffff0088c6ac4: 00d82f91  add	x0, x0, #0xbf6
0xfffffff0088c6ac8: 66c2d397  bl	#0xfffffff007db7460
0xfffffff0088c6acc: 13000014  b	#0xfffffff0088c6b18
0xfffffff0088c6ad0: b7b5ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c6ad4: 491bff97  bl	#0xfffffff00888d7f8
0xfffffff0088c6ad8: 484bff90  adrp	x8, #0xfffffff00722e000
0xfffffff0088c6adc: 08152891  add	x8, x8, #0xa05
0xfffffff0088c6ae0: a96f8052  mov	w9, #0x37d
0xfffffff0088c6ae4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c6ae8: 484bff90  adrp	x8, #0xfffffff00722e000
0xfffffff0088c6aec: 08192691  add	x8, x8, #0x986
0xfffffff0088c6af0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c6af4: f35300a9  stp	x19, x20, [sp]
0xfffffff0088c6af8: 0049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088c6afc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088c6b00: 018affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088c6b04: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088c6b08: a34cfff0  adrp	x3, #0xfffffff00725d000
0xfffffff0088c6b0c: 63a42991  add	x3, x3, #0xa69
0xfffffff0088c6b10: 02008052  mov	w2, #0
0xfffffff0088c6b14: 87b1e997  bl	#0xfffffff008333130
0xfffffff0088c6b18: 484bff90  adrp	x8, #0xfffffff00722e000
0xfffffff0088c6b1c: 08112491  add	x8, x8, #0x904
0xfffffff0088c6b20: a96f8052  mov	w9, #0x37d
0xfffffff0088c6b24: e82700a9  stp	x8, x9, [sp]
0xfffffff0088c6b28: 404bff90  adrp	x0, #0xfffffff00722e000
0xfffffff0088c6b2c: 00b02891  add	x0, x0, #0xa2c
0xfffffff0088c6b30: 7736ef97  bl	#0xfffffff00849450c
0xfffffff0088c6b34: 7f2303d5  pacibsp	
0xfffffff0088c6b38: ff4301d1  sub	sp, sp, #0x50
0xfffffff0088c6b3c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0088c6b40: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0088c6b44: fd030191  add	x29, sp, #0x40
0xfffffff0088c6b48: 60008052  mov	w0, #3
0xfffffff0088c6b4c: 61008052  mov	w1, #3
0xfffffff0088c6b50: 20d3fe97  bl	#0xfffffff00887b7d0
0xfffffff0088c6b54: 00050036  tbz	w0, #0, #0xfffffff0088c6bf4
0xfffffff0088c6b58: 60008052  mov	w0, #3
0xfffffff0088c6b5c: 2fd3fe97  bl	#0xfffffff00887b818
0xfffffff0088c6b60: f40300aa  mov	x20, x0
0xfffffff0088c6b64: 92b5ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c6b68: f30300aa  mov	x19, x0
0xfffffff0088c6b6c: 60008052  mov	w0, #3
0xfffffff0088c6b70: 38d3fe97  bl	#0xfffffff00887b850
0xfffffff0088c6b74: d4010036  tbz	w20, #0, #0xfffffff0088c6bac
