; Candidate 1488
; ADRP+ADD at VM 0xfffffff008436f30 (fileoff 0x1432f30): page=0x1fec71000 add_imm=0xd30

0xfffffff008436eb0: 000400b4  cbz	x0, #0xfffffff008436f30
0xfffffff008436eb4: 100040f9  ldr	x16, [x0]
0xfffffff008436eb8: f10300aa  mov	x17, x0
0xfffffff008436ebc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008436ec0: 301ac1da  autda	x16, x17
0xfffffff008436ec4: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff008436ec8: e90310aa  mov	x9, x16
0xfffffff008436ecc: f10309aa  mov	x17, x9
0xfffffff008436ed0: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff008436ed4: 11093fd7  blraa	x8, x17
0xfffffff008436ed8: 18000014  b	#0xfffffff008436f38
0xfffffff008436edc: 28588052  mov	w8, #0x2c1
0xfffffff008436ee0: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008436ee4: 680200b9  str	w8, [x19]
0xfffffff008436ee8: 42000014  b	#0xfffffff008436ff0
0xfffffff008436eec: 150080d2  mov	x21, #0
0xfffffff008436ef0: 16000014  b	#0xfffffff008436f48
0xfffffff008436ef4: 806e40f9  ldr	x0, [x20, #0xd8]
0xfffffff008436ef8: 100040f9  ldr	x16, [x0]
0xfffffff008436efc: f10300aa  mov	x17, x0
0xfffffff008436f00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008436f04: 301ac1da  autda	x16, x17
0xfffffff008436f08: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff008436f0c: e90310aa  mov	x9, x16
0xfffffff008436f10: 6163fff0  adrp	x1, #0xfffffff0070a5000
0xfffffff008436f14: 21d81091  add	x1, x1, #0x436
0xfffffff008436f18: e20315aa  mov	x2, x21
0xfffffff008436f1c: f10309aa  mov	x17, x9
0xfffffff008436f20: 71eafff2  movk	x17, #0xff53, lsl #48
0xfffffff008436f24: 11093fd7  blraa	x8, x17
0xfffffff008436f28: f60315aa  mov	x22, x21
0xfffffff008436f2c: 17000014  b	#0xfffffff008436f88
0xfffffff008436f30: 8063ffb0  adrp	x0, #0xfffffff0070a7000
0xfffffff008436f34: 00c03491  add	x0, x0, #0xd30
0xfffffff008436f38: e00300f9  str	x0, [sp]
0xfffffff008436f3c: 6063fff0  adrp	x0, #0xfffffff0070a5000
0xfffffff008436f40: 00f80f91  add	x0, x0, #0x3fe
0xfffffff008436f44: 3780fc97  bl	#0xfffffff008357020
0xfffffff008436f48: f60315aa  mov	x22, x21
0xfffffff008436f4c: 806e40f9  ldr	x0, [x20, #0xd8]
0xfffffff008436f50: 100040f9  ldr	x16, [x0]
0xfffffff008436f54: f10300aa  mov	x17, x0
0xfffffff008436f58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008436f5c: 301ac1da  autda	x16, x17
0xfffffff008436f60: 112080d2  mov	x17, #0x100
0xfffffff008436f64: 1002118b  add	x16, x16, x17
0xfffffff008436f68: 080240f9  ldr	x8, [x16]
0xfffffff008436f6c: e90310aa  mov	x9, x16
0xfffffff008436f70: 6163fff0  adrp	x1, #0xfffffff0070a5000
0xfffffff008436f74: 21d81091  add	x1, x1, #0x436
0xfffffff008436f78: f10309aa  mov	x17, x9
0xfffffff008436f7c: 514ce2f2  movk	x17, #0x1262, lsl #48
0xfffffff008436f80: 11093fd7  blraa	x8, x17
0xfffffff008436f84: 150080d2  mov	x21, #0
0xfffffff008436f88: 806e40f9  ldr	x0, [x20, #0xd8]
0xfffffff008436f8c: e10315aa  mov	x1, x21
0xfffffff008436f90: 44ac0094  bl	#0xfffffff0084620a0
0xfffffff008436f94: 600200b9  str	w0, [x19]
0xfffffff008436f98: 760100b4  cbz	x22, #0xfffffff008436fc4
0xfffffff008436f9c: d00240f9  ldr	x16, [x22]
0xfffffff008436fa0: f10316aa  mov	x17, x22
0xfffffff008436fa4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008436fa8: 301ac1da  autda	x16, x17
0xfffffff008436fac: 088e42f8  ldr	x8, [x16, #0x28]!
