; Candidate 6628
; ADRP+ADD at VM 0xfffffff0088367f4 (fileoff 0x18327f4): page=0x1fe9dd000 add_imm=0xe0f

0xfffffff008836774: 6ff2eb97  bl	#0xfffffff008333130
0xfffffff008836778: 007d8012  mov	w0, #-0x3e9
0xfffffff00883677c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008836780: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008836784: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008836788: ffc30191  add	sp, sp, #0x70
0xfffffff00883678c: ff0f5fd6  retab	
0xfffffff008836790: 7f2303d5  pacibsp	
0xfffffff008836794: ff0302d1  sub	sp, sp, #0x80
0xfffffff008836798: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00883679c: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0088367a0: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0088367a4: fdc30191  add	x29, sp, #0x70
0xfffffff0088367a8: f30300aa  mov	x19, x0
0xfffffff0088367ac: 200f8052  mov	w0, #0x79
0xfffffff0088367b0: c1008052  mov	w1, #6
0xfffffff0088367b4: 07140194  bl	#0xfffffff00887b7d0
0xfffffff0088367b8: 40020034  cbz	w0, #0xfffffff008836800
0xfffffff0088367bc: 200f8052  mov	w0, #0x79
0xfffffff0088367c0: 16140194  bl	#0xfffffff00887b818
0xfffffff0088367c4: f50300aa  mov	x21, x0
0xfffffff0088367c8: 79f60194  bl	#0xfffffff0088b41ac
0xfffffff0088367cc: f40300aa  mov	x20, x0
0xfffffff0088367d0: c0008052  mov	w0, #6
0xfffffff0088367d4: 1f140194  bl	#0xfffffff00887b850
0xfffffff0088367d8: 75060034  cbz	w21, #0xfffffff0088368a4
0xfffffff0088367dc: 684fffb0  adrp	x8, #0xfffffff007223000
0xfffffff0088367e0: 08490991  add	x8, x8, #0x252
0xfffffff0088367e4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088367e8: 280f8052  mov	w8, #0x79
0xfffffff0088367ec: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088367f0: f40300f9  str	x20, [sp]
0xfffffff0088367f4: e04effb0  adrp	x0, #0xfffffff007213000
0xfffffff0088367f8: 003c3891  add	x0, x0, #0xe0f
0xfffffff0088367fc: 1903d697  bl	#0xfffffff007db7460
0xfffffff008836800: 930700b4  cbz	x19, #0xfffffff0088368f0
0xfffffff008836804: 680240f9  ldr	x8, [x19]
0xfffffff008836808: 280100b4  cbz	x8, #0xfffffff00883682c
0xfffffff00883680c: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff008836810: e90000b4  cbz	x9, #0xfffffff00883682c
0xfffffff008836814: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff008836818: 69000034  cbz	w9, #0xfffffff008836824
0xfffffff00883681c: 082940b9  ldr	w8, [x8, #0x28]
0xfffffff008836820: 08161037  tbnz	w8, #2, #0xfffffff008836ae0
0xfffffff008836824: 14008052  mov	w20, #0
0xfffffff008836828: 7f000014  b	#0xfffffff008836a24
0xfffffff00883682c: 200f8052  mov	w0, #0x79
0xfffffff008836830: 81008052  mov	w1, #4
0xfffffff008836834: e7130194  bl	#0xfffffff00887b7d0
0xfffffff008836838: 400c0034  cbz	w0, #0xfffffff0088369c0
0xfffffff00883683c: 200f8052  mov	w0, #0x79
0xfffffff008836840: f6130194  bl	#0xfffffff00887b818
0xfffffff008836844: f50300aa  mov	x21, x0
0xfffffff008836848: 59f60194  bl	#0xfffffff0088b41ac
0xfffffff00883684c: f40300aa  mov	x20, x0
0xfffffff008836850: 80008052  mov	w0, #4
0xfffffff008836854: ff130194  bl	#0xfffffff00887b850
0xfffffff008836858: 15080034  cbz	w21, #0xfffffff008836958
0xfffffff00883685c: 680240f9  ldr	x8, [x19]
0xfffffff008836860: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff008836864: 6a0a40b9  ldr	w10, [x19, #8]
0xfffffff008836868: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff00883686c: f32b03a9  stp	x19, x10, [sp, #0x30]
0xfffffff008836870: 684fffb0  adrp	x8, #0xfffffff007223000
