; Candidate 510
; ADRP+ADD at VM 0xfffffff007f50790 (fileoff 0xf4c790): page=0x22ed000 add_imm=0xe90

0xfffffff007f50710: 61ffff54  b.ne	#0xfffffff007f506fc
0xfffffff007f50714: c0035fd6  ret	
0xfffffff007f50718: 5f2403d5  bti	c
0xfffffff007f5071c: 000440b9  ldr	w0, [x0, #4]
0xfffffff007f50720: c0035fd6  ret	
0xfffffff007f50724: 7f2303d5  pacibsp	
0xfffffff007f50728: ff4301d1  sub	sp, sp, #0x50
0xfffffff007f5072c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff007f50730: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff007f50734: fd030191  add	x29, sp, #0x40
0xfffffff007f50738: f30301aa  mov	x19, x1
0xfffffff007f5073c: f40300aa  mov	x20, x0
0xfffffff007f50740: bf831ef8  stur	xzr, [x29, #-0x18]
0xfffffff007f50744: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff007f50748: a26300d1  sub	x2, x29, #0x18
0xfffffff007f5074c: e4830091  add	x4, sp, #0x20
0xfffffff007f50750: 03008052  mov	w3, #0
0xfffffff007f50754: 55000094  bl	#0xfffffff007f508a8
0xfffffff007f50758: c0000034  cbz	w0, #0xfffffff007f50770
0xfffffff007f5075c: 68024039  ldrb	w8, [x19]
0xfffffff007f50760: 08191f12  and	w8, w8, #0xfe
0xfffffff007f50764: 1f090071  cmp	w8, #2
0xfffffff007f50768: 14009f1a  csel	w20, w0, wzr, eq
0xfffffff007f5076c: 3b000014  b	#0xfffffff007f50858
0xfffffff007f50770: b3835ef8  ldur	x19, [x29, #-0x18]
0xfffffff007f50774: 680a40b9  ldr	w8, [x19, #8]
0xfffffff007f50778: 0900b012  mov	w9, #0x7fffffff
0xfffffff007f5077c: 0801090b  add	w8, w8, w9
0xfffffff007f50780: 1f090071  cmp	w8, #2
0xfffffff007f50784: 62000054  b.hs	#0xfffffff007f50790
0xfffffff007f50788: 14008052  mov	w20, #0
0xfffffff007f5078c: 35000014  b	#0xfffffff007f50860
0xfffffff007f50790: 601701b0  adrp	x0, #0xfffffff00a23d000
0xfffffff007f50794: 00403a91  add	x0, x0, #0xe90
0xfffffff007f50798: dc74f997  bl	#0xfffffff007dadb08
0xfffffff007f5079c: 600a40b9  ldr	w0, [x19, #8]
0xfffffff007f507a0: 01018052  mov	w1, #8
0xfffffff007f507a4: a2959752  mov	w2, #0xbcad
0xfffffff007f507a8: 12010094  bl	#0xfffffff007f50bf0
0xfffffff007f507ac: 600200b4  cbz	x0, #0xfffffff007f507f8
0xfffffff007f507b0: e80300aa  mov	x8, x0
0xfffffff007f507b4: f00300aa  mov	x16, x0
0xfffffff007f507b8: f033c1da  autiza	x16
0xfffffff007f507bc: f10310aa  mov	x17, x16
0xfffffff007f507c0: f143c1da  xpaci	x17
0xfffffff007f507c4: 1f0211eb  cmp	x16, x17
0xfffffff007f507c8: 40000054  b.eq	#0xfffffff007f507d0
0xfffffff007f507cc: 008e38d4  brk	#0xc470
0xfffffff007f507d0: b19597d2  mov	x17, #0xbcad
0xfffffff007f507d4: 3002c1da  pacia	x16, x17
0xfffffff007f507d8: 100100b4  cbz	x16, #0xfffffff007f507f8
0xfffffff007f507dc: 891501f0  adrp	x9, #0xfffffff00a203000
0xfffffff007f507e0: 21a945f9  ldr	x1, [x9, #0xb50]
0xfffffff007f507e4: e00314aa  mov	x0, x20
0xfffffff007f507e8: e20313aa  mov	x2, x19
0xfffffff007f507ec: 1f093fd6  blraaz	x8
0xfffffff007f507f0: f40300aa  mov	x20, x0
0xfffffff007f507f4: 13000014  b	#0xfffffff007f50840
0xfffffff007f507f8: 600a40b9  ldr	w0, [x19, #8]
0xfffffff007f507fc: 01038052  mov	w1, #0x18
0xfffffff007f50800: a2679852  mov	w2, #0xc33d
0xfffffff007f50804: fb000094  bl	#0xfffffff007f50bf0
0xfffffff007f50808: a00100b4  cbz	x0, #0xfffffff007f5083c
0xfffffff007f5080c: f00300aa  mov	x16, x0
