; Candidate 14312
; ADRP+ADD at VM 0xfffffff009763ce4 (fileoff 0x275fce4): page=0xc28000 add_imm=0xea8

0xfffffff009763c64: 7117f8f2  movk	x17, #0xc0bb, lsl #48
0xfffffff009763c68: 300ac1da  pacda	x16, x17
0xfffffff009763c6c: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff009763c70: f05702a9  stp	x16, x21, [sp, #0x20]
0xfffffff009763c74: e1230091  add	x1, sp, #8
0xfffffff009763c78: e00313aa  mov	x0, x19
0xfffffff009763c7c: 9c17fd97  bl	#0xfffffff0096a9aec
0xfffffff009763c80: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff009763c84: 13614039  ldrb	w19, [x8, #0x18]
0xfffffff009763c88: e0030191  add	x0, sp, #0x40
0xfffffff009763c8c: 01018052  mov	w1, #8
0xfffffff009763c90: d672af97  bl	#0xfffffff0083407e8
0xfffffff009763c94: e00313aa  mov	x0, x19
0xfffffff009763c98: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff009763c9c: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff009763ca0: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff009763ca4: ff430291  add	sp, sp, #0x90
0xfffffff009763ca8: ff0f5fd6  retab	
0xfffffff009763cac: 7f2303d5  pacibsp	
0xfffffff009763cb0: ffc302d1  sub	sp, sp, #0xb0
0xfffffff009763cb4: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff009763cb8: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff009763cbc: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff009763cc0: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff009763cc4: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff009763cc8: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff009763ccc: fd830291  add	x29, sp, #0xa0
0xfffffff009763cd0: f40302aa  mov	x20, x2
0xfffffff009763cd4: f50301aa  mov	x21, x1
0xfffffff009763cd8: 131040f9  ldr	x19, [x0, #0x20]
0xfffffff009763cdc: 7967fe97  bl	#0xfffffff0096fdac0
0xfffffff009763ce0: c0170034  cbz	w0, #0xfffffff009763fd8
0xfffffff009763ce4: 40610090  adrp	x0, #0xfffffff00a38b000
0xfffffff009763ce8: 00a03a91  add	x0, x0, #0xea8
0xfffffff009763cec: 1b03ae97  bl	#0xfffffff0082e4958
0xfffffff009763cf0: e00313aa  mov	x0, x19
0xfffffff009763cf4: 5a13fd97  bl	#0xfffffff0096a8a5c
0xfffffff009763cf8: c00100b5  cbnz	x0, #0xfffffff009763d30
0xfffffff009763cfc: 700240f9  ldr	x16, [x19]
0xfffffff009763d00: f10313aa  mov	x17, x19
0xfffffff009763d04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009763d08: 301ac1da  autda	x16, x17
0xfffffff009763d0c: 113d80d2  mov	x17, #0x1e8
0xfffffff009763d10: 1002118b  add	x16, x16, x17
0xfffffff009763d14: 080240f9  ldr	x8, [x16]
0xfffffff009763d18: e90310aa  mov	x9, x16
0xfffffff009763d1c: e00313aa  mov	x0, x19
0xfffffff009763d20: 010080d2  mov	x1, #0
0xfffffff009763d24: f10309aa  mov	x17, x9
0xfffffff009763d28: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009763d2c: 11093fd7  blraa	x8, x17
0xfffffff009763d30: e00313aa  mov	x0, x19
0xfffffff009763d34: 4a13fd97  bl	#0xfffffff0096a8a5c
0xfffffff009763d38: e00313aa  mov	x0, x19
0xfffffff009763d3c: 4813fd97  bl	#0xfffffff0096a8a5c
0xfffffff009763d40: c00100b5  cbnz	x0, #0xfffffff009763d78
0xfffffff009763d44: 700240f9  ldr	x16, [x19]
0xfffffff009763d48: f10313aa  mov	x17, x19
0xfffffff009763d4c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009763d50: 301ac1da  autda	x16, x17
0xfffffff009763d54: 114380d2  mov	x17, #0x218
0xfffffff009763d58: 1002118b  add	x16, x16, x17
0xfffffff009763d5c: 080240f9  ldr	x8, [x16]
0xfffffff009763d60: e90310aa  mov	x9, x16
