; Candidate 13211
; ADRP+ADD at VM 0xfffffff00922ccec (fileoff 0x2228cec): page=0x1fe285000 add_imm=0xcf4

0xfffffff00922cc6c: 100040f9  ldr	x16, [x0]
0xfffffff00922cc70: f10300aa  mov	x17, x0
0xfffffff00922cc74: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00922cc78: 301ac1da  autda	x16, x17
0xfffffff00922cc7c: 112380d2  mov	x17, #0x118
0xfffffff00922cc80: 1002118b  add	x16, x16, x17
0xfffffff00922cc84: 080240f9  ldr	x8, [x16]
0xfffffff00922cc88: e90310aa  mov	x9, x16
0xfffffff00922cc8c: 2114ffb0  adrp	x1, #0xfffffff0074b1000
0xfffffff00922cc90: 21982191  add	x1, x1, #0x866
0xfffffff00922cc94: f10309aa  mov	x17, x9
0xfffffff00922cc98: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff00922cc9c: 11093fd7  blraa	x8, x17
0xfffffff00922cca0: c00200b4  cbz	x0, #0xfffffff00922ccf8
0xfffffff00922cca4: 700240f9  ldr	x16, [x19]
0xfffffff00922cca8: f10313aa  mov	x17, x19
0xfffffff00922ccac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00922ccb0: 301ac1da  autda	x16, x17
0xfffffff00922ccb4: 119380d2  mov	x17, #0x498
0xfffffff00922ccb8: 1002118b  add	x16, x16, x17
0xfffffff00922ccbc: 080240f9  ldr	x8, [x16]
0xfffffff00922ccc0: e90310aa  mov	x9, x16
0xfffffff00922ccc4: 82870090  adrp	x2, #0xfffffff00a31c000
0xfffffff00922ccc8: 42600491  add	x2, x2, #0x118
0xfffffff00922cccc: e00313aa  mov	x0, x19
0xfffffff00922ccd0: e10313aa  mov	x1, x19
0xfffffff00922ccd4: 63008052  mov	w3, #3
0xfffffff00922ccd8: f10309aa  mov	x17, x9
0xfffffff00922ccdc: d114fff2  movk	x17, #0xf8a6, lsl #48
0xfffffff00922cce0: 11093fd7  blraa	x8, x17
0xfffffff00922cce4: c0020034  cbz	w0, #0xfffffff00922cd3c
0xfffffff00922cce8: e00300f9  str	x0, [sp]
0xfffffff00922ccec: 2014ffb0  adrp	x0, #0xfffffff0074b1000
0xfffffff00922ccf0: 00d03391  add	x0, x0, #0xcf4
0xfffffff00922ccf4: 3a000014  b	#0xfffffff00922cddc
0xfffffff00922ccf8: 700240f9  ldr	x16, [x19]
0xfffffff00922ccfc: f10313aa  mov	x17, x19
0xfffffff00922cd00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00922cd04: 301ac1da  autda	x16, x17
0xfffffff00922cd08: 119380d2  mov	x17, #0x498
0xfffffff00922cd0c: 1002118b  add	x16, x16, x17
0xfffffff00922cd10: 080240f9  ldr	x8, [x16]
0xfffffff00922cd14: e90310aa  mov	x9, x16
0xfffffff00922cd18: 82870090  adrp	x2, #0xfffffff00a31c000
0xfffffff00922cd1c: 42e00891  add	x2, x2, #0x238
0xfffffff00922cd20: e00313aa  mov	x0, x19
0xfffffff00922cd24: e10313aa  mov	x1, x19
0xfffffff00922cd28: 63008052  mov	w3, #3
0xfffffff00922cd2c: f10309aa  mov	x17, x9
0xfffffff00922cd30: d114fff2  movk	x17, #0xf8a6, lsl #48
0xfffffff00922cd34: 11093fd7  blraa	x8, x17
0xfffffff00922cd38: 40040035  cbnz	w0, #0xfffffff00922cdc0
0xfffffff00922cd3c: 68824839  ldrb	w8, [x19, #0x220]
0xfffffff00922cd40: 69b24839  ldrb	w9, [x19, #0x22c]
0xfffffff00922cd44: 49011837  tbnz	w9, #3, #0xfffffff00922cd6c
0xfffffff00922cd48: 48010035  cbnz	w8, #0xfffffff00922cd70
0xfffffff00922cd4c: e00313aa  mov	x0, x19
0xfffffff00922cd50: 21008052  mov	w1, #1
0xfffffff00922cd54: 69dbc597  bl	#0xfffffff0083a3af8
0xfffffff00922cd58: 40020034  cbz	w0, #0xfffffff00922cda0
0xfffffff00922cd5c: e00300f9  str	x0, [sp]
0xfffffff00922cd60: 2014ffb0  adrp	x0, #0xfffffff0074b1000
0xfffffff00922cd64: 00dc3491  add	x0, x0, #0xd37
0xfffffff00922cd68: 1d000014  b	#0xfffffff00922cddc
