; Candidate 5410
; ADRP+ADD at VM 0xfffffff0087ef1ec (fileoff 0x17eb1ec): page=0x1fe9fa000 add_imm=0xe80

0xfffffff0087ef16c: e00315aa  mov	x0, x21
0xfffffff0087ef170: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff0087ef174: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff0087ef178: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff0087ef17c: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff0087ef180: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff0087ef184: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff0087ef188: ff430391  add	sp, sp, #0xd0
0xfffffff0087ef18c: ff0f5fd6  retab	
0xfffffff0087ef190: 07140394  bl	#0xfffffff0088b41ac
0xfffffff0087ef194: f50300aa  mov	x21, x0
0xfffffff0087ef198: 80008052  mov	w0, #4
0xfffffff0087ef19c: ad310294  bl	#0xfffffff00887b850
0xfffffff0087ef1a0: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087ef1a4: e95a40b9  ldr	w9, [x23, #0x58]
0xfffffff0087ef1a8: 8ac640b9  ldr	w10, [x20, #0xc4]
0xfffffff0087ef1ac: 167d8012  mov	w22, #-0x3e9
0xfffffff0087ef1b0: eadb05a9  stp	x10, x22, [sp, #0x58]
0xfffffff0087ef1b4: e9d304a9  stp	x9, x20, [sp, #0x48]
0xfffffff0087ef1b8: e8df03a9  stp	x8, x23, [sp, #0x38]
0xfffffff0087ef1bc: 0851ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087ef1c0: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087ef1c4: a93e8052  mov	w9, #0x1f5
0xfffffff0087ef1c8: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087ef1cc: 2851ffb0  adrp	x8, #0xfffffff007214000
0xfffffff0087ef1d0: 08fd2491  add	x8, x8, #0x93f
0xfffffff0087ef1d4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087ef1d8: 080f8052  mov	w8, #0x78
0xfffffff0087ef1dc: 8352ff90  adrp	x3, #0xfffffff00723f000
0xfffffff0087ef1e0: 63a00e91  add	x3, x3, #0x3a8
0xfffffff0087ef1e4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087ef1e8: f50300f9  str	x21, [sp]
0xfffffff0087ef1ec: c04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ef1f0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ef1f4: c190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ef1f8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ef1fc: 02008052  mov	w2, #0
0xfffffff0087ef200: cc0fed97  bl	#0xfffffff008333130
0xfffffff0087ef204: f50316aa  mov	x21, x22
0xfffffff0087ef208: d9ffff17  b	#0xfffffff0087ef16c
0xfffffff0087ef20c: e8130394  bl	#0xfffffff0088b41ac
0xfffffff0087ef210: f40300aa  mov	x20, x0
0xfffffff0087ef214: e0008052  mov	w0, #7
0xfffffff0087ef218: 8e310294  bl	#0xfffffff00887b850
0xfffffff0087ef21c: 48334179  ldrh	w8, [x26, #0x98]
0xfffffff0087ef220: 49374179  ldrh	w9, [x26, #0x9a]
0xfffffff0087ef224: 6a1a40b9  ldr	w10, [x19, #0x18]
0xfffffff0087ef228: 6b5b40b9  ldr	w11, [x27, #0x58]
0xfffffff0087ef22c: cc0240b9  ldr	w12, [x22]
0xfffffff0087ef230: 8d0340b9  ldr	w13, [x28]
0xfffffff0087ef234: e8a705a9  stp	x8, x9, [sp, #0x58]
0xfffffff0087ef238: ecb704a9  stp	x12, x13, [sp, #0x48]
0xfffffff0087ef23c: fbaf03a9  stp	x27, x11, [sp, #0x38]
0xfffffff0087ef240: f3ab02a9  stp	x19, x10, [sp, #0x28]
0xfffffff0087ef244: 48358052  mov	w8, #0x1aa
0xfffffff0087ef248: e81300f9  str	x8, [sp, #0x20]
0xfffffff0087ef24c: 2851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087ef250: 08851091  add	x8, x8, #0x421
0xfffffff0087ef254: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ef258: 080f8052  mov	w8, #0x78
0xfffffff0087ef25c: 8352ff90  adrp	x3, #0xfffffff00723f000
0xfffffff0087ef260: 63683e91  add	x3, x3, #0xf9a
0xfffffff0087ef264: f42300a9  stp	x20, x8, [sp]
0xfffffff0087ef268: c04fffd0  adrp	x0, #0xfffffff0071e9000
