; Candidate 15182
; ADRP+ADD at VM 0xfffffff009b281bc (fileoff 0x2b241bc): page=0x891000 add_imm=0xce0

0xfffffff009b2813c: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff009b28140: e90310aa  mov	x9, x16
0xfffffff009b28144: e00316aa  mov	x0, x22
0xfffffff009b28148: f10309aa  mov	x17, x9
0xfffffff009b2814c: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff009b28150: 11093fd7  blraa	x8, x17
0xfffffff009b28154: 0d000014  b	#0xfffffff009b28188
0xfffffff009b28158: 160080d2  mov	x22, #0
0xfffffff009b2815c: 0b000014  b	#0xfffffff009b28188
0xfffffff009b28160: 900240f9  ldr	x16, [x20]
0xfffffff009b28164: f10314aa  mov	x17, x20
0xfffffff009b28168: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b2816c: 301ac1da  autda	x16, x17
0xfffffff009b28170: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009b28174: e90310aa  mov	x9, x16
0xfffffff009b28178: e00314aa  mov	x0, x20
0xfffffff009b2817c: f10309aa  mov	x17, x9
0xfffffff009b28180: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009b28184: 11093fd7  blraa	x8, x17
0xfffffff009b28188: 608a40f9  ldr	x0, [x19, #0x110]
0xfffffff009b2818c: 6c118a97  bl	#0xfffffff007dac73c
0xfffffff009b28190: e00316aa  mov	x0, x22
0xfffffff009b28194: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009b28198: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009b2819c: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009b281a0: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff009b281a4: ff0f5fd6  retab	
0xfffffff009b281a8: 5f2403d5  bti	c
0xfffffff009b281ac: 52f19e17  b	#0xfffffff0082e46f4
0xfffffff009b281b0: 7f2303d5  pacibsp	
0xfffffff009b281b4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009b281b8: fd030091  mov	x29, sp
0xfffffff009b281bc: 804400b0  adrp	x0, #0xfffffff00a3b9000
0xfffffff009b281c0: 00803391  add	x0, x0, #0xce0
0xfffffff009b281c4: e1d7fe90  adrp	x1, #0xfffffff007624000
0xfffffff009b281c8: 21d43b91  add	x1, x1, #0xef5
0xfffffff009b281cc: 620dff90  adrp	x2, #0xfffffff007cd4000
0xfffffff009b281d0: 421845f9  ldr	x2, [x2, #0xa30]
0xfffffff009b281d4: 03378052  mov	w3, #0x1b8
0xfffffff009b281d8: 58ee9e97  bl	#0xfffffff0082e3b38
0xfffffff009b281dc: 700dffd0  adrp	x16, #0xfffffff007cd6000
0xfffffff009b281e0: 10a20a91  add	x16, x16, #0x2a8
0xfffffff009b281e4: 10420091  add	x16, x16, #0x10
0xfffffff009b281e8: f10300aa  mov	x17, x0
0xfffffff009b281ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b281f0: 300ac1da  pacda	x16, x17
0xfffffff009b281f4: 100000f9  str	x16, [x0]
0xfffffff009b281f8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009b281fc: ff0f5fd6  retab	
0xfffffff009b28200: 5f2403d5  bti	c
0xfffffff009b28204: 804400b0  adrp	x0, #0xfffffff00a3b9000
0xfffffff009b28208: 00803391  add	x0, x0, #0xce0
0xfffffff009b2820c: 3af19e17  b	#0xfffffff0082e46f4
0xfffffff009b28210: 7f2303d5  pacibsp	
0xfffffff009b28214: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009b28218: fd030091  mov	x29, sp
0xfffffff009b2821c: e1d7feb0  adrp	x1, #0xfffffff007625000
0xfffffff009b28220: 21543691  add	x1, x1, #0xd95
0xfffffff009b28224: 620dff90  adrp	x2, #0xfffffff007cd4000
0xfffffff009b28228: 424045f9  ldr	x2, [x2, #0xa80]
0xfffffff009b2822c: 03118052  mov	w3, #0x88
0xfffffff009b28230: 42ee9e97  bl	#0xfffffff0082e3b38
0xfffffff009b28234: 700dffd0  adrp	x16, #0xfffffff007cd6000
0xfffffff009b28238: 10622d91  add	x16, x16, #0xb58
