; Candidate 8483
; ADRP+ADD at VM 0xfffffff0088ad704 (fileoff 0x18a9704): page=0x1fe93c000 add_imm=0xe80

0xfffffff0088ad684: fc2300a9  stp	x28, x8, [sp]
0xfffffff0088ad688: fc0309aa  mov	x28, x9
0xfffffff0088ad68c: 7527d497  bl	#0xfffffff007db7460
0xfffffff0088ad690: 23000014  b	#0xfffffff0088ad71c
0xfffffff0088ad694: c61a0094  bl	#0xfffffff0088b41ac
0xfffffff0088ad698: f60300aa  mov	x22, x0
0xfffffff0088ad69c: c0008052  mov	w0, #6
0xfffffff0088ad6a0: 6c38ff97  bl	#0xfffffff00887b850
0xfffffff0088ad6a4: fc031aaa  mov	x28, x26
0xfffffff0088ad6a8: e8031caa  mov	x8, x28
0xfffffff0088ad6ac: e83b00f9  str	x8, [sp, #0x70]
0xfffffff0088ad6b0: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff0088ad6b4: e83700f9  str	x8, [sp, #0x68]
0xfffffff0088ad6b8: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0088ad6bc: fa0318aa  mov	x26, x24
0xfffffff0088ad6c0: faa305a9  stp	x26, x8, [sp, #0x58]
0xfffffff0088ad6c4: f80317aa  mov	x24, x23
0xfffffff0088ad6c8: f70315aa  mov	x23, x21
0xfffffff0088ad6cc: f8e704a9  stp	x24, x25, [sp, #0x48]
0xfffffff0088ad6d0: e80314aa  mov	x8, x20
0xfffffff0088ad6d4: f5031baa  mov	x21, x27
0xfffffff0088ad6d8: e8df03a9  stp	x8, x23, [sp, #0x38]
0xfffffff0088ad6dc: f51b00f9  str	x21, [sp, #0x30]
0xfffffff0088ad6e0: b40359f8  ldur	x20, [x29, #-0x70]
0xfffffff0088ad6e4: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088ad6e8: 284cffd0  adrp	x8, #0xfffffff007233000
0xfffffff0088ad6ec: 085d2f91  add	x8, x8, #0xbd7
0xfffffff0088ad6f0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088ad6f4: c80f8052  mov	w8, #0x7e
0xfffffff0088ad6f8: a34dffd0  adrp	x3, #0xfffffff007263000
0xfffffff0088ad6fc: 63e43491  add	x3, x3, #0xd39
0xfffffff0088ad700: f62300a9  stp	x22, x8, [sp]
0xfffffff0088ad704: e049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ad708: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ad70c: c18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088ad710: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ad714: 02008052  mov	w2, #0
0xfffffff0088ad718: 8616ea97  bl	#0xfffffff008333130
0xfffffff0088ad71c: e0031caa  mov	x0, x28
0xfffffff0088ad720: fd7b4fa9  ldp	x29, x30, [sp, #0xf0]
0xfffffff0088ad724: f44f4ea9  ldp	x20, x19, [sp, #0xe0]
0xfffffff0088ad728: f6574da9  ldp	x22, x21, [sp, #0xd0]
0xfffffff0088ad72c: f85f4ca9  ldp	x24, x23, [sp, #0xc0]
0xfffffff0088ad730: fa674ba9  ldp	x26, x25, [sp, #0xb0]
0xfffffff0088ad734: fc6f4aa9  ldp	x28, x27, [sp, #0xa0]
0xfffffff0088ad738: ff030491  add	sp, sp, #0x100
0xfffffff0088ad73c: ff0f5fd6  retab	
0xfffffff0088ad740: e00313aa  mov	x0, x19
0xfffffff0088ad744: 4fedff97  bl	#0xfffffff0088a8c80
0xfffffff0088ad748: e0070034  cbz	w0, #0xfffffff0088ad844
0xfffffff0088ad74c: c00f8052  mov	w0, #0x7e
0xfffffff0088ad750: 81008052  mov	w1, #4
0xfffffff0088ad754: 1f38ff97  bl	#0xfffffff00887b7d0
0xfffffff0088ad758: c0ddff34  cbz	w0, #0xfffffff0088ad310
0xfffffff0088ad75c: fc0316aa  mov	x28, x22
0xfffffff0088ad760: c00f8052  mov	w0, #0x7e
0xfffffff0088ad764: 2d38ff97  bl	#0xfffffff00887b818
0xfffffff0088ad768: f60300aa  mov	x22, x0
0xfffffff0088ad76c: 901a0094  bl	#0xfffffff0088b41ac
0xfffffff0088ad770: fb0300aa  mov	x27, x0
0xfffffff0088ad774: 80008052  mov	w0, #4
0xfffffff0088ad778: 3638ff97  bl	#0xfffffff00887b850
0xfffffff0088ad77c: 760a0034  cbz	w22, #0xfffffff0088ad8c8
0xfffffff0088ad780: 680240b9  ldr	w8, [x19]
