; Candidate 14090
; ADRP+ADD at VM 0xfffffff0096fa198 (fileoff 0x26f6198): page=0x1fde96000 add_imm=0xd35

0xfffffff0096fa118: c00c00b4  cbz	x0, #0xfffffff0096fa2b0
0xfffffff0096fa11c: 700240f9  ldr	x16, [x19]
0xfffffff0096fa120: f10313aa  mov	x17, x19
0xfffffff0096fa124: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096fa128: 301ac1da  autda	x16, x17
0xfffffff0096fa12c: 116e80d2  mov	x17, #0x370
0xfffffff0096fa130: 1002118b  add	x16, x16, x17
0xfffffff0096fa134: 080240f9  ldr	x8, [x16]
0xfffffff0096fa138: e90310aa  mov	x9, x16
0xfffffff0096fa13c: e00313aa  mov	x0, x19
0xfffffff0096fa140: f10309aa  mov	x17, x9
0xfffffff0096fa144: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0096fa148: 11093fd7  blraa	x8, x17
0xfffffff0096fa14c: 100040f9  ldr	x16, [x0]
0xfffffff0096fa150: f10300aa  mov	x17, x0
0xfffffff0096fa154: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096fa158: 301ac1da  autda	x16, x17
0xfffffff0096fa15c: 113d80d2  mov	x17, #0x1e8
0xfffffff0096fa160: 1002118b  add	x16, x16, x17
0xfffffff0096fa164: 080240f9  ldr	x8, [x16]
0xfffffff0096fa168: e90310aa  mov	x9, x16
0xfffffff0096fa16c: 010080d2  mov	x1, #0
0xfffffff0096fa170: f10309aa  mov	x17, x9
0xfffffff0096fa174: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0096fa178: 11093fd7  blraa	x8, x17
0xfffffff0096fa17c: 4f000014  b	#0xfffffff0096fa2b8
0xfffffff0096fa180: 80f4fef0  adrp	x0, #0xfffffff00758d000
0xfffffff0096fa184: 007c1f91  add	x0, x0, #0x7df
0xfffffff0096fa188: 88f4fed0  adrp	x8, #0xfffffff00758c000
0xfffffff0096fa18c: 081d0291  add	x8, x8, #0x87
0xfffffff0096fa190: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0096fa194: f50300f9  str	x21, [sp]
0xfffffff0096fa198: a0f4fed0  adrp	x0, #0xfffffff007590000
0xfffffff0096fa19c: 00d43491  add	x0, x0, #0xd35
0xfffffff0096fa1a0: 4c000014  b	#0xfffffff0096fa2d0
0xfffffff0096fa1a4: d00240f9  ldr	x16, [x22]
0xfffffff0096fa1a8: f10316aa  mov	x17, x22
0xfffffff0096fa1ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096fa1b0: 301ac1da  autda	x16, x17
0xfffffff0096fa1b4: 116f80d2  mov	x17, #0x378
0xfffffff0096fa1b8: 1002118b  add	x16, x16, x17
0xfffffff0096fa1bc: 080240f9  ldr	x8, [x16]
0xfffffff0096fa1c0: e90310aa  mov	x9, x16
0xfffffff0096fa1c4: e00316aa  mov	x0, x22
0xfffffff0096fa1c8: f10309aa  mov	x17, x9
0xfffffff0096fa1cc: d171ecf2  movk	x17, #0x638e, lsl #48
0xfffffff0096fa1d0: 11093fd7  blraa	x8, x17
0xfffffff0096fa1d4: 100040f9  ldr	x16, [x0]
0xfffffff0096fa1d8: f10300aa  mov	x17, x0
0xfffffff0096fa1dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096fa1e0: 301ac1da  autda	x16, x17
0xfffffff0096fa1e4: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0096fa1e8: e90310aa  mov	x9, x16
0xfffffff0096fa1ec: e10315aa  mov	x1, x21
0xfffffff0096fa1f0: f10309aa  mov	x17, x9
0xfffffff0096fa1f4: 113de2f2  movk	x17, #0x11e8, lsl #48
0xfffffff0096fa1f8: 11093fd7  blraa	x8, x17
0xfffffff0096fa1fc: 600a0034  cbz	w0, #0xfffffff0096fa348
0xfffffff0096fa200: f60300aa  mov	x22, x0
0xfffffff0096fa204: 806400b0  adrp	x0, #0xfffffff00a38b000
0xfffffff0096fa208: 00e01291  add	x0, x0, #0x4b8
0xfffffff0096fa20c: d3a9af97  bl	#0xfffffff0082e4958
0xfffffff0096fa210: f70300aa  mov	x23, x0
0xfffffff0096fa214: 700240f9  ldr	x16, [x19]
