; Candidate 9793
; ADRP+ADD at VM 0xfffffff008b40b14 (fileoff 0x1b3cb14): page=0x1fef49000 add_imm=0xdb8

0xfffffff008b40a94: 287c009b  mul	x8, x1, x0
0xfffffff008b40a98: 1fc100f1  cmp	x8, #0x30
0xfffffff008b40a9c: e1000054  b.ne	#0xfffffff008b40ab8
0xfffffff008b40aa0: 407affb0  adrp	x0, #0xfffffff007a89000
0xfffffff008b40aa4: 00e03591  add	x0, x0, #0xd78
0xfffffff008b40aa8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008b40aac: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008b40ab4
0xfffffff008b40ab0: 208e38d4  brk	#0xc471
0xfffffff008b40ab4: 9056e017  b	#0xfffffff0083564f4
0xfffffff008b40ab8: 7f2303d5  pacibsp	
0xfffffff008b40abc: ffc300d1  sub	sp, sp, #0x30
0xfffffff008b40ac0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008b40ac4: fd830091  add	x29, sp, #0x20
0xfffffff008b40ac8: 09068052  mov	w9, #0x30
0xfffffff008b40acc: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008b40ad0: 893dffb0  adrp	x9, #0xfffffff0072f1000
0xfffffff008b40ad4: 298d0a91  add	x9, x9, #0x2a3
0xfffffff008b40ad8: e90300f9  str	x9, [sp]
0xfffffff008b40adc: 203cffb0  adrp	x0, #0xfffffff0072c5000
0xfffffff008b40ae0: 00402f91  add	x0, x0, #0xbd0
0xfffffff008b40ae4: e179ffd0  adrp	x1, #0xfffffff007a7e000
0xfffffff008b40ae8: 211046f9  ldr	x1, [x1, #0xc20]
0xfffffff008b40aec: 233eff90  adrp	x3, #0xfffffff007304000
0xfffffff008b40af0: 63801391  add	x3, x3, #0x4e0
0xfffffff008b40af4: 02008052  mov	w2, #0
0xfffffff008b40af8: 8ec9df97  bl	#0xfffffff008333130
0xfffffff008b40afc: 000080d2  mov	x0, #0
0xfffffff008b40b00: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008b40b04: ffc30091  add	sp, sp, #0x30
0xfffffff008b40b08: ff0f5fd6  retab	
0xfffffff008b40b0c: 5f2403d5  bti	c
0xfffffff008b40b10: e10300aa  mov	x1, x0
0xfffffff008b40b14: 407affb0  adrp	x0, #0xfffffff007a89000
0xfffffff008b40b18: 00e03691  add	x0, x0, #0xdb8
0xfffffff008b40b1c: fc56e017  b	#0xfffffff00835670c
0xfffffff008b40b20: 7f2303d5  pacibsp	
0xfffffff008b40b24: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff008b40b28: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff008b40b2c: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008b40b30: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008b40b34: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008b40b38: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008b40b3c: fd430191  add	x29, sp, #0x50
0xfffffff008b40b40: ff832cd1  sub	sp, sp, #0xb20
0xfffffff008b40b44: f40301aa  mov	x20, x1
0xfffffff008b40b48: f30300aa  mov	x19, x0
0xfffffff008b40b4c: e879ffd0  adrp	x8, #0xfffffff007a7e000
0xfffffff008b40b50: 080d46f9  ldr	x8, [x8, #0xc18]
0xfffffff008b40b54: 080140f9  ldr	x8, [x8]
0xfffffff008b40b58: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff008b40b5c: b70e8052  mov	w23, #0x75
0xfffffff008b40b60: 1734a672  movk	w23, #0x31a0, lsl #16
0xfffffff008b40b64: e0c30191  add	x0, sp, #0x70
0xfffffff008b40b68: 81538152  mov	w1, #0xa9c
0xfffffff008b40b6c: f52fc897  bl	#0xfffffff007d4cb40
0xfffffff008b40b70: a00e8052  mov	w0, #0x75
0xfffffff008b40b74: 0034a672  movk	w0, #0x31a0, lsl #16
0xfffffff008b40b78: 010080d2  mov	x1, #0
0xfffffff008b40b7c: 020080d2  mov	x2, #0
0xfffffff008b40b80: 030080d2  mov	x3, #0
0xfffffff008b40b84: 040080d2  mov	x4, #0
0xfffffff008b40b88: 050080d2  mov	x5, #0
0xfffffff008b40b8c: def4d897  bl	#0xfffffff00817df04
0xfffffff008b40b90: 74070034  cbz	w20, #0xfffffff008b40c7c
