; Candidate 12467
; ADRP+ADD at VM 0xfffffff0090a5970 (fileoff 0x20a1970): page=0x1fe3b4000 add_imm=0xe24

0xfffffff0090a58f0: 100000f9  str	x16, [x0]
0xfffffff0090a58f4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0090a58f8: ff0f5fd6  retab	
0xfffffff0090a58fc: 5f2403d5  bti	c
0xfffffff0090a5900: 60930090  adrp	x0, #0xfffffff00a311000
0xfffffff0090a5904: 00c00891  add	x0, x0, #0x230
0xfffffff0090a5908: 7bfbc817  b	#0xfffffff0082e46f4
0xfffffff0090a590c: 7f2303d5  pacibsp	
0xfffffff0090a5910: ff0301d1  sub	sp, sp, #0x40
0xfffffff0090a5914: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0090a5918: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0090a591c: fdc30091  add	x29, sp, #0x30
0xfffffff0090a5920: e40302aa  mov	x4, x2
0xfffffff0090a5924: e30301aa  mov	x3, x1
0xfffffff0090a5928: e20300aa  mov	x2, x0
0xfffffff0090a592c: 61930090  adrp	x1, #0xfffffff00a311000
0xfffffff0090a5930: 21002e91  add	x1, x1, #0xb80
0xfffffff0090a5934: b00000b0  adrp	x16, #0xfffffff0090ba000
0xfffffff0090a5938: 10a20a91  add	x16, x16, #0x2a8
0xfffffff0090a593c: 519081d2  mov	x17, #0xc82
0xfffffff0090a5940: 3002c1da  pacia	x16, x17
0xfffffff0090a5944: e00310aa  mov	x0, x16
0xfffffff0090a5948: cb640094  bl	#0xfffffff0090bec74
0xfffffff0090a594c: f30300aa  mov	x19, x0
0xfffffff0090a5950: 60010034  cbz	w0, #0xfffffff0090a597c
0xfffffff0090a5954: 687e4093  sxtw	x8, w19
0xfffffff0090a5958: e91dffd0  adrp	x9, #0xfffffff007463000
0xfffffff0090a595c: 29052a91  add	x9, x9, #0xa81
0xfffffff0090a5960: ea1dffd0  adrp	x10, #0xfffffff007463000
0xfffffff0090a5964: 4ad12991  add	x10, x10, #0xa74
0xfffffff0090a5968: ea2700a9  stp	x10, x9, [sp]
0xfffffff0090a596c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090a5970: a01dff90  adrp	x0, #0xfffffff007459000
0xfffffff0090a5974: 00903891  add	x0, x0, #0xe24
0xfffffff0090a5978: aac5ca97  bl	#0xfffffff008357020
0xfffffff0090a597c: e00313aa  mov	x0, x19
0xfffffff0090a5980: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0090a5984: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0090a5988: ff030191  add	sp, sp, #0x40
0xfffffff0090a598c: ff0f5fd6  retab	
0xfffffff0090a5990: 7f2303d5  pacibsp	
0xfffffff0090a5994: ff0301d1  sub	sp, sp, #0x40
0xfffffff0090a5998: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0090a599c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0090a59a0: fdc30091  add	x29, sp, #0x30
0xfffffff0090a59a4: e70302aa  mov	x7, x2
0xfffffff0090a59a8: e60301aa  mov	x6, x1
0xfffffff0090a59ac: e20300aa  mov	x2, x0
0xfffffff0090a59b0: 61930090  adrp	x1, #0xfffffff00a311000
0xfffffff0090a59b4: 21002e91  add	x1, x1, #0xb80
0xfffffff0090a59b8: b00000b0  adrp	x16, #0xfffffff0090ba000
0xfffffff0090a59bc: 10a20a91  add	x16, x16, #0x2a8
0xfffffff0090a59c0: 519081d2  mov	x17, #0xc82
0xfffffff0090a59c4: 3002c1da  pacia	x16, x17
0xfffffff0090a59c8: e00310aa  mov	x0, x16
0xfffffff0090a59cc: 030080d2  mov	x3, #0
0xfffffff0090a59d0: 040080d2  mov	x4, #0
0xfffffff0090a59d4: 050080d2  mov	x5, #0
0xfffffff0090a59d8: 0b650094  bl	#0xfffffff0090bee04
0xfffffff0090a59dc: f30300aa  mov	x19, x0
0xfffffff0090a59e0: 60010034  cbz	w0, #0xfffffff0090a5a0c
0xfffffff0090a59e4: 687e4093  sxtw	x8, w19
0xfffffff0090a59e8: e91dffd0  adrp	x9, #0xfffffff007463000
0xfffffff0090a59ec: 298d2a91  add	x9, x9, #0xaa3
