; Candidate 14119
; ADRP+ADD at VM 0xfffffff00971c68c (fileoff 0x271868c): page=0x1fde71000 add_imm=0xd31

0xfffffff00971c60c: 00201f91  add	x0, x0, #0x7c8
0xfffffff00971c610: d220af97  bl	#0xfffffff0082e4958
0xfffffff00971c614: f50300aa  mov	x21, x0
0xfffffff00971c618: e00313aa  mov	x0, x19
0xfffffff00971c61c: 1031fe97  bl	#0xfffffff0096a8a5c
0xfffffff00971c620: f60300aa  mov	x22, x0
0xfffffff00971c624: e00100b5  cbnz	x0, #0xfffffff00971c660
0xfffffff00971c628: 700240f9  ldr	x16, [x19]
0xfffffff00971c62c: f10313aa  mov	x17, x19
0xfffffff00971c630: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00971c634: 301ac1da  autda	x16, x17
0xfffffff00971c638: 113d80d2  mov	x17, #0x1e8
0xfffffff00971c63c: 1002118b  add	x16, x16, x17
0xfffffff00971c640: 080240f9  ldr	x8, [x16]
0xfffffff00971c644: e90310aa  mov	x9, x16
0xfffffff00971c648: e00313aa  mov	x0, x19
0xfffffff00971c64c: 010080d2  mov	x1, #0
0xfffffff00971c650: f10309aa  mov	x17, x9
0xfffffff00971c654: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00971c658: 11093fd7  blraa	x8, x17
0xfffffff00971c65c: f60300aa  mov	x22, x0
0xfffffff00971c660: e00313aa  mov	x0, x19
0xfffffff00971c664: fe30fe97  bl	#0xfffffff0096a8a5c
0xfffffff00971c668: 88f3feb0  adrp	x8, #0xfffffff00758d000
0xfffffff00971c66c: 08c53491  add	x8, x8, #0xd31
0xfffffff00971c670: 89f3feb0  adrp	x9, #0xfffffff00758d000
0xfffffff00971c674: 29c93491  add	x9, x9, #0xd32
0xfffffff00971c678: 1f0000f1  cmp	x0, #0
0xfffffff00971c67c: 3701889a  csel	x23, x9, x8, eq
0xfffffff00971c680: e00313aa  mov	x0, x19
0xfffffff00971c684: f630fe97  bl	#0xfffffff0096a8a5c
0xfffffff00971c688: 800000b4  cbz	x0, #0xfffffff00971c698
0xfffffff00971c68c: 80f3feb0  adrp	x0, #0xfffffff00758d000
0xfffffff00971c690: 00c43491  add	x0, x0, #0xd31
0xfffffff00971c694: 0e000014  b	#0xfffffff00971c6cc
0xfffffff00971c698: 700240f9  ldr	x16, [x19]
0xfffffff00971c69c: f10313aa  mov	x17, x19
0xfffffff00971c6a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00971c6a4: 301ac1da  autda	x16, x17
0xfffffff00971c6a8: 114380d2  mov	x17, #0x218
0xfffffff00971c6ac: 1002118b  add	x16, x16, x17
0xfffffff00971c6b0: 080240f9  ldr	x8, [x16]
0xfffffff00971c6b4: e90310aa  mov	x9, x16
0xfffffff00971c6b8: e00313aa  mov	x0, x19
0xfffffff00971c6bc: 010080d2  mov	x1, #0
0xfffffff00971c6c0: f10309aa  mov	x17, x9
0xfffffff00971c6c4: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00971c6c8: 11093fd7  blraa	x8, x17
0xfffffff00971c6cc: f78301a9  stp	x23, x0, [sp, #0x18]
0xfffffff00971c6d0: f60b00f9  str	x22, [sp, #0x10]
0xfffffff00971c6d4: 96f3fe90  adrp	x22, #0xfffffff00758c000
0xfffffff00971c6d8: d6060691  add	x22, x22, #0x181
0xfffffff00971c6dc: f55b00a9  stp	x21, x22, [sp]
0xfffffff00971c6e0: 60f3fef0  adrp	x0, #0xfffffff00758b000
0xfffffff00971c6e4: 00802191  add	x0, x0, #0x860
0xfffffff00971c6e8: c127ffd0  adrp	x1, #0xfffffff007c16000
0xfffffff00971c6ec: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff00971c6f0: 23f4fef0  adrp	x3, #0xfffffff0075a3000
0xfffffff00971c6f4: 63fc2e91  add	x3, x3, #0xbbf
0xfffffff00971c6f8: 02008052  mov	w2, #0
0xfffffff00971c6fc: 8d5ab097  bl	#0xfffffff008333130
0xfffffff00971c700: 686300f0  adrp	x8, #0xfffffff00a38b000
0xfffffff00971c704: 08e10591  add	x8, x8, #0x178
0xfffffff00971c708: 010140f9  ldr	x1, [x8]
