; Candidate 14325
; ADRP+ADD at VM 0xfffffff009765ae0 (fileoff 0x2761ae0): page=0xc26000 add_imm=0xea8

0xfffffff009765a60: c00100b5  cbnz	x0, #0xfffffff009765a98
0xfffffff009765a64: 700240f9  ldr	x16, [x19]
0xfffffff009765a68: f10313aa  mov	x17, x19
0xfffffff009765a6c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009765a70: 301ac1da  autda	x16, x17
0xfffffff009765a74: 113d80d2  mov	x17, #0x1e8
0xfffffff009765a78: 1002118b  add	x16, x16, x17
0xfffffff009765a7c: 080240f9  ldr	x8, [x16]
0xfffffff009765a80: e90310aa  mov	x9, x16
0xfffffff009765a84: e00313aa  mov	x0, x19
0xfffffff009765a88: 010080d2  mov	x1, #0
0xfffffff009765a8c: f10309aa  mov	x17, x9
0xfffffff009765a90: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009765a94: 11093fd7  blraa	x8, x17
0xfffffff009765a98: e00313aa  mov	x0, x19
0xfffffff009765a9c: f00bfd97  bl	#0xfffffff0096a8a5c
0xfffffff009765aa0: e00313aa  mov	x0, x19
0xfffffff009765aa4: ee0bfd97  bl	#0xfffffff0096a8a5c
0xfffffff009765aa8: c00100b5  cbnz	x0, #0xfffffff009765ae0
0xfffffff009765aac: 700240f9  ldr	x16, [x19]
0xfffffff009765ab0: f10313aa  mov	x17, x19
0xfffffff009765ab4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009765ab8: 301ac1da  autda	x16, x17
0xfffffff009765abc: 114380d2  mov	x17, #0x218
0xfffffff009765ac0: 1002118b  add	x16, x16, x17
0xfffffff009765ac4: 080240f9  ldr	x8, [x16]
0xfffffff009765ac8: e90310aa  mov	x9, x16
0xfffffff009765acc: e00313aa  mov	x0, x19
0xfffffff009765ad0: 010080d2  mov	x1, #0
0xfffffff009765ad4: f10309aa  mov	x17, x9
0xfffffff009765ad8: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009765adc: 11093fd7  blraa	x8, x17
0xfffffff009765ae0: 206100d0  adrp	x0, #0xfffffff00a38b000
0xfffffff009765ae4: 00a03a91  add	x0, x0, #0xea8
0xfffffff009765ae8: 9cfbad97  bl	#0xfffffff0082e4958
0xfffffff009765aec: f50300aa  mov	x21, x0
0xfffffff009765af0: e00313aa  mov	x0, x19
0xfffffff009765af4: da0bfd97  bl	#0xfffffff0096a8a5c
0xfffffff009765af8: f60300aa  mov	x22, x0
0xfffffff009765afc: e00100b5  cbnz	x0, #0xfffffff009765b38
0xfffffff009765b00: 700240f9  ldr	x16, [x19]
0xfffffff009765b04: f10313aa  mov	x17, x19
0xfffffff009765b08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009765b0c: 301ac1da  autda	x16, x17
0xfffffff009765b10: 113d80d2  mov	x17, #0x1e8
0xfffffff009765b14: 1002118b  add	x16, x16, x17
0xfffffff009765b18: 080240f9  ldr	x8, [x16]
0xfffffff009765b1c: e90310aa  mov	x9, x16
0xfffffff009765b20: e00313aa  mov	x0, x19
0xfffffff009765b24: 010080d2  mov	x1, #0
0xfffffff009765b28: f10309aa  mov	x17, x9
0xfffffff009765b2c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009765b30: 11093fd7  blraa	x8, x17
0xfffffff009765b34: f60300aa  mov	x22, x0
0xfffffff009765b38: e00313aa  mov	x0, x19
0xfffffff009765b3c: c80bfd97  bl	#0xfffffff0096a8a5c
0xfffffff009765b40: f70300aa  mov	x23, x0
0xfffffff009765b44: e00313aa  mov	x0, x19
0xfffffff009765b48: c50bfd97  bl	#0xfffffff0096a8a5c
0xfffffff009765b4c: e80300aa  mov	x8, x0
0xfffffff009765b50: 58f1fe90  adrp	x24, #0xfffffff00758d000
0xfffffff009765b54: 18c73491  add	x24, x24, #0xd31
0xfffffff009765b58: e00318aa  mov	x0, x24
0xfffffff009765b5c: c80100b5  cbnz	x8, #0xfffffff009765b94
