; Candidate 12239
; ADRP+ADD at VM 0xfffffff00907335c (fileoff 0x206f35c): page=0x1fe3e2000 add_imm=0xed6

0xfffffff0090732dc: f10310aa  mov	x17, x16
0xfffffff0090732e0: f147c1da  xpacd	x17
0xfffffff0090732e4: 1f0211eb  cmp	x16, x17
0xfffffff0090732e8: 40000054  b.eq	#0xfffffff0090732f0
0xfffffff0090732ec: 408e38d4  brk	#0xc472
0xfffffff0090732f0: 54040034  cbz	w20, #0xfffffff009073378
0xfffffff0090732f4: 08621691  add	x8, x16, #0x598
0xfffffff0090732f8: 09ce42f9  ldr	x9, [x16, #0x598]
0xfffffff0090732fc: e00313aa  mov	x0, x19
0xfffffff009073300: 82008052  mov	w2, #4
0xfffffff009073304: 43008052  mov	w3, #2
0xfffffff009073308: f10308aa  mov	x17, x8
0xfffffff00907330c: 7177f7f2  movk	x17, #0xbbbb, lsl #48
0xfffffff009073310: 31093fd7  blraa	x9, x17
0xfffffff009073314: 21000014  b	#0xfffffff009073398
0xfffffff009073318: 88020036  tbz	w8, #0, #0xfffffff009073368
0xfffffff00907331c: 700240f9  ldr	x16, [x19]
0xfffffff009073320: f10313aa  mov	x17, x19
0xfffffff009073324: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009073328: 301ac1da  autda	x16, x17
0xfffffff00907332c: 113d80d2  mov	x17, #0x1e8
0xfffffff009073330: 1002118b  add	x16, x16, x17
0xfffffff009073334: 080240f9  ldr	x8, [x16]
0xfffffff009073338: e90310aa  mov	x9, x16
0xfffffff00907333c: e00313aa  mov	x0, x19
0xfffffff009073340: 010080d2  mov	x1, #0
0xfffffff009073344: f10309aa  mov	x17, x9
0xfffffff009073348: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00907334c: 11093fd7  blraa	x8, x17
0xfffffff009073350: 081fffd0  adrp	x8, #0xfffffff007455000
0xfffffff009073354: 08cd3b91  add	x8, x8, #0xef3
0xfffffff009073358: e02300a9  stp	x0, x8, [sp]
0xfffffff00907335c: 001fffd0  adrp	x0, #0xfffffff007455000
0xfffffff009073360: 00583b91  add	x0, x0, #0xed6
0xfffffff009073364: 2f8fcb97  bl	#0xfffffff008357020
0xfffffff009073368: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00907336c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009073370: ff030191  add	sp, sp, #0x40
0xfffffff009073374: ff0f5fd6  retab	
0xfffffff009073378: 08821691  add	x8, x16, #0x5a0
0xfffffff00907337c: 09d242f9  ldr	x9, [x16, #0x5a0]
0xfffffff009073380: e00313aa  mov	x0, x19
0xfffffff009073384: 82008052  mov	w2, #4
0xfffffff009073388: 43008012  mov	w3, #-3
0xfffffff00907338c: f10308aa  mov	x17, x8
0xfffffff009073390: 918afdf2  movk	x17, #0xec54, lsl #48
0xfffffff009073394: 31093fd7  blraa	x9, x17
0xfffffff009073398: 618a40f9  ldr	x1, [x19, #0x110]
0xfffffff00907339c: 700240f9  ldr	x16, [x19]
0xfffffff0090733a0: f10313aa  mov	x17, x19
0xfffffff0090733a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090733a8: 301ac1da  autda	x16, x17
0xfffffff0090733ac: 11ac80d2  mov	x17, #0x560
0xfffffff0090733b0: 1002118b  add	x16, x16, x17
0xfffffff0090733b4: 080240f9  ldr	x8, [x16]
0xfffffff0090733b8: e90310aa  mov	x9, x16
0xfffffff0090733bc: e00313aa  mov	x0, x19
0xfffffff0090733c0: 02008052  mov	w2, #0
0xfffffff0090733c4: f10309aa  mov	x17, x9
0xfffffff0090733c8: 11f4e9f2  movk	x17, #0x4fa0, lsl #48
0xfffffff0090733cc: 11093fd7  blraa	x8, x17
0xfffffff0090733d0: 604a40f9  ldr	x0, [x19, #0x90]
0xfffffff0090733d4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0090733d8: f44f42a9  ldp	x20, x19, [sp, #0x20]
