; Candidate 7670
; ADRP+ADD at VM 0xfffffff008877dc4 (fileoff 0x1873dc4): page=0x1fe972000 add_imm=0xe80

0xfffffff008877d44: e80300f9  str	x8, [sp]
0xfffffff008877d48: 804bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008877d4c: 00003a91  add	x0, x0, #0xe80
0xfffffff008877d50: 818cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008877d54: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008877d58: 02008052  mov	w2, #0
0xfffffff008877d5c: f5ecea97  bl	#0xfffffff008333130
0xfffffff008877d60: e0031aaa  mov	x0, x26
0xfffffff008877d64: dad3fd97  bl	#0xfffffff0087ecccc
0xfffffff008877d68: a08cffd0  adrp	x0, #0xfffffff007a0d000
0xfffffff008877d6c: 00603291  add	x0, x0, #0xc98
0xfffffff008877d70: e1031aaa  mov	x1, x26
0xfffffff008877d74: 667aeb97  bl	#0xfffffff00835670c
0xfffffff008877d78: 2effff17  b	#0xfffffff008877a30
0xfffffff008877d7c: 0cf10094  bl	#0xfffffff0088b41ac
0xfffffff008877d80: f90300aa  mov	x25, x0
0xfffffff008877d84: 80008052  mov	w0, #4
0xfffffff008877d88: b20e0094  bl	#0xfffffff00887b850
0xfffffff008877d8c: e80317aa  mov	x8, x23
0xfffffff008877d90: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff008877d94: a84dff90  adrp	x8, #0xfffffff00722b000
0xfffffff008877d98: 08f10b91  add	x8, x8, #0x2fc
0xfffffff008877d9c: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008877da0: 68118052  mov	w8, #0x8b
0xfffffff008877da4: c94cffd0  adrp	x9, #0xfffffff007211000
0xfffffff008877da8: 29892c91  add	x9, x9, #0xb22
0xfffffff008877dac: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008877db0: a84dff90  adrp	x8, #0xfffffff00722b000
0xfffffff008877db4: 08053c91  add	x8, x8, #0xf01
0xfffffff008877db8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008877dbc: a80b8052  mov	w8, #0x5d
0xfffffff008877dc0: f92300a9  stp	x25, x8, [sp]
0xfffffff008877dc4: 804bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008877dc8: 00003a91  add	x0, x0, #0xe80
0xfffffff008877dcc: 818cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008877dd0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008877dd4: 034fffd0  adrp	x3, #0xfffffff007259000
0xfffffff008877dd8: 63ec3a91  add	x3, x3, #0xebb
0xfffffff008877ddc: 02008052  mov	w2, #0
0xfffffff008877de0: d4ecea97  bl	#0xfffffff008333130
0xfffffff008877de4: 597d8012  mov	w25, #-0x3eb
0xfffffff008877de8: 12ffff17  b	#0xfffffff008877a30
0xfffffff008877dec: f0f00094  bl	#0xfffffff0088b41ac
0xfffffff008877df0: f90300aa  mov	x25, x0
0xfffffff008877df4: c0008052  mov	w0, #6
0xfffffff008877df8: 960e0094  bl	#0xfffffff00887b850
0xfffffff008877dfc: 691e40f9  ldr	x9, [x19, #0x38]
0xfffffff008877e00: e80317aa  mov	x8, x23
0xfffffff008877e04: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff008877e08: e8128052  mov	w8, #0x97
0xfffffff008877e0c: c94cffd0  adrp	x9, #0xfffffff007211000
0xfffffff008877e10: 29892c91  add	x9, x9, #0xb22
0xfffffff008877e14: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008877e18: a84dff90  adrp	x8, #0xfffffff00722b000
0xfffffff008877e1c: 08053c91  add	x8, x8, #0xf01
0xfffffff008877e20: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008877e24: a80b8052  mov	w8, #0x5d
0xfffffff008877e28: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008877e2c: f90300f9  str	x25, [sp]
0xfffffff008877e30: 804bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008877e34: 00003a91  add	x0, x0, #0xe80
0xfffffff008877e38: 818cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008877e3c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008877e40: 034fffd0  adrp	x3, #0xfffffff007259000
