; Candidate 15800
; ADRP+ADD at VM 0xfffffff009d2ec58 (fileoff 0x2d2ac58): page=0x1fd93f000 add_imm=0xd1e

0xfffffff009d2ebd8: fdc30091  add	x29, sp, #0x30
0xfffffff009d2ebdc: f30300aa  mov	x19, x0
0xfffffff009d2ebe0: 763400d0  adrp	x22, #0xfffffff00a3bc000
0xfffffff009d2ebe4: d6820d91  add	x22, x22, #0x360
0xfffffff009d2ebe8: c80240b9  ldr	w8, [x22]
0xfffffff009d2ebec: d5fefe90  adrp	x21, #0xfffffff007d06000
0xfffffff009d2ebf0: b58a42f9  ldr	x21, [x21, #0x510]
0xfffffff009d2ebf4: a8010034  cbz	w8, #0xfffffff009d2ec28
0xfffffff009d2ebf8: a80240b9  ldr	w8, [x21]
0xfffffff009d2ebfc: 1f791c72  tst	w8, #0xfffffff7
0xfffffff009d2ec00: 40010054  b.eq	#0xfffffff009d2ec28
0xfffffff009d2ec04: 618640f9  ldr	x1, [x19, #0x108]
0xfffffff009d2ec08: 63024439  ldrb	w3, [x19, #0x100]
0xfffffff009d2ec0c: 20019652  mov	w0, #0xb009
0xfffffff009d2ec10: e0a4a072  movk	w0, #0x527, lsl #16
0xfffffff009d2ec14: e2008052  mov	w2, #7
0xfffffff009d2ec18: 6200a072  movk	w2, #3, lsl #16
0xfffffff009d2ec1c: 040080d2  mov	x4, #0
0xfffffff009d2ec20: 050080d2  mov	x5, #0
0xfffffff009d2ec24: b83c9197  bl	#0xfffffff00817df04
0xfffffff009d2ec28: 68e64439  ldrb	w8, [x19, #0x139]
0xfffffff009d2ec2c: 68070035  cbnz	w8, #0xfffffff009d2ed18
0xfffffff009d2ec30: 68024439  ldrb	w8, [x19, #0x100]
0xfffffff009d2ec34: 1f150071  cmp	w8, #5
0xfffffff009d2ec38: 83030054  b.lo	#0xfffffff009d2eca8
0xfffffff009d2ec3c: 698640f9  ldr	x9, [x19, #0x108]
0xfffffff009d2ec40: e92300a9  stp	x9, x8, [sp]
0xfffffff009d2ec44: e0c9fef0  adrp	x0, #0xfffffff00766d000
0xfffffff009d2ec48: 00043391  add	x0, x0, #0xcc1
0xfffffff009d2ec4c: f5a09897  bl	#0xfffffff008357020
0xfffffff009d2ec50: 688640f9  ldr	x8, [x19, #0x108]
0xfffffff009d2ec54: e80300f9  str	x8, [sp]
0xfffffff009d2ec58: e0c9fef0  adrp	x0, #0xfffffff00766d000
0xfffffff009d2ec5c: 00783491  add	x0, x0, #0xd1e
0xfffffff009d2ec60: f0a09897  bl	#0xfffffff008357020
0xfffffff009d2ec64: 607640f9  ldr	x0, [x19, #0xe8]
0xfffffff009d2ec68: 100040f9  ldr	x16, [x0]
0xfffffff009d2ec6c: f10300aa  mov	x17, x0
0xfffffff009d2ec70: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d2ec74: 301ac1da  autda	x16, x17
0xfffffff009d2ec78: f10310aa  mov	x17, x16
0xfffffff009d2ec7c: f147c1da  xpacd	x17
0xfffffff009d2ec80: 1f0211eb  cmp	x16, x17
0xfffffff009d2ec84: 40000054  b.eq	#0xfffffff009d2ec8c
0xfffffff009d2ec88: 408e38d4  brk	#0xc472
0xfffffff009d2ec8c: 08c20b91  add	x8, x16, #0x2f0
0xfffffff009d2ec90: 097a41f9  ldr	x9, [x16, #0x2f0]
0xfffffff009d2ec94: 01008052  mov	w1, #0
0xfffffff009d2ec98: f10308aa  mov	x17, x8
0xfffffff009d2ec9c: b1d8ebf2  movk	x17, #0x5ec5, lsl #48
0xfffffff009d2eca0: 31093fd7  blraa	x9, x17
0xfffffff009d2eca4: 1d000014  b	#0xfffffff009d2ed18
0xfffffff009d2eca8: 68364839  ldrb	w8, [x19, #0x20d]
0xfffffff009d2ecac: 68030035  cbnz	w8, #0xfffffff009d2ed18
0xfffffff009d2ecb0: e00313aa  mov	x0, x19
0xfffffff009d2ecb4: 3a020094  bl	#0xfffffff009d2f59c
0xfffffff009d2ecb8: 607640f9  ldr	x0, [x19, #0xe8]
0xfffffff009d2ecbc: 50e7ff97  bl	#0xfffffff009d289fc
0xfffffff009d2ecc0: 40080035  cbnz	w0, #0xfffffff009d2edc8
0xfffffff009d2ecc4: 68e64439  ldrb	w8, [x19, #0x139]
0xfffffff009d2ecc8: 88020035  cbnz	w8, #0xfffffff009d2ed18
0xfffffff009d2eccc: 607640f9  ldr	x0, [x19, #0xe8]
0xfffffff009d2ecd0: 3ee6ff97  bl	#0xfffffff009d285c8
0xfffffff009d2ecd4: 609a00f9  str	x0, [x19, #0x130]
