; Candidate 2578
; ADRP+ADD at VM 0xfffffff0086c2834 (fileoff 0x16be834): page=0x1fea6b000 add_imm=0xdeb

0xfffffff0086c27b4: 88b341b9  ldr	w8, [x28, #0x1b0]
0xfffffff0086c27b8: 1f00086b  cmp	w0, w8
0xfffffff0086c27bc: 14b0881a  csel	w20, w0, w8, lt
0xfffffff0086c27c0: e0031caa  mov	x0, x28
0xfffffff0086c27c4: e10314aa  mov	x1, x20
0xfffffff0086c27c8: 07efff97  bl	#0xfffffff0086be3e4
0xfffffff0086c27cc: f50300aa  mov	x21, x0
0xfffffff0086c27d0: 953302b9  str	w21, [x28, #0x230]
0xfffffff0086c27d4: 88ff40b9  ldr	w8, [x28, #0xfc]
0xfffffff0086c27d8: 1f1d0071  cmp	w8, #7
0xfffffff0086c27dc: 23030054  b.lo	#0xfffffff0086c2840
0xfffffff0086c27e0: 900340f9  ldr	x16, [x28]
0xfffffff0086c27e4: f1031caa  mov	x17, x28
0xfffffff0086c27e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086c27ec: 301ac1da  autda	x16, x17
0xfffffff0086c27f0: 113d80d2  mov	x17, #0x1e8
0xfffffff0086c27f4: 1002118b  add	x16, x16, x17
0xfffffff0086c27f8: 080240f9  ldr	x8, [x16]
0xfffffff0086c27fc: e90310aa  mov	x9, x16
0xfffffff0086c2800: e0031caa  mov	x0, x28
0xfffffff0086c2804: 010080d2  mov	x1, #0
0xfffffff0086c2808: f10309aa  mov	x17, x9
0xfffffff0086c280c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0086c2810: 11093fd7  blraa	x8, x17
0xfffffff0086c2814: 885b81b9  ldrsw	x8, [x28, #0x158]
0xfffffff0086c2818: 097d8052  mov	w9, #0x3e8
0xfffffff0086c281c: 097d091b  mul	w9, w8, w9
0xfffffff0086c2820: 297d5093  sbfx	x9, x9, #0x10, #0x10
0xfffffff0086c2824: 4a53fff0  adrp	x10, #0xfffffff00712d000
0xfffffff0086c2828: 4a8d3291  add	x10, x10, #0xca3
0xfffffff0086c282c: e02b00a9  stp	x0, x10, [sp]
0xfffffff0086c2830: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0086c2834: 4053fff0  adrp	x0, #0xfffffff00712d000
0xfffffff0086c2838: 00ac3791  add	x0, x0, #0xdeb
0xfffffff0086c283c: f951f297  bl	#0xfffffff008357020
0xfffffff0086c2840: e0031caa  mov	x0, x28
0xfffffff0086c2844: e10315aa  mov	x1, x21
0xfffffff0086c2848: 22008052  mov	w2, #1
0xfffffff0086c284c: 43008052  mov	w3, #2
0xfffffff0086c2850: 02050094  bl	#0xfffffff0086c3c58
0xfffffff0086c2854: 807f41f9  ldr	x0, [x28, #0x2f8]
0xfffffff0086c2858: 825b81b9  ldrsw	x2, [x28, #0x158]
0xfffffff0086c285c: 816e8cd2  mov	x1, #0x6374
0xfffffff0086c2860: 21ccacf2  movk	x1, #0x6661, lsl #16
0xfffffff0086c2864: 0144ccf2  movk	x1, #0x6220, lsl #32
0xfffffff0086c2868: 018eecf2  movk	x1, #0x6470, lsl #48
0xfffffff0086c286c: 3740f597  bl	#0xfffffff008412948
0xfffffff0086c2870: 88934839  ldrb	w8, [x28, #0x224]
0xfffffff0086c2874: 883d0035  cbnz	w8, #0xfffffff0086c3024
0xfffffff0086c2878: 887741b9  ldr	w8, [x28, #0x174]
0xfffffff0086c287c: 8802086b  subs	w8, w20, w8
0xfffffff0086c2880: 0855885a  cneg	w8, w8, mi
0xfffffff0086c2884: 1f414071  cmp	w8, #0x10, lsl #12
0xfffffff0086c2888: e33c0054  b.lo	#0xfffffff0086c3024
0xfffffff0086c288c: 88ff40b9  ldr	w8, [x28, #0xfc]
0xfffffff0086c2890: 1f190071  cmp	w8, #6
0xfffffff0086c2894: 89310054  b.ls	#0xfffffff0086c2ec4
0xfffffff0086c2898: 900340f9  ldr	x16, [x28]
0xfffffff0086c289c: f1031caa  mov	x17, x28
0xfffffff0086c28a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086c28a4: 301ac1da  autda	x16, x17
0xfffffff0086c28a8: 113d80d2  mov	x17, #0x1e8
0xfffffff0086c28ac: 1002118b  add	x16, x16, x17
0xfffffff0086c28b0: 080240f9  ldr	x8, [x16]
