; Candidate 16870
; ADRP+ADD at VM 0xfffffff009f8d4c4 (fileoff 0x2f894c4): page=0x44a000 add_imm=0xeb0

0xfffffff009f8d444: e1230191  add	x1, sp, #0x48
0xfffffff009f8d448: e00313aa  mov	x0, x19
0xfffffff009f8d44c: c66c0094  bl	#0xfffffff009fa8764
0xfffffff009f8d450: 680240f9  ldr	x8, [x19]
0xfffffff009f8d454: 081d0091  add	x8, x8, #7
0xfffffff009f8d458: 00f17d92  and	x0, x8, #0xfffffffffffffff8
0xfffffff009f8d45c: 99280094  bl	#0xfffffff009f976c0
0xfffffff009f8d460: 680240f9  ldr	x8, [x19]
0xfffffff009f8d464: 081d0091  add	x8, x8, #7
0xfffffff009f8d468: 01fd43d3  lsr	x1, x8, #3
0xfffffff009f8d46c: e00702a9  stp	x0, x1, [sp, #0x20]
0xfffffff009f8d470: e8830091  add	x8, sp, #0x20
0xfffffff009f8d474: 09610091  add	x9, x8, #0x18
0xfffffff009f8d478: 500000d0  adrp	x16, #0xfffffff009f97000
0xfffffff009f8d47c: 10221e91  add	x16, x16, #0x788
0xfffffff009f8d480: f10309aa  mov	x17, x9
0xfffffff009f8d484: f18bf5f2  movk	x17, #0xac5f, lsl #48
0xfffffff009f8d488: 3002c1da  pacia	x16, x17
0xfffffff009f8d48c: ff4303a9  stp	xzr, x16, [sp, #0x30]
0xfffffff009f8d490: 15810091  add	x21, x8, #0x20
0xfffffff009f8d494: 500000d0  adrp	x16, #0xfffffff009f97000
0xfffffff009f8d498: 10421f91  add	x16, x16, #0x7d0
0xfffffff009f8d49c: f10315aa  mov	x17, x21
0xfffffff009f8d4a0: 314eeff2  movk	x17, #0x7a71, lsl #48
0xfffffff009f8d4a4: 3002c1da  pacia	x16, x17
0xfffffff009f8d4a8: f02300f9  str	x16, [sp, #0x40]
0xfffffff009f8d4ac: 800200b4  cbz	x0, #0xfffffff009f8d4fc
0xfffffff009f8d4b0: e0830091  add	x0, sp, #0x20
0xfffffff009f8d4b4: b5280094  bl	#0xfffffff009f97788
0xfffffff009f8d4b8: f30300aa  mov	x19, x0
0xfffffff009f8d4bc: b1240094  bl	#0xfffffff009f96780
0xfffffff009f8d4c0: e10300aa  mov	x1, x0
0xfffffff009f8d4c4: 402200d0  adrp	x0, #0xfffffff00a3d7000
0xfffffff009f8d4c8: 00c03a91  add	x0, x0, #0xeb0
0xfffffff009f8d4cc: 02028052  mov	w2, #0x10
0xfffffff009f8d4d0: c3100094  bl	#0xfffffff009f917dc
0xfffffff009f8d4d4: 80010034  cbz	w0, #0xfffffff009f8d504
0xfffffff009f8d4d8: 7e1b7d97  bl	#0xfffffff007ed42d0
0xfffffff009f8d4dc: 08088052  mov	w8, #0x40
0xfffffff009f8d4e0: 09c7fed0  adrp	x9, #0xfffffff00786f000
0xfffffff009f8d4e4: 299d0291  add	x9, x9, #0xa7
0xfffffff009f8d4e8: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009f8d4ec: e00300f9  str	x0, [sp]
0xfffffff009f8d4f0: 00c7fed0  adrp	x0, #0xfffffff00786f000
0xfffffff009f8d4f4: 00c00191  add	x0, x0, #0x70
0xfffffff009f8d4f8: 64000014  b	#0xfffffff009f8d688
0xfffffff009f8d4fc: 93018012  mov	w19, #-0xd
0xfffffff009f8d500: 69000014  b	#0xfffffff009f8d6a4
0xfffffff009f8d504: 402200f0  adrp	x0, #0xfffffff00a3d8000
0xfffffff009f8d508: 00400391  add	x0, x0, #0xd0
0xfffffff009f8d50c: 05c7fed0  adrp	x5, #0xfffffff00786f000
0xfffffff009f8d510: a5040091  add	x5, x5, #1
0xfffffff009f8d514: 07c7fed0  adrp	x7, #0xfffffff00786f000
0xfffffff009f8d518: e7280091  add	x7, x7, #0xa
0xfffffff009f8d51c: e10313aa  mov	x1, x19
0xfffffff009f8d520: 02028052  mov	w2, #0x10
0xfffffff009f8d524: e30314aa  mov	x3, x20
0xfffffff009f8d528: 04018052  mov	w4, #8
0xfffffff009f8d52c: 06028052  mov	w6, #0x10
0xfffffff009f8d530: 34c00094  bl	#0xfffffff009fbd600
0xfffffff009f8d534: 40010034  cbz	w0, #0xfffffff009f8d55c
0xfffffff009f8d538: 661b7d97  bl	#0xfffffff007ed42d0
0xfffffff009f8d53c: 28098052  mov	w8, #0x49
0xfffffff009f8d540: 09c7fed0  adrp	x9, #0xfffffff00786f000
