; Candidate 7982
; ADRP+ADD at VM 0xfffffff00888c008 (fileoff 0x1888008): page=0x1fe95d000 add_imm=0xe80

0xfffffff00888bf88: 0825d79a  lsr	x8, x8, x23
0xfffffff00888bf8c: a8058036  tbz	w8, #0x10, #0xfffffff00888c040
0xfffffff00888bf90: f803172a  mov	w24, w23
0xfffffff00888bf94: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff00888bf98: 49d64894  bl	#0xfffffff009ac18bc
0xfffffff00888bf9c: f70300aa  mov	x23, x0
0xfffffff00888bfa0: 680e188b  add	x8, x19, x24, lsl #3
0xfffffff00888bfa4: 086540f9  ldr	x8, [x8, #0xc8]
0xfffffff00888bfa8: a80800b4  cbz	x8, #0xfffffff00888c0bc
0xfffffff00888bfac: 180d40f9  ldr	x24, [x8, #0x18]
0xfffffff00888bfb0: 44000014  b	#0xfffffff00888c0c0
0xfffffff00888bfb4: 7ea00094  bl	#0xfffffff0088b41ac
0xfffffff00888bfb8: f80300aa  mov	x24, x0
0xfffffff00888bfbc: 80008052  mov	w0, #4
0xfffffff00888bfc0: 24beff97  bl	#0xfffffff00887b850
0xfffffff00888bfc4: f5d305a9  stp	x21, x20, [sp, #0x58]
0xfffffff00888bfc8: f7db04a9  stp	x23, x22, [sp, #0x48]
0xfffffff00888bfcc: f3eb03a9  stp	x19, x26, [sp, #0x38]
0xfffffff00888bfd0: 084dfff0  adrp	x8, #0xfffffff00722e000
0xfffffff00888bfd4: 0ac13891  add	x10, x8, #0xe30
0xfffffff00888bfd8: 08a68052  mov	w8, #0x530
0xfffffff00888bfdc: 094dfff0  adrp	x9, #0xfffffff00722e000
0xfffffff00888bfe0: 29853891  add	x9, x9, #0xe21
0xfffffff00888bfe4: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00888bfe8: 284dff90  adrp	x8, #0xfffffff00722f000
0xfffffff00888bfec: 087d0391  add	x8, x8, #0xdf
0xfffffff00888bff0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00888bff4: 88098052  mov	w8, #0x4c
0xfffffff00888bff8: 834effd0  adrp	x3, #0xfffffff00725d000
0xfffffff00888bffc: 63b43991  add	x3, x3, #0xe6d
0xfffffff00888c000: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00888c004: f80300f9  str	x24, [sp]
0xfffffff00888c008: e04affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888c00c: 00003a91  add	x0, x0, #0xe80
0xfffffff00888c010: e18bff90  adrp	x1, #0xfffffff007a08000
0xfffffff00888c014: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888c018: 02008052  mov	w2, #0
0xfffffff00888c01c: 459cea97  bl	#0xfffffff008333130
0xfffffff00888c020: 007d8012  mov	w0, #-0x3e9
0xfffffff00888c024: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff00888c028: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff00888c02c: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff00888c030: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff00888c034: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff00888c038: ff030391  add	sp, sp, #0xc0
0xfffffff00888c03c: ff0f5fd6  retab	
0xfffffff00888c040: 80098052  mov	w0, #0x4c
0xfffffff00888c044: 81008052  mov	w1, #4
0xfffffff00888c048: e2bdff97  bl	#0xfffffff00887b7d0
0xfffffff00888c04c: a00b0034  cbz	w0, #0xfffffff00888c1c0
0xfffffff00888c050: 80098052  mov	w0, #0x4c
0xfffffff00888c054: f1bdff97  bl	#0xfffffff00887b818
0xfffffff00888c058: f50300aa  mov	x21, x0
0xfffffff00888c05c: 54a00094  bl	#0xfffffff0088b41ac
0xfffffff00888c060: f40300aa  mov	x20, x0
0xfffffff00888c064: 80008052  mov	w0, #4
0xfffffff00888c068: fabdff97  bl	#0xfffffff00887b850
0xfffffff00888c06c: 76620091  add	x22, x19, #0x18
0xfffffff00888c070: 55070034  cbz	w21, #0xfffffff00888c158
0xfffffff00888c074: 688e40f9  ldr	x8, [x19, #0x118]
0xfffffff00888c078: 094dffd0  adrp	x9, #0xfffffff00722e000
0xfffffff00888c07c: 29f53a91  add	x9, x9, #0xebd
0xfffffff00888c080: f62304a9  stp	x22, x8, [sp, #0x40]
0xfffffff00888c084: e94f03a9  stp	x9, x19, [sp, #0x30]
