; Candidate 9348
; ADRP+ADD at VM 0xfffffff008a2a8dc (fileoff 0x1a268dc): page=0x1fe86f000 add_imm=0xe40

0xfffffff008a2a85c: 080240f9  ldr	x8, [x16]
0xfffffff008a2a860: e90310aa  mov	x9, x16
0xfffffff008a2a864: e00313aa  mov	x0, x19
0xfffffff008a2a868: e10316aa  mov	x1, x22
0xfffffff008a2a86c: f10309aa  mov	x17, x9
0xfffffff008a2a870: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a2a874: 11093fd7  blraa	x8, x17
0xfffffff008a2a878: e00313aa  mov	x0, x19
0xfffffff008a2a87c: efb8f097  bl	#0xfffffff008658c38
0xfffffff008a2a880: f40300aa  mov	x20, x0
0xfffffff008a2a884: 700240f9  ldr	x16, [x19]
0xfffffff008a2a888: f10313aa  mov	x17, x19
0xfffffff008a2a88c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a2a890: 301ac1da  autda	x16, x17
0xfffffff008a2a894: f10310aa  mov	x17, x16
0xfffffff008a2a898: f147c1da  xpacd	x17
0xfffffff008a2a89c: 1f0211eb  cmp	x16, x17
0xfffffff008a2a8a0: 40000054  b.eq	#0xfffffff008a2a8a8
0xfffffff008a2a8a4: 408e38d4  brk	#0xc472
0xfffffff008a2a8a8: 08c21191  add	x8, x16, #0x470
0xfffffff008a2a8ac: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a2a8b0: e00313aa  mov	x0, x19
0xfffffff008a2a8b4: e10316aa  mov	x1, x22
0xfffffff008a2a8b8: f10308aa  mov	x17, x8
0xfffffff008a2a8bc: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a2a8c0: 31093fd7  blraa	x9, x17
0xfffffff008a2a8c4: e0db01a9  stp	x0, x22, [sp, #0x18]
0xfffffff008a2a8c8: 55598052  mov	w21, #0x2ca
0xfffffff008a2a8cc: 9743fff0  adrp	x23, #0xfffffff00729d000
0xfffffff008a2a8d0: f7061b91  add	x23, x23, #0x6c1
0xfffffff008a2a8d4: f7d700a9  stp	x23, x21, [sp, #8]
0xfffffff008a2a8d8: f40300f9  str	x20, [sp]
0xfffffff008a2a8dc: 6043fff0  adrp	x0, #0xfffffff007299000
0xfffffff008a2a8e0: 00003991  add	x0, x0, #0xe40
0xfffffff008a2a8e4: 0181ffb0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a2a8e8: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a2a8ec: a343ffd0  adrp	x3, #0xfffffff0072a0000
0xfffffff008a2a8f0: 633c3291  add	x3, x3, #0xc8f
0xfffffff008a2a8f4: 02028052  mov	w2, #0x10
0xfffffff008a2a8f8: 0e22e497  bl	#0xfffffff008333130
0xfffffff008a2a8fc: e00313aa  mov	x0, x19
0xfffffff008a2a900: ceb8f097  bl	#0xfffffff008658c38
0xfffffff008a2a904: f40300aa  mov	x20, x0
0xfffffff008a2a908: 700240f9  ldr	x16, [x19]
0xfffffff008a2a90c: f10313aa  mov	x17, x19
0xfffffff008a2a910: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a2a914: 301ac1da  autda	x16, x17
0xfffffff008a2a918: f10310aa  mov	x17, x16
0xfffffff008a2a91c: f147c1da  xpacd	x17
0xfffffff008a2a920: 1f0211eb  cmp	x16, x17
0xfffffff008a2a924: 40000054  b.eq	#0xfffffff008a2a92c
0xfffffff008a2a928: 408e38d4  brk	#0xc472
0xfffffff008a2a92c: 08c21191  add	x8, x16, #0x470
0xfffffff008a2a930: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a2a934: e00313aa  mov	x0, x19
0xfffffff008a2a938: e10316aa  mov	x1, x22
0xfffffff008a2a93c: f10308aa  mov	x17, x8
0xfffffff008a2a940: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a2a944: 31093fd7  blraa	x9, x17
0xfffffff008a2a948: e0db01a9  stp	x0, x22, [sp, #0x18]
0xfffffff008a2a94c: f7d700a9  stp	x23, x21, [sp, #8]
0xfffffff008a2a950: f40300f9  str	x20, [sp]
0xfffffff008a2a954: 8043fff0  adrp	x0, #0xfffffff00729d000
0xfffffff008a2a958: 00881b91  add	x0, x0, #0x6e2
