; Candidate 7260
; ADRP+ADD at VM 0xfffffff0088639f0 (fileoff 0x185f9f0): page=0x1fe986000 add_imm=0xe80

0xfffffff008863970: 602a40f9  ldr	x0, [x19, #0x50]
0xfffffff008863974: 614240b9  ldr	w1, [x19, #0x40]
0xfffffff008863978: 08008092  mov	x8, #-1
0xfffffff00886397c: e8a300a9  stp	x8, x8, [sp, #8]
0xfffffff008863980: ff0300f9  str	xzr, [sp]
0xfffffff008863984: 62018052  mov	w2, #0xb
0xfffffff008863988: 23008052  mov	w3, #1
0xfffffff00886398c: 040080d2  mov	x4, #0
0xfffffff008863990: 050080d2  mov	x5, #0
0xfffffff008863994: 06008052  mov	w6, #0
0xfffffff008863998: 07008052  mov	w7, #0
0xfffffff00886399c: c8a0ff97  bl	#0xfffffff00884bcbc
0xfffffff0088639a0: 20000014  b	#0xfffffff008863a20
0xfffffff0088639a4: 02420194  bl	#0xfffffff0088b41ac
0xfffffff0088639a8: f50300aa  mov	x21, x0
0xfffffff0088639ac: 80008052  mov	w0, #4
0xfffffff0088639b0: a85f0094  bl	#0xfffffff00887b850
0xfffffff0088639b4: e80314aa  mov	x8, x20
0xfffffff0088639b8: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff0088639bc: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088639c0: 684dffb0  adrp	x8, #0xfffffff007210000
0xfffffff0088639c4: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088639c8: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088639cc: 885b8052  mov	w8, #0x2dc
0xfffffff0088639d0: 094effb0  adrp	x9, #0xfffffff007224000
0xfffffff0088639d4: 29b92391  add	x9, x9, #0x8ee
0xfffffff0088639d8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088639dc: 284eff90  adrp	x8, #0xfffffff007227000
0xfffffff0088639e0: 08811191  add	x8, x8, #0x460
0xfffffff0088639e4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088639e8: 680c8052  mov	w8, #0x63
0xfffffff0088639ec: f52300a9  stp	x21, x8, [sp]
0xfffffff0088639f0: 204cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088639f4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088639f8: 218dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088639fc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008863a00: 834ffff0  adrp	x3, #0xfffffff007256000
0xfffffff008863a04: 63ec1991  add	x3, x3, #0x67b
0xfffffff008863a08: 02008052  mov	w2, #0
0xfffffff008863a0c: c93deb97  bl	#0xfffffff008333130
0xfffffff008863a10: e00313aa  mov	x0, x19
0xfffffff008863a14: 5efeff97  bl	#0xfffffff00886338c
0xfffffff008863a18: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff008863a1c: 38690094  bl	#0xfffffff00887defc
0xfffffff008863a20: 600c8052  mov	w0, #0x63
0xfffffff008863a24: c1008052  mov	w1, #6
0xfffffff008863a28: 6a5f0094  bl	#0xfffffff00887b7d0
0xfffffff008863a2c: e0050034  cbz	w0, #0xfffffff008863ae8
0xfffffff008863a30: 600c8052  mov	w0, #0x63
0xfffffff008863a34: 795f0094  bl	#0xfffffff00887b818
0xfffffff008863a38: f60300aa  mov	x22, x0
0xfffffff008863a3c: dc410194  bl	#0xfffffff0088b41ac
0xfffffff008863a40: f50300aa  mov	x21, x0
0xfffffff008863a44: c0008052  mov	w0, #6
0xfffffff008863a48: 825f0094  bl	#0xfffffff00887b850
0xfffffff008863a4c: 16020034  cbz	w22, #0xfffffff008863a8c
0xfffffff008863a50: e80314aa  mov	x8, x20
0xfffffff008863a54: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008863a58: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff008863a5c: 084effb0  adrp	x8, #0xfffffff007224000
0xfffffff008863a60: 08b92391  add	x8, x8, #0x8ee
0xfffffff008863a64: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008863a68: 284eff90  adrp	x8, #0xfffffff007227000
0xfffffff008863a6c: 08811191  add	x8, x8, #0x460
