; Candidate 16791
; ADRP+ADD at VM 0xfffffff009f62acc (fileoff 0x2f5eacc): page=0x472000 add_imm=0xd70

0xfffffff009f62a4c: 098e42f8  ldr	x9, [x16, #0x28]!
0xfffffff009f62a50: ea0310aa  mov	x10, x16
0xfffffff009f62a54: e00308aa  mov	x0, x8
0xfffffff009f62a58: f1030aaa  mov	x17, x10
0xfffffff009f62a5c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009f62a60: 31093fd7  blraa	x9, x17
0xfffffff009f62a64: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff009f62a68: 1f0000f9  str	xzr, [x0]
0xfffffff009f62a6c: 011c8052  mov	w1, #0xe0
0xfffffff009f62a70: 02008052  mov	w2, #0
0xfffffff009f62a74: 031c8052  mov	w3, #0xe0
0xfffffff009f62a78: 62a57797  bl	#0xfffffff007d4c000
0xfffffff009f62a7c: 614640f9  ldr	x1, [x19, #0x88]
0xfffffff009f62a80: 7f4600f9  str	xzr, [x19, #0x88]
0xfffffff009f62a84: 00effeb0  adrp	x0, #0xfffffff007d43000
0xfffffff009f62a88: 00601791  add	x0, x0, #0x5d8
0xfffffff009f62a8c: 20cf8f97  bl	#0xfffffff00835670c
0xfffffff009f62a90: 7f4600f9  str	xzr, [x19, #0x88]
0xfffffff009f62a94: c1eefed0  adrp	x1, #0xfffffff007d3c000
0xfffffff009f62a98: 217042f9  ldr	x1, [x1, #0x4e0]
0xfffffff009f62a9c: 300c48f8  ldr	x16, [x1, #0x80]!
0xfffffff009f62aa0: e00313aa  mov	x0, x19
0xfffffff009f62aa4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009f62aa8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009f62aac: ff2303d5  autibsp	
0xfffffff009f62ab0: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff009f62ab4: 5100f0b6  tbz	x17, #0x3e, #0xfffffff009f62abc
0xfffffff009f62ab8: 208e38d4  brk	#0xc471
0xfffffff009f62abc: f10301aa  mov	x17, x1
0xfffffff009f62ac0: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff009f62ac4: 110a1fd7  braa	x16, x17
0xfffffff009f62ac8: 5f2403d5  bti	c
0xfffffff009f62acc: 802300d0  adrp	x0, #0xfffffff00a3d4000
0xfffffff009f62ad0: 00c03591  add	x0, x0, #0xd70
0xfffffff009f62ad4: c0035fd6  ret	
0xfffffff009f62ad8: 5f2403d5  bti	c
0xfffffff009f62adc: 200020d4  brk	#1
0xfffffff009f62ae0: 5f2403d5  bti	c
0xfffffff009f62ae4: 200020d4  brk	#1
0xfffffff009f62ae8: 5f2403d5  bti	c
0xfffffff009f62aec: 000080d2  mov	x0, #0
0xfffffff009f62af0: c0035fd6  ret	
0xfffffff009f62af4: 5f2403d5  bti	c
0xfffffff009f62af8: ff068e17  b	#0xfffffff0082e46f4
0xfffffff009f62afc: 5f2403d5  bti	c
0xfffffff009f62b00: fd068e17  b	#0xfffffff0082e46f4
0xfffffff009f62b04: 7f2303d5  pacibsp	
0xfffffff009f62b08: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009f62b0c: fd030091  mov	x29, sp
0xfffffff009f62b10: 802300d0  adrp	x0, #0xfffffff00a3d4000
0xfffffff009f62b14: 00c03591  add	x0, x0, #0xd70
0xfffffff009f62b18: 21c8fed0  adrp	x1, #0xfffffff007868000
0xfffffff009f62b1c: 21603191  add	x1, x1, #0xc58
0xfffffff009f62b20: c2eefed0  adrp	x2, #0xfffffff007d3c000
0xfffffff009f62b24: 425442f9  ldr	x2, [x2, #0x4a8]
0xfffffff009f62b28: 03128052  mov	w3, #0x90
0xfffffff009f62b2c: 03048e97  bl	#0xfffffff0082e3b38
0xfffffff009f62b30: d0eefed0  adrp	x16, #0xfffffff007d3c000
0xfffffff009f62b34: 10423091  add	x16, x16, #0xc10
0xfffffff009f62b38: 10420091  add	x16, x16, #0x10
0xfffffff009f62b3c: f10300aa  mov	x17, x0
0xfffffff009f62b40: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009f62b44: 300ac1da  pacda	x16, x17
0xfffffff009f62b48: 100000f9  str	x16, [x0]
