; Candidate 2067
; ADRP+ADD at VM 0xfffffff0085520d8 (fileoff 0x154e0d8): page=0x1feb8f000 add_imm=0xe53

0xfffffff008552058: 374cf697  bl	#0xfffffff0082e5134
0xfffffff00855205c: e00313aa  mov	x0, x19
0xfffffff008552060: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008552064: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008552068: ff0f5fd6  retab	
0xfffffff00855206c: 5f2403d5  bti	c
0xfffffff008552070: a149f617  b	#0xfffffff0082e46f4
0xfffffff008552074: 5f2403d5  bti	c
0xfffffff008552078: 9f49f617  b	#0xfffffff0082e46f4
0xfffffff00855207c: 7f2303d5  pacibsp	
0xfffffff008552080: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008552084: fd030091  mov	x29, sp
0xfffffff008552088: 605cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855208c: 00603791  add	x0, x0, #0xdd8
0xfffffff008552090: 6a5cf797  bl	#0xfffffff008329238
0xfffffff008552094: 28ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff008552098: 00a902f9  str	x0, [x8, #0x550]
0xfffffff00855209c: 605cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085520a0: 00083891  add	x0, x0, #0xe02
0xfffffff0085520a4: 655cf797  bl	#0xfffffff008329238
0xfffffff0085520a8: 28ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085520ac: 00ad02f9  str	x0, [x8, #0x558]
0xfffffff0085520b0: 605cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085520b4: 00883891  add	x0, x0, #0xe22
0xfffffff0085520b8: 605cf797  bl	#0xfffffff008329238
0xfffffff0085520bc: 28ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085520c0: 00b102f9  str	x0, [x8, #0x560]
0xfffffff0085520c4: 605cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085520c8: 00e43891  add	x0, x0, #0xe39
0xfffffff0085520cc: 5b5cf797  bl	#0xfffffff008329238
0xfffffff0085520d0: 28ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085520d4: 00b502f9  str	x0, [x8, #0x568]
0xfffffff0085520d8: 605cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085520dc: 004c3991  add	x0, x0, #0xe53
0xfffffff0085520e0: 565cf797  bl	#0xfffffff008329238
0xfffffff0085520e4: 28ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085520e8: 00b902f9  str	x0, [x8, #0x570]
0xfffffff0085520ec: 605cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085520f0: 00bc3991  add	x0, x0, #0xe6f
0xfffffff0085520f4: 515cf797  bl	#0xfffffff008329238
0xfffffff0085520f8: 28ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085520fc: 00bd02f9  str	x0, [x8, #0x578]
0xfffffff008552100: 20ec0090  adrp	x0, #0xfffffff00a2d6000
0xfffffff008552104: 00001691  add	x0, x0, #0x580
0xfffffff008552108: 615cffd0  adrp	x1, #0xfffffff0070e0000
0xfffffff00855210c: 21102591  add	x1, x1, #0x944
0xfffffff008552110: 02a2fff0  adrp	x2, #0xfffffff007995000
0xfffffff008552114: 42e444f9  ldr	x2, [x2, #0x9c8]
0xfffffff008552118: 03398052  mov	w3, #0x1c8
0xfffffff00855211c: 8746f697  bl	#0xfffffff0082e3b38
0xfffffff008552120: 70a2ffb0  adrp	x16, #0xfffffff00799f000
0xfffffff008552124: 10c22591  add	x16, x16, #0x970
0xfffffff008552128: 10420091  add	x16, x16, #0x10
0xfffffff00855212c: f10300aa  mov	x17, x0
0xfffffff008552130: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008552134: 300ac1da  pacda	x16, x17
0xfffffff008552138: 100000f9  str	x16, [x0]
0xfffffff00855213c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008552140: ff0f5fd6  retab	
0xfffffff008552144: 5f2403d5  bti	c
0xfffffff008552148: 20ec0090  adrp	x0, #0xfffffff00a2d6000
0xfffffff00855214c: 00001691  add	x0, x0, #0x580
0xfffffff008552150: 6949f617  b	#0xfffffff0082e46f4
0xfffffff008552154: 7f2303d5  pacibsp	
