; Candidate 16790
; ADRP+ADD at VM 0xfffffff009f5fcb0 (fileoff 0x2f5bcb0): page=0x475000 add_imm=0xeb8

0xfffffff009f5fc30: a00600f9  str	x0, [x21, #8]
0xfffffff009f5fc34: 480340f9  ldr	x8, [x26]
0xfffffff009f5fc38: 080700f9  str	x8, [x24, #8]
0xfffffff009f5fc3c: 1ceffe90  adrp	x28, #0xfffffff007d3f000
0xfffffff009f5fc40: 9c631791  add	x28, x28, #0x5d8
0xfffffff009f5fc44: b82300b0  adrp	x24, #0xfffffff00a3d4000
0xfffffff009f5fc48: 18233b91  add	x24, x24, #0xec8
0xfffffff009f5fc4c: b52300b0  adrp	x21, #0xfffffff00a3d4000
0xfffffff009f5fc50: b5423d91  add	x21, x21, #0xf50
0xfffffff009f5fc54: 806b7bf8  ldr	x0, [x28, x27]
0xfffffff009f5fc58: e21c8f97  bl	#0xfffffff008326fe0
0xfffffff009f5fc5c: 006b3bf8  str	x0, [x24, x27]
0xfffffff009f5fc60: 480340f9  ldr	x8, [x26]
0xfffffff009f5fc64: a86a3bf8  str	x8, [x21, x27]
0xfffffff009f5fc68: 7b230091  add	x27, x27, #8
0xfffffff009f5fc6c: 7f2302f1  cmp	x27, #0x88
0xfffffff009f5fc70: 21ffff54  b.ne	#0xfffffff009f5fc54
0xfffffff009f5fc74: 1b0080d2  mov	x27, #0
0xfffffff009f5fc78: 1ceffe90  adrp	x28, #0xfffffff007d3f000
0xfffffff009f5fc7c: 9c831991  add	x28, x28, #0x660
0xfffffff009f5fc80: b82300b0  adrp	x24, #0xfffffff00a3d4000
0xfffffff009f5fc84: 18633f91  add	x24, x24, #0xfd8
0xfffffff009f5fc88: b52300d0  adrp	x21, #0xfffffff00a3d5000
0xfffffff009f5fc8c: b5e20091  add	x21, x21, #0x38
0xfffffff009f5fc90: 806b7bf8  ldr	x0, [x28, x27]
0xfffffff009f5fc94: d31c8f97  bl	#0xfffffff008326fe0
0xfffffff009f5fc98: 006b3bf8  str	x0, [x24, x27]
0xfffffff009f5fc9c: 480340f9  ldr	x8, [x26]
0xfffffff009f5fca0: a86a3bf8  str	x8, [x21, x27]
0xfffffff009f5fca4: 7b230091  add	x27, x27, #8
0xfffffff009f5fca8: 7f8301f1  cmp	x27, #0x60
0xfffffff009f5fcac: 21ffff54  b.ne	#0xfffffff009f5fc90
0xfffffff009f5fcb0: a02300b0  adrp	x0, #0xfffffff00a3d4000
0xfffffff009f5fcb4: 00e03a91  add	x0, x0, #0xeb8
0xfffffff009f5fcb8: a12300b0  adrp	x1, #0xfffffff00a3d4000
0xfffffff009f5fcbc: 21a03a91  add	x1, x1, #0xea8
0xfffffff009f5fcc0: 42008052  mov	w2, #2
0xfffffff009f5fcc4: 43008052  mov	w3, #2
0xfffffff009f5fcc8: 7e458e97  bl	#0xfffffff0082f12c0
0xfffffff009f5fccc: b82300d0  adrp	x24, #0xfffffff00a3d5000
0xfffffff009f5fcd0: 004f00f9  str	x0, [x24, #0x98]
0xfffffff009f5fcd4: a02300b0  adrp	x0, #0xfffffff00a3d4000
0xfffffff009f5fcd8: 00403d91  add	x0, x0, #0xf50
0xfffffff009f5fcdc: a12300b0  adrp	x1, #0xfffffff00a3d4000
0xfffffff009f5fce0: 21203b91  add	x1, x1, #0xec8
0xfffffff009f5fce4: 22028052  mov	w2, #0x11
0xfffffff009f5fce8: 23028052  mov	w3, #0x11
0xfffffff009f5fcec: 75458e97  bl	#0xfffffff0082f12c0
0xfffffff009f5fcf0: b52300d0  adrp	x21, #0xfffffff00a3d5000
0xfffffff009f5fcf4: a05200f9  str	x0, [x21, #0xa0]
0xfffffff009f5fcf8: a02300d0  adrp	x0, #0xfffffff00a3d5000
0xfffffff009f5fcfc: 00e00091  add	x0, x0, #0x38
0xfffffff009f5fd00: a12300b0  adrp	x1, #0xfffffff00a3d4000
0xfffffff009f5fd04: 21603f91  add	x1, x1, #0xfd8
0xfffffff009f5fd08: 82018052  mov	w2, #0xc
0xfffffff009f5fd0c: 83018052  mov	w3, #0xc
0xfffffff009f5fd10: 6c458e97  bl	#0xfffffff0082f12c0
0xfffffff009f5fd14: a82300d0  adrp	x8, #0xfffffff00a3d5000
0xfffffff009f5fd18: 005500f9  str	x0, [x8, #0xa8]
0xfffffff009f5fd1c: 084f40f9  ldr	x8, [x24, #0x98]
0xfffffff009f5fd20: 08cb00b4  cbz	x8, #0xfffffff009f61680
0xfffffff009f5fd24: a85240f9  ldr	x8, [x21, #0xa0]
0xfffffff009f5fd28: c8ca00b4  cbz	x8, #0xfffffff009f61680
0xfffffff009f5fd2c: a0ca00b4  cbz	x0, #0xfffffff009f61680
