; Candidate 14314
; ADRP+ADD at VM 0xfffffff009763ff8 (fileoff 0x275fff8): page=0xc28000 add_imm=0xea8

0xfffffff009763f78: 08620891  add	x8, x16, #0x218
0xfffffff009763f7c: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009763f80: e00314aa  mov	x0, x20
0xfffffff009763f84: 010080d2  mov	x1, #0
0xfffffff009763f88: f10308aa  mov	x17, x8
0xfffffff009763f8c: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009763f90: 31093fd7  blraa	x9, x17
0xfffffff009763f94: 1f0000f1  cmp	x0, #0
0xfffffff009763f98: 6803809a  csel	x8, x27, x0, eq
0xfffffff009763f9c: e8d703a9  stp	x8, x21, [sp, #0x38]
0xfffffff009763fa0: f9f302a9  stp	x25, x28, [sp, #0x28]
0xfffffff009763fa4: fae301a9  stp	x26, x24, [sp, #0x18]
0xfffffff009763fa8: a8f1feb0  adrp	x8, #0xfffffff007598000
0xfffffff009763fac: 08c93591  add	x8, x8, #0xd72
0xfffffff009763fb0: e8df00a9  stp	x8, x23, [sp, #8]
0xfffffff009763fb4: f60300f9  str	x22, [sp]
0xfffffff009763fb8: 40f1fe90  adrp	x0, #0xfffffff00758b000
0xfffffff009763fbc: 00802191  add	x0, x0, #0x860
0xfffffff009763fc0: 8125fff0  adrp	x1, #0xfffffff007c16000
0xfffffff009763fc4: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff009763fc8: 23f2feb0  adrp	x3, #0xfffffff0075a8000
0xfffffff009763fcc: 63440691  add	x3, x3, #0x191
0xfffffff009763fd0: 42008052  mov	w2, #2
0xfffffff009763fd4: 573caf97  bl	#0xfffffff008333130
0xfffffff009763fd8: 88009052  mov	w8, #0x8004
0xfffffff009763fdc: e87fbc72  movk	w8, #0xe3ff, lsl #16
0xfffffff009763fe0: bf02086b  cmp	w21, w8
0xfffffff009763fe4: 60180054  b.eq	#0xfffffff0097642f0
0xfffffff009763fe8: 28009052  mov	w8, #0x8001
0xfffffff009763fec: e87fbc72  movk	w8, #0xe3ff, lsl #16
0xfffffff009763ff0: bf02086b  cmp	w21, w8
0xfffffff009763ff4: e12f0054  b.ne	#0xfffffff0097645f0
0xfffffff009763ff8: 40610090  adrp	x0, #0xfffffff00a38b000
0xfffffff009763ffc: 00a03a91  add	x0, x0, #0xea8
0xfffffff009764000: 5602ae97  bl	#0xfffffff0082e4958
0xfffffff009764004: e00313aa  mov	x0, x19
0xfffffff009764008: 9512fd97  bl	#0xfffffff0096a8a5c
0xfffffff00976400c: c00100b5  cbnz	x0, #0xfffffff009764044
0xfffffff009764010: 700240f9  ldr	x16, [x19]
0xfffffff009764014: f10313aa  mov	x17, x19
0xfffffff009764018: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976401c: 301ac1da  autda	x16, x17
0xfffffff009764020: 113d80d2  mov	x17, #0x1e8
0xfffffff009764024: 1002118b  add	x16, x16, x17
0xfffffff009764028: 080240f9  ldr	x8, [x16]
0xfffffff00976402c: e90310aa  mov	x9, x16
0xfffffff009764030: e00313aa  mov	x0, x19
0xfffffff009764034: 010080d2  mov	x1, #0
0xfffffff009764038: f10309aa  mov	x17, x9
0xfffffff00976403c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009764040: 11093fd7  blraa	x8, x17
0xfffffff009764044: e00313aa  mov	x0, x19
0xfffffff009764048: 8512fd97  bl	#0xfffffff0096a8a5c
0xfffffff00976404c: e00313aa  mov	x0, x19
0xfffffff009764050: 8312fd97  bl	#0xfffffff0096a8a5c
0xfffffff009764054: c00100b5  cbnz	x0, #0xfffffff00976408c
0xfffffff009764058: 700240f9  ldr	x16, [x19]
0xfffffff00976405c: f10313aa  mov	x17, x19
0xfffffff009764060: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009764064: 301ac1da  autda	x16, x17
0xfffffff009764068: 114380d2  mov	x17, #0x218
0xfffffff00976406c: 1002118b  add	x16, x16, x17
0xfffffff009764070: 080240f9  ldr	x8, [x16]
0xfffffff009764074: e90310aa  mov	x9, x16
