; Candidate 8254
; ADRP+ADD at VM 0xfffffff00889f250 (fileoff 0x189b250): page=0x1fe94a000 add_imm=0xe80

0xfffffff00889f1d0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889f1d4: a80f8052  mov	w8, #0x7d
0xfffffff00889f1d8: f52300a9  stp	x21, x8, [sp]
0xfffffff00889f1dc: 404affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889f1e0: 00003a91  add	x0, x0, #0xe80
0xfffffff00889f1e4: 418bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889f1e8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889f1ec: 034effb0  adrp	x3, #0xfffffff007260000
0xfffffff00889f1f0: 63803c91  add	x3, x3, #0xf20
0xfffffff00889f1f4: 02008052  mov	w2, #0
0xfffffff00889f1f8: ce4fea97  bl	#0xfffffff008333130
0xfffffff00889f1fc: 1b000014  b	#0xfffffff00889f268
0xfffffff00889f200: 9816198b  add	x24, x20, x25, lsl #5
0xfffffff00889f204: ea530094  bl	#0xfffffff0088b41ac
0xfffffff00889f208: f60300aa  mov	x22, x0
0xfffffff00889f20c: 80008052  mov	w0, #4
0xfffffff00889f210: 9071ff97  bl	#0xfffffff00887b850
0xfffffff00889f214: 480340f9  ldr	x8, [x26]
0xfffffff00889f218: 094b40b9  ldr	w9, [x24, #0x48]
0xfffffff00889f21c: 6a0240b9  ldr	w10, [x19]
0xfffffff00889f220: e82705a9  stp	x8, x9, [sp, #0x50]
0xfffffff00889f224: ea5f04a9  stp	x10, x23, [sp, #0x40]
0xfffffff00889f228: 884cffb0  adrp	x8, #0xfffffff007230000
0xfffffff00889f22c: 08b53f91  add	x8, x8, #0xfed
0xfffffff00889f230: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00889f234: 886c8052  mov	w8, #0x364
0xfffffff00889f238: f52302a9  stp	x21, x8, [sp, #0x20]
0xfffffff00889f23c: e07301a9  stp	x0, x28, [sp, #0x10]
0xfffffff00889f240: a80f8052  mov	w8, #0x7d
0xfffffff00889f244: 034effb0  adrp	x3, #0xfffffff007260000
0xfffffff00889f248: 636c3d91  add	x3, x3, #0xf5b
0xfffffff00889f24c: f62300a9  stp	x22, x8, [sp]
0xfffffff00889f250: 404affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889f254: 00003a91  add	x0, x0, #0xe80
0xfffffff00889f258: 418bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889f25c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889f260: 02008052  mov	w2, #0
0xfffffff00889f264: b34fea97  bl	#0xfffffff008333130
0xfffffff00889f268: 157d8012  mov	w21, #-0x3e9
0xfffffff00889f26c: a00f8052  mov	w0, #0x7d
0xfffffff00889f270: e1008052  mov	w1, #7
0xfffffff00889f274: 5771ff97  bl	#0xfffffff00887b7d0
0xfffffff00889f278: 00060034  cbz	w0, #0xfffffff00889f338
0xfffffff00889f27c: a00f8052  mov	w0, #0x7d
0xfffffff00889f280: 6671ff97  bl	#0xfffffff00887b818
0xfffffff00889f284: f70300aa  mov	x23, x0
0xfffffff00889f288: c9530094  bl	#0xfffffff0088b41ac
0xfffffff00889f28c: f60300aa  mov	x22, x0
0xfffffff00889f290: e0008052  mov	w0, #7
0xfffffff00889f294: 6f71ff97  bl	#0xfffffff00887b850
0xfffffff00889f298: 17020034  cbz	w23, #0xfffffff00889f2d8
0xfffffff00889f29c: 680240b9  ldr	w8, [x19]
0xfffffff00889f2a0: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00889f2a4: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00889f2a8: 884cffb0  adrp	x8, #0xfffffff007230000
0xfffffff00889f2ac: 09213e91  add	x9, x8, #0xf88
0xfffffff00889f2b0: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889f2b4: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889f2b8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889f2bc: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00889f2c0: a80f8052  mov	w8, #0x7d
0xfffffff00889f2c4: 804bfff0  adrp	x0, #0xfffffff007212000
0xfffffff00889f2c8: 00701b91  add	x0, x0, #0x6dc
0xfffffff00889f2cc: f62300a9  stp	x22, x8, [sp]
