; Candidate 4230
; ADRP+ADD at VM 0xfffffff00879792c (fileoff 0x179392c): page=0x1fe99a000 add_imm=0xd90

0xfffffff0087978ac: 040080d2  mov	x4, #0
0xfffffff0087978b0: 050080d2  mov	x5, #0
0xfffffff0087978b4: 9499e797  bl	#0xfffffff00817df04
0xfffffff0087978b8: d9020034  cbz	w25, #0xfffffff008797910
0xfffffff0087978bc: 884241b9  ldr	w8, [x20, #0x140]
0xfffffff0087978c0: f95b01a9  stp	x25, x22, [sp, #0x10]
0xfffffff0087978c4: 294eff90  adrp	x9, #0xfffffff00715b000
0xfffffff0087978c8: 296d1891  add	x9, x9, #0x61b
0xfffffff0087978cc: e92300a9  stp	x9, x8, [sp]
0xfffffff0087978d0: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087978d4: 00403691  add	x0, x0, #0xd90
0xfffffff0087978d8: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087978dc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087978e0: 834dffb0  adrp	x3, #0xfffffff007148000
0xfffffff0087978e4: 63642c91  add	x3, x3, #0xb19
0xfffffff0087978e8: 02008052  mov	w2, #0
0xfffffff0087978ec: 116eee97  bl	#0xfffffff008333130
0xfffffff0087978f0: e00319aa  mov	x0, x25
0xfffffff0087978f4: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0087978f8: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0087978fc: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008797900: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008797904: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff008797908: ffc30191  add	sp, sp, #0x70
0xfffffff00879790c: ff0f5fd6  retab	
0xfffffff008797910: 28008052  mov	w8, #1
0xfffffff008797914: 08f70139  strb	w8, [x24, #0x7d]
0xfffffff008797918: 080b40f9  ldr	x8, [x24, #0x10]
0xfffffff00879791c: 880100b5  cbnz	x8, #0xfffffff00879794c
0xfffffff008797920: 284eff90  adrp	x8, #0xfffffff00715b000
0xfffffff008797924: 086d1891  add	x8, x8, #0x61b
0xfffffff008797928: e87f00a9  stp	x8, xzr, [sp]
0xfffffff00879792c: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff008797930: 00403691  add	x0, x0, #0xd90
0xfffffff008797934: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008797938: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879793c: 834dffb0  adrp	x3, #0xfffffff007148000
0xfffffff008797940: 63d82d91  add	x3, x3, #0xb76
0xfffffff008797944: 02008052  mov	w2, #0
0xfffffff008797948: fa6dee97  bl	#0xfffffff008333130
0xfffffff00879794c: 80be41f9  ldr	x0, [x20, #0x378]
0xfffffff008797950: 020b40f9  ldr	x2, [x24, #0x10]
0xfffffff008797954: ff060031  cmn	w23, #1
0xfffffff008797958: a0010054  b.eq	#0xfffffff00879798c
0xfffffff00879795c: 100040f9  ldr	x16, [x0]
0xfffffff008797960: f10300aa  mov	x17, x0
0xfffffff008797964: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008797968: 301ac1da  autda	x16, x17
0xfffffff00879796c: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff008797970: e90310aa  mov	x9, x16
0xfffffff008797974: e10317aa  mov	x1, x23
0xfffffff008797978: e30316aa  mov	x3, x22
0xfffffff00879797c: f10309aa  mov	x17, x9
0xfffffff008797980: b1f0ecf2  movk	x17, #0x6785, lsl #48
0xfffffff008797984: 11093fd7  blraa	x8, x17
0xfffffff008797988: 6dffff17  b	#0xfffffff00879773c
0xfffffff00879798c: e10302aa  mov	x1, x2
0xfffffff008797990: e20316aa  mov	x2, x22
0xfffffff008797994: d312ff97  bl	#0xfffffff00875c4e0
0xfffffff008797998: 69ffff17  b	#0xfffffff00879773c
0xfffffff00879799c: c04dff90  adrp	x0, #0xfffffff00714f000
0xfffffff0087979a0: 00981191  add	x0, x0, #0x466
0xfffffff0087979a4: c6010094  bl	#0xfffffff0087980bc
0xfffffff0087979a8: 004effb0  adrp	x0, #0xfffffff007158000
