; Candidate 7168
; ADRP+ADD at VM 0xfffffff00885c8c8 (fileoff 0x18588c8): page=0x1fe98d000 add_imm=0xe80

0xfffffff00885c848: e27b0094  bl	#0xfffffff00887b7d0
0xfffffff00885c84c: e0040034  cbz	w0, #0xfffffff00885c8e8
0xfffffff00885c850: 800c8052  mov	w0, #0x64
0xfffffff00885c854: f17b0094  bl	#0xfffffff00887b818
0xfffffff00885c858: f40300aa  mov	x20, x0
0xfffffff00885c85c: 545e0194  bl	#0xfffffff0088b41ac
0xfffffff00885c860: f30300aa  mov	x19, x0
0xfffffff00885c864: a0008052  mov	w0, #5
0xfffffff00885c868: fa7b0094  bl	#0xfffffff00887b850
0xfffffff00885c86c: 94010034  cbz	w20, #0xfffffff00885c89c
0xfffffff00885c870: c9108052  mov	w9, #0x86
0xfffffff00885c874: 484efff0  adrp	x8, #0xfffffff007227000
0xfffffff00885c878: 08a91591  add	x8, x8, #0x56a
0xfffffff00885c87c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885c880: 880c8052  mov	w8, #0x64
0xfffffff00885c884: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00885c888: f30300f9  str	x19, [sp]
0xfffffff00885c88c: 404efff0  adrp	x0, #0xfffffff007227000
0xfffffff00885c890: 00981791  add	x0, x0, #0x5e6
0xfffffff00885c894: f36ad597  bl	#0xfffffff007db7460
0xfffffff00885c898: 14000014  b	#0xfffffff00885c8e8
0xfffffff00885c89c: 445e0194  bl	#0xfffffff0088b41ac
0xfffffff00885c8a0: f30300aa  mov	x19, x0
0xfffffff00885c8a4: a0008052  mov	w0, #5
0xfffffff00885c8a8: ea7b0094  bl	#0xfffffff00887b850
0xfffffff00885c8ac: c9108052  mov	w9, #0x86
0xfffffff00885c8b0: 484efff0  adrp	x8, #0xfffffff007227000
0xfffffff00885c8b4: 08a91591  add	x8, x8, #0x56a
0xfffffff00885c8b8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885c8bc: 880c8052  mov	w8, #0x64
0xfffffff00885c8c0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00885c8c4: f30300f9  str	x19, [sp]
0xfffffff00885c8c8: 604cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885c8cc: 00003a91  add	x0, x0, #0xe80
0xfffffff00885c8d0: 618dff90  adrp	x1, #0xfffffff007a08000
0xfffffff00885c8d4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885c8d8: c34fffb0  adrp	x3, #0xfffffff007255000
0xfffffff00885c8dc: 63900591  add	x3, x3, #0x164
0xfffffff00885c8e0: 02008052  mov	w2, #0
0xfffffff00885c8e4: 135aeb97  bl	#0xfffffff008333130
0xfffffff00885c8e8: a07e8012  mov	w0, #-0x3f6
0xfffffff00885c8ec: 82ffff17  b	#0xfffffff00885c6f4
0xfffffff00885c8f0: 7f2303d5  pacibsp	
0xfffffff00885c8f4: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff00885c8f8: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff00885c8fc: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff00885c900: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00885c904: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00885c908: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00885c90c: fd430191  add	x29, sp, #0x50
0xfffffff00885c910: ff4309d1  sub	sp, sp, #0x250
0xfffffff00885c914: f30302aa  mov	x19, x2
0xfffffff00885c918: f40301aa  mov	x20, x1
0xfffffff00885c91c: f50300aa  mov	x21, x0
0xfffffff00885c920: ff2301f9  str	xzr, [sp, #0x240]
0xfffffff00885c924: e8030291  add	x8, sp, #0x80
0xfffffff00885c928: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00885c92c: 00010dad  stp	q0, q0, [x8, #0x1a0]
0xfffffff00885c930: 00010cad  stp	q0, q0, [x8, #0x180]
0xfffffff00885c934: 00010bad  stp	q0, q0, [x8, #0x160]
0xfffffff00885c938: 00010aad  stp	q0, q0, [x8, #0x140]
0xfffffff00885c93c: 000109ad  stp	q0, q0, [x8, #0x120]
0xfffffff00885c940: 000108ad  stp	q0, q0, [x8, #0x100]
0xfffffff00885c944: 000107ad  stp	q0, q0, [x8, #0xe0]
