; Candidate 8335
; ADRP+ADD at VM 0xfffffff0088a441c (fileoff 0x18a041c): page=0x1fe945000 add_imm=0xe80

0xfffffff0088a439c: 1a7d8012  mov	w26, #-0x3e9
0xfffffff0088a43a0: a6000014  b	#0xfffffff0088a4638
0xfffffff0088a43a4: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff0088a43a8: 3f050071  cmp	w9, #1
0xfffffff0088a43ac: 680a0054  b.hi	#0xfffffff0088a44f8
0xfffffff0088a43b0: c9060012  and	w9, w22, #3
0xfffffff0088a43b4: 290a0035  cbnz	w9, #0xfffffff0088a44f8
0xfffffff0088a43b8: 9f0215eb  cmp	x20, x21
0xfffffff0088a43bc: cd080054  b.le	#0xfffffff0088a44d4
0xfffffff0088a43c0: 4e000014  b	#0xfffffff0088a44f8
0xfffffff0088a43c4: 7a3f0094  bl	#0xfffffff0088b41ac
0xfffffff0088a43c8: fa0300aa  mov	x26, x0
0xfffffff0088a43cc: 00018052  mov	w0, #8
0xfffffff0088a43d0: 205dff97  bl	#0xfffffff00887b850
0xfffffff0088a43d4: 680240b9  ldr	w8, [x19]
0xfffffff0088a43d8: 891740b9  ldr	w9, [x28, #0x14]
0xfffffff0088a43dc: ea0316aa  mov	x10, x22
0xfffffff0088a43e0: ea2705a9  stp	x10, x9, [sp, #0x50]
0xfffffff0088a43e4: e90314aa  mov	x9, x20
0xfffffff0088a43e8: e95704a9  stp	x9, x21, [sp, #0x40]
0xfffffff0088a43ec: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088a43f0: 08448052  mov	w8, #0x220
0xfffffff0088a43f4: 694cffd0  adrp	x9, #0xfffffff007232000
0xfffffff0088a43f8: 29790591  add	x9, x9, #0x15e
0xfffffff0088a43fc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a4400: 684cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a4404: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a4408: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a440c: 680f8052  mov	w8, #0x7b
0xfffffff0088a4410: e34dffd0  adrp	x3, #0xfffffff007262000
0xfffffff0088a4414: 63980591  add	x3, x3, #0x166
0xfffffff0088a4418: fa2300a9  stp	x26, x8, [sp]
0xfffffff0088a441c: 204affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a4420: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a4424: 218bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a4428: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a442c: 02008052  mov	w2, #0
0xfffffff0088a4430: 403bea97  bl	#0xfffffff008333130
0xfffffff0088a4434: 140080d2  mov	x20, #0
0xfffffff0088a4438: 08008052  mov	w8, #0
0xfffffff0088a443c: 2f000014  b	#0xfffffff0088a44f8
0xfffffff0088a4440: 5b3f0094  bl	#0xfffffff0088b41ac
0xfffffff0088a4444: fa0300aa  mov	x26, x0
0xfffffff0088a4448: a0008052  mov	w0, #5
0xfffffff0088a444c: 015dff97  bl	#0xfffffff00887b850
0xfffffff0088a4450: 680240b9  ldr	w8, [x19]
0xfffffff0088a4454: 890340b9  ldr	w9, [x28]
0xfffffff0088a4458: 8a1740b9  ldr	w10, [x28, #0x14]
0xfffffff0088a445c: e92b04a9  stp	x9, x10, [sp, #0x40]
0xfffffff0088a4460: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088a4464: c8448052  mov	w8, #0x226
0xfffffff0088a4468: 694cffd0  adrp	x9, #0xfffffff007232000
0xfffffff0088a446c: 29790591  add	x9, x9, #0x15e
0xfffffff0088a4470: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a4474: 684cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a4478: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a447c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a4480: 680f8052  mov	w8, #0x7b
0xfffffff0088a4484: fa2300a9  stp	x26, x8, [sp]
0xfffffff0088a4488: 204affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a448c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a4490: 218bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a4494: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a4498: e34dffd0  adrp	x3, #0xfffffff007262000
