; Candidate 4799
; ADRP+ADD at VM 0xfffffff0087c6dbc (fileoff 0x17c2dbc): page=0x1fea47000 add_imm=0xe6f

0xfffffff0087c6d3c: fd430291  add	x29, sp, #0x90
0xfffffff0087c6d40: 610400b4  cbz	x1, #0xfffffff0087c6dcc
0xfffffff0087c6d44: f60303aa  mov	x22, x3
0xfffffff0087c6d48: f50302aa  mov	x21, x2
0xfffffff0087c6d4c: f30301aa  mov	x19, x1
0xfffffff0087c6d50: f40300aa  mov	x20, x0
0xfffffff0087c6d54: 086c4bb9  ldr	w8, [x0, #0xb6c]
0xfffffff0087c6d58: 09504039  ldrb	w9, [x0, #0x14]
0xfffffff0087c6d5c: a9000035  cbnz	w9, #0xfffffff0087c6d70
0xfffffff0087c6d60: 896a4bb9  ldr	w9, [x20, #0xb68]
0xfffffff0087c6d64: 29050051  sub	w9, w9, #1
0xfffffff0087c6d68: 3f090031  cmn	w9, #2
0xfffffff0087c6d6c: 220f0054  b.hs	#0xfffffff0087c6f50
0xfffffff0087c6d70: 881e088b  add	x8, x20, x8, lsl #7
0xfffffff0087c6d74: 19a10b91  add	x25, x8, #0x2e8
0xfffffff0087c6d78: a00f8052  mov	w0, #0x7d
0xfffffff0087c6d7c: e1008052  mov	w1, #7
0xfffffff0087c6d80: 94d20294  bl	#0xfffffff00887b7d0
0xfffffff0087c6d84: 60070034  cbz	w0, #0xfffffff0087c6e70
0xfffffff0087c6d88: a00f8052  mov	w0, #0x7d
0xfffffff0087c6d8c: a3d20294  bl	#0xfffffff00887b818
0xfffffff0087c6d90: f80300aa  mov	x24, x0
0xfffffff0087c6d94: 06b50394  bl	#0xfffffff0088b41ac
0xfffffff0087c6d98: f70300aa  mov	x23, x0
0xfffffff0087c6d9c: e0008052  mov	w0, #7
0xfffffff0087c6da0: acd20294  bl	#0xfffffff00887b850
0xfffffff0087c6da4: 58040034  cbz	w24, #0xfffffff0087c6e2c
0xfffffff0087c6da8: 881a40b9  ldr	w8, [x20, #0x18]
0xfffffff0087c6dac: f55b02a9  stp	x21, x22, [sp, #0x20]
0xfffffff0087c6db0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c6db4: a80f8052  mov	w8, #0x7d
0xfffffff0087c6db8: f72300a9  stp	x23, x8, [sp]
0xfffffff0087c6dbc: 2052fff0  adrp	x0, #0xfffffff00720d000
0xfffffff0087c6dc0: 00bc3991  add	x0, x0, #0xe6f
0xfffffff0087c6dc4: a7c1d797  bl	#0xfffffff007db7460
0xfffffff0087c6dc8: 2a000014  b	#0xfffffff0087c6e70
0xfffffff0087c6dcc: 60008052  mov	w0, #3
0xfffffff0087c6dd0: 81008052  mov	w1, #4
0xfffffff0087c6dd4: 7fd20294  bl	#0xfffffff00887b7d0
0xfffffff0087c6dd8: 40150034  cbz	w0, #0xfffffff0087c7080
0xfffffff0087c6ddc: 60008052  mov	w0, #3
0xfffffff0087c6de0: 8ed20294  bl	#0xfffffff00887b818
0xfffffff0087c6de4: f40300aa  mov	x20, x0
0xfffffff0087c6de8: f1b40394  bl	#0xfffffff0088b41ac
0xfffffff0087c6dec: f30300aa  mov	x19, x0
0xfffffff0087c6df0: 80008052  mov	w0, #4
0xfffffff0087c6df4: 97d20294  bl	#0xfffffff00887b850
0xfffffff0087c6df8: 740e0034  cbz	w20, #0xfffffff0087c6fc4
0xfffffff0087c6dfc: 2852fff0  adrp	x8, #0xfffffff00720d000
0xfffffff0087c6e00: 08713891  add	x8, x8, #0xe1c
0xfffffff0087c6e04: 29248052  mov	w9, #0x121
0xfffffff0087c6e08: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087c6e0c: 2852fff0  adrp	x8, #0xfffffff00720d000
0xfffffff0087c6e10: 08353891  add	x8, x8, #0xe0d
0xfffffff0087c6e14: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c6e18: 68008052  mov	w8, #3
0xfffffff0087c6e1c: f32300a9  stp	x19, x8, [sp]
0xfffffff0087c6e20: 2052fff0  adrp	x0, #0xfffffff00720d000
0xfffffff0087c6e24: 004c3791  add	x0, x0, #0xdd3
0xfffffff0087c6e28: 65000014  b	#0xfffffff0087c6fbc
0xfffffff0087c6e2c: e0b40394  bl	#0xfffffff0088b41ac
0xfffffff0087c6e30: f70300aa  mov	x23, x0
0xfffffff0087c6e34: e0008052  mov	w0, #7
0xfffffff0087c6e38: 86d20294  bl	#0xfffffff00887b850
