; Candidate 614
; ADRP+ADD at VM 0xfffffff007fc3cd8 (fileoff 0xfbfcd8): page=0x1ff9b9000 add_imm=0xd70

0xfffffff007fc3c58: 29017c92  and	x9, x9, #0x10
0xfffffff007fc3c5c: 0801098b  add	x8, x8, x9
0xfffffff007fc3c60: 09110091  add	x9, x8, #4
0xfffffff007fc3c64: 887a41b9  ldr	w8, [x20, #0x178]
0xfffffff007fc3c68: 3f0108eb  cmp	x9, x8
0xfffffff007fc3c6c: 690a0054  b.ls	#0xfffffff007fc3db8
0xfffffff007fc3c70: d60c8052  mov	w22, #0x66
0xfffffff007fc3c74: b9000014  b	#0xfffffff007fc3f58
0xfffffff007fc3c78: 1fff10a9  stp	xzr, xzr, [x24, #0x108]
0xfffffff007fc3c7c: a0a301d1  sub	x0, x29, #0x68
0xfffffff007fc3c80: 01008052  mov	w1, #0
0xfffffff007fc3c84: 02028052  mov	w2, #0x10
0xfffffff007fc3c88: ce23f697  bl	#0xfffffff007d4cbc0
0xfffffff007fc3c8c: a8120190  adrp	x8, #0xfffffff00a217000
0xfffffff007fc3c90: 081d44f9  ldr	x8, [x8, #0x838]
0xfffffff007fc3c94: e80e00b4  cbz	x8, #0xfffffff007fc3e70
0xfffffff007fc3c98: 01410191  add	x1, x8, #0x50
0xfffffff007fc3c9c: a0a301d1  sub	x0, x29, #0x68
0xfffffff007fc3ca0: 02028052  mov	w2, #0x10
0xfffffff007fc3ca4: 3b23f697  bl	#0xfffffff007d4c990
0xfffffff007fc3ca8: 08cafff0  adrp	x8, #0xfffffff007906000
0xfffffff007fc3cac: 08413e91  add	x8, x8, #0xf90
0xfffffff007fc3cb0: 000542ad  ldp	q0, q1, [x8, #0x40]
0xfffffff007fc3cb4: e00704ad  stp	q0, q1, [sp, #0x80]
0xfffffff007fc3cb8: 0019c03d  ldr	q0, [x8, #0x60]
0xfffffff007fc3cbc: e02b803d  str	q0, [sp, #0xa0]
0xfffffff007fc3cc0: 093940f9  ldr	x9, [x8, #0x70]
0xfffffff007fc3cc4: 093b00f9  str	x9, [x24, #0x70]
0xfffffff007fc3cc8: 000540ad  ldp	q0, q1, [x8]
0xfffffff007fc3ccc: e00702ad  stp	q0, q1, [sp, #0x40]
0xfffffff007fc3cd0: 000541ad  ldp	q0, q1, [x8, #0x20]
0xfffffff007fc3cd4: e00703ad  stp	q0, q1, [sp, #0x60]
0xfffffff007fc3cd8: c0cdffb0  adrp	x0, #0xfffffff00797c000
0xfffffff007fc3cdc: 00c03591  add	x0, x0, #0xd70
0xfffffff007fc3ce0: 81008052  mov	w1, #4
0xfffffff007fc3ce4: 7c8cf797  bl	#0xfffffff007da6ed4
0xfffffff007fc3ce8: e02100b4  cbz	x0, #0xfffffff007fc4124
0xfffffff007fc3cec: f60300aa  mov	x22, x0
0xfffffff007fc3cf0: 080040f9  ldr	x8, [x0]
0xfffffff007fc3cf4: 09017cb2  orr	x9, x8, #0x10
0xfffffff007fc3cf8: 090000f9  str	x9, [x0]
0xfffffff007fc3cfc: 09008152  mov	w9, #0x800
0xfffffff007fc3d00: 091400f9  str	x9, [x0, #0x28]
0xfffffff007fc3d04: 894a41b9  ldr	w9, [x20, #0x148]
0xfffffff007fc3d08: 4a0f01d0  adrp	x10, #0xfffffff00a1ad000
0xfffffff007fc3d0c: 4a154fb9  ldr	w10, [x10, #0xf14]
0xfffffff007fc3d10: 3f010071  cmp	w9, #0
0xfffffff007fc3d14: 4901891a  csel	w9, w10, w9, eq
0xfffffff007fc3d18: 8b028052  mov	w11, #0x14
0xfffffff007fc3d1c: 0b010baa  orr	x11, x8, x11
0xfffffff007fc3d20: 0b0000f9  str	x11, [x0]
0xfffffff007fc3d24: 090c00f9  str	x9, [x0, #0x18]
0xfffffff007fc3d28: 894e41b9  ldr	w9, [x20, #0x14c]
0xfffffff007fc3d2c: 3f010071  cmp	w9, #0
0xfffffff007fc3d30: 4901891a  csel	w9, w10, w9, eq
0xfffffff007fc3d34: 08097eb2  orr	x8, x8, #0x1c
0xfffffff007fc3d38: 080000f9  str	x8, [x0]
0xfffffff007fc3d3c: 091000f9  str	x9, [x0, #0x20]
0xfffffff007fc3d40: e8130190  adrp	x8, #0xfffffff00a23f000
0xfffffff007fc3d44: 001141f9  ldr	x0, [x8, #0x220]
0xfffffff007fc3d48: 0285fff0  adrp	x2, #0xfffffff007066000
0xfffffff007fc3d4c: 42943e91  add	x2, x2, #0xfa5
0xfffffff007fc3d50: e6130190  adrp	x6, #0xfffffff00a23f000
0xfffffff007fc3d54: c6b00891  add	x6, x6, #0x22c
