; Candidate 4014
; ADRP+ADD at VM 0xfffffff008783d44 (fileoff 0x177fd44): page=0x1fe9ae000 add_imm=0xd90

0xfffffff008783cc4: 09018052  mov	w9, #8
0xfffffff008783cc8: 06000014  b	#0xfffffff008783ce0
0xfffffff008783ccc: 1f010071  cmp	w8, #0
0xfffffff008783cd0: 68018052  mov	w8, #0xb
0xfffffff008783cd4: 0905881a  cinc	w9, w8, ne
0xfffffff008783cd8: 88008052  mov	w8, #4
0xfffffff008783cdc: 0805881a  cinc	w8, w8, ne
0xfffffff008783ce0: 0a518b52  mov	w10, #0x5a88
0xfffffff008783ce4: 8a320a9b  madd	x10, x20, x10, x12
0xfffffff008783ce8: 4a114eb9  ldr	w10, [x10, #0xe10]
0xfffffff008783cec: 5f010071  cmp	w10, #0
0xfffffff008783cf0: 041b407a  ccmp	w24, #0, #4, ne
0xfffffff008783cf4: e10d0054  b.ne	#0xfffffff008783eb0
0xfffffff008783cf8: 97030034  cbz	w23, #0xfffffff008783d68
0xfffffff008783cfc: ff0e0071  cmp	w23, #3
0xfffffff008783d00: 81000054  b.ne	#0xfffffff008783d10
0xfffffff008783d04: 09250051  sub	w9, w8, #9
0xfffffff008783d08: 3f090071  cmp	w9, #2
0xfffffff008783d0c: 43010054  b.lo	#0xfffffff008783d34
0xfffffff008783d10: 1f690071  cmp	w8, #0x1a
0xfffffff008783d14: a8020054  b.hi	#0xfffffff008783d68
0xfffffff008783d18: 29008052  mov	w9, #1
0xfffffff008783d1c: 2921c81a  lsl	w9, w9, w8
0xfffffff008783d20: 0a98a052  mov	w10, #0x4c00000
0xfffffff008783d24: 3f010a6a  tst	w9, w10
0xfffffff008783d28: 00020054  b.eq	#0xfffffff008783d68
0xfffffff008783d2c: ff0a0071  cmp	w23, #2
0xfffffff008783d30: c8010054  b.hi	#0xfffffff008783d68
0xfffffff008783d34: e8df00a9  stp	x8, x23, [sp, #8]
0xfffffff008783d38: 694eff90  adrp	x9, #0xfffffff00714f000
0xfffffff008783d3c: 29bd1991  add	x9, x9, #0x66f
0xfffffff008783d40: e90300f9  str	x9, [sp]
0xfffffff008783d44: 604dffd0  adrp	x0, #0xfffffff007131000
0xfffffff008783d48: 00403691  add	x0, x0, #0xd90
0xfffffff008783d4c: c193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008783d50: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008783d54: 034effd0  adrp	x3, #0xfffffff007145000
0xfffffff008783d58: 63681a91  add	x3, x3, #0x69a
0xfffffff008783d5c: 02008052  mov	w2, #0
0xfffffff008783d60: f4bcee97  bl	#0xfffffff008333130
0xfffffff008783d64: 48020014  b	#0xfffffff008784684
0xfffffff008783d68: 08b6a552  mov	w8, #0x2db00000
0xfffffff008783d6c: 484f00b9  str	w8, [x26, #0x4c]
0xfffffff008783d70: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff008783d74: 100040f9  ldr	x16, [x0]
0xfffffff008783d78: f10300aa  mov	x17, x0
0xfffffff008783d7c: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008783d80: 301ac1da  autda	x16, x17
0xfffffff008783d84: 080e4cf8  ldr	x8, [x16, #0xc0]!
0xfffffff008783d88: e90310aa  mov	x9, x16
0xfffffff008783d8c: f10309aa  mov	x17, x9
0xfffffff008783d90: f177e0f2  movk	x17, #0x3bf, lsl #48
0xfffffff008783d94: 11093fd7  blraa	x8, x17
0xfffffff008783d98: e0000034  cbz	w0, #0xfffffff008783db4
0xfffffff008783d9c: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff008783da0: 08894cb9  ldr	w8, [x8, #0xc88]
0xfffffff008783da4: 1f090071  cmp	w8, #2
0xfffffff008783da8: e8179f1a  cset	w8, eq
0xfffffff008783dac: 08491353  lsl	w8, w8, #0xd
0xfffffff008783db0: 02000014  b	#0xfffffff008783db8
0xfffffff008783db4: 08008052  mov	w8, #0
0xfffffff008783db8: 494f40b9  ldr	w9, [x26, #0x4c]
0xfffffff008783dbc: eadf8712  mov	w10, #-0x3f00
0xfffffff008783dc0: 2a010a0a  and	w10, w9, w10
