; Candidate 4408
; ADRP+ADD at VM 0xfffffff0087af98c (fileoff 0x17ab98c): page=0x1fe982000 add_imm=0xd90

0xfffffff0087af90c: 08020034  cbz	w8, #0xfffffff0087af94c
0xfffffff0087af910: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff0087af914: 017974f8  ldr	x1, [x8, x20, lsl #3]
0xfffffff0087af918: 1f7934f8  str	xzr, [x8, x20, lsl #3]
0xfffffff0087af91c: c092ff90  adrp	x0, #0xfffffff007a07000
0xfffffff0087af920: 00e03491  add	x0, x0, #0xd38
0xfffffff0087af924: 02108052  mov	w2, #0x80
0xfffffff0087af928: 309dee97  bl	#0xfffffff008356de8
0xfffffff0087af92c: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff0087af930: 1f7934f8  str	xzr, [x8, x20, lsl #3]
0xfffffff0087af934: 600240f9  ldr	x0, [x19]
0xfffffff0087af938: 81f3d797  bl	#0xfffffff007dac73c
0xfffffff0087af93c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0087af940: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0087af944: ff430191  add	sp, sp, #0x50
0xfffffff0087af948: ff0f5fd6  retab	
0xfffffff0087af94c: 610e40f9  ldr	x1, [x19, #0x18]
0xfffffff0087af950: e00313aa  mov	x0, x19
0xfffffff0087af954: f0fcff97  bl	#0xfffffff0087aed14
0xfffffff0087af958: dfffff17  b	#0xfffffff0087af8d4
0xfffffff0087af95c: 7f2303d5  pacibsp	
0xfffffff0087af960: ffc300d1  sub	sp, sp, #0x30
0xfffffff0087af964: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0087af968: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0087af96c: fd830091  add	x29, sp, #0x20
0xfffffff0087af970: f30301aa  mov	x19, x1
0xfffffff0087af974: 3f100071  cmp	w1, #4
0xfffffff0087af978: a3010054  b.lo	#0xfffffff0087af9ac
0xfffffff0087af97c: 684dffd0  adrp	x8, #0xfffffff00715d000
0xfffffff0087af980: 08612891  add	x8, x8, #0xa18
0xfffffff0087af984: e903132a  mov	w9, w19
0xfffffff0087af988: e82700a9  stp	x8, x9, [sp]
0xfffffff0087af98c: 004cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087af990: 00403691  add	x0, x0, #0xd90
0xfffffff0087af994: 6192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087af998: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087af99c: e34cff90  adrp	x3, #0xfffffff00714b000
0xfffffff0087af9a0: 63682391  add	x3, x3, #0x8da
0xfffffff0087af9a4: 02008052  mov	w2, #0
0xfffffff0087af9a8: e20dee97  bl	#0xfffffff008333130
0xfffffff0087af9ac: 7f120071  cmp	w19, #4
0xfffffff0087af9b0: e0279f1a  cset	w0, lo
0xfffffff0087af9b4: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0087af9b8: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0087af9bc: ffc30091  add	sp, sp, #0x30
0xfffffff0087af9c0: ff0f5fd6  retab	
0xfffffff0087af9c4: 5f2403d5  bti	c
0xfffffff0087af9c8: c20000b4  cbz	x2, #0xfffffff0087af9e0
0xfffffff0087af9cc: 2808c29a  udiv	x8, x1, x2
0xfffffff0087af9d0: 0985029b  msub	x9, x8, x2, x1
0xfffffff0087af9d4: 5f0409eb  cmp	x2, x9, lsl #1
0xfffffff0087af9d8: 0085889a  cinc	x0, x8, ls
0xfffffff0087af9dc: c0035fd6  ret	
0xfffffff0087af9e0: 000080d2  mov	x0, #0
0xfffffff0087af9e4: c0035fd6  ret	
0xfffffff0087af9e8: 7f2303d5  pacibsp	
0xfffffff0087af9ec: ff0301d1  sub	sp, sp, #0x40
0xfffffff0087af9f0: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0087af9f4: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0087af9f8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0087af9fc: fdc30091  add	x29, sp, #0x30
0xfffffff0087afa00: e00303aa  mov	x0, x3
0xfffffff0087afa04: f40302aa  mov	x20, x2
0xfffffff0087afa08: f50301aa  mov	x21, x1
